Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «ПНД трубы и фитинги», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;881;0,0000113;
февраль 2018;1 048;0,0000135;
март 2018;1 446;0,0000172;
апрель 2018;2 082;0,0000274;
май 2018;3 657;0,0000486;
июнь 2018;2 799;0,0000403;
июль 2018;2 464;0,0000352;
август 2018;1 992;0,0000282;
сентябрь 2018;1 340;0,0000169;
октябрь 2018;2 160;0,0000234;
ноябрь 2018;1 425;0,0000167;
декабрь 2018;1 108;0,0000129;
январь 2019;1 704;0,0000193;
февраль 2019;1 485;0,0000177;
март 2019;1 390;0,0000158;
апрель 2019;2 180;0,0000263;
май 2019;3 008;0,0000380;
июнь 2019;2 295;0,0000316;
июль 2019;1 557;0,0000211;
август 2019;1 403;0,0000192;
сентябрь 2019;1 283;0,0000163;
октябрь 2019;1 217;0,0000137;
ноябрь 2019;1 119;0,0000126;
декабрь 2019;960;0,0000103;
январь 2020;1 064;0,0000109;
февраль 2020;1 087;0,0000118;
март 2020;1 455;0,0000148;
апрель 2020;2 879;0,0000241;
май 2020;4 135;0,0000385;
июнь 2020;2 909;0,0000326;
июль 2020;2 251;0,0000267;
август 2020;1 717;0,0000204;
сентябрь 2020;1 660;0,0000174;
октябрь 2020;1 541;0,0000143;
ноябрь 2020;1 235;0,0000107;
декабрь 2020;966;0,0000087;
январь 2021;950;0,0000091;
февраль 2021;1 155;0,0000115;
март 2021;1 511;0,0000138;
апрель 2021;2 840;0,0000263;
май 2021;4 357;0,0000422;
июнь 2021;3 454;0,0000348;
июль 2021;3 051;0,0000314;
август 2021;2 272;0,0000226;
сентябрь 2021;1 811;0,0000169;
октябрь 2021;1 725;0,0000151;
ноябрь 2021;1 384;0,0000119;
декабрь 2021;951;0,0000080;
январь 2022;1 206;0,0000101;
февраль 2022;1 258;0,0000106;
март 2022;1 873;0,0000146;
апрель 2022;3 398;0,0000284;
май 2022;4 861;0,0000407;
июнь 2022;3 626;0,0000338;
июль 2022;2 923;0,0000280;
август 2022;2 043;0,0000189;
сентябрь 2022;1 557;0,0000133;
октябрь 2022;1 277;0,0000103;
ноябрь 2022;1 044;0,0000082;
декабрь 2022;754;0,0000059;
январь 2023;973;0,0000078;
февраль 2023;1 114;0,0000097;
март 2023;1 508;0,0000121;
апрель 2023;2 914;0,0000252;
май 2023;4 677;0,0000413;
июнь 2023;3 007;0,0000293;
июль 2023;2 227;0,0000220;
август 2023;1 515;0,0000150;
сентябрь 2023;1 234;0,0000114;
октябрь 2023;1 334;0,0000111;
ноябрь 2023;1 151;0,0000098;
декабрь 2023;701;0,0000058;
январь 2024;785;0,0000065;
февраль 2024;879;0,0000078;
март 2024;1 213;0,0000105;
апрель 2024;2 578;0,0000237;
май 2024;3 231;0,0000303;
июнь 2024;2 410;0,0000258;
июль 2024;1 932;0,0000207;
август 2024;1 463;0,0000156;
сентябрь 2024;1 263;0,0000127;
октябрь 2024;1 139;0,0000101;
ноябрь 2024;1 070;0,0000092;
декабрь 2024;848;0,0000070;
январь 2025;924;0,0000077;
февраль 2025;1 041;0,0000091;
март 2025;1 477;0,0000123;
апрель 2025;2 401;0,0000210;
май 2025;2 872;0,0000269;
июнь 2025;2 136;0,0000202;
