Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Циркулярные пилы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;105 144;0,0013;
февраль 2018;103 836;0,0013;
март 2018;114 745;0,0013;
апрель 2018;103 947;0,0013;
май 2018;108 281;0,0014;
июнь 2018;110 540;0,0015;
июль 2018;115 296;0,0016;
август 2018;116 707;0,0016;
сентябрь 2018;116 121;0,0014;
октябрь 2018;126 763;0,0013;
ноябрь 2018;111 580;0,0013;
декабрь 2018;101 381;0,0011;
январь 2019;111 667;0,0012;
февраль 2019;115 654;0,0013;
март 2019;125 059;0,0014;
апрель 2019;118 497;0,0014;
май 2019;122 473;0,0015;
июнь 2019;112 782;0,0015;
июль 2019;122 422;0,0016;
август 2019;120 722;0,0016;
сентябрь 2019;114 042;0,0014;
октябрь 2019;123 171;0,0013;
ноябрь 2019;119 636;0,0013;
декабрь 2019;119 906;0,0012;
январь 2020;143 033;0,0014;
февраль 2020;139 862;0,0015;
март 2020;140 644;0,0014;
апрель 2020;159 197;0,0013;
май 2020;208 449;0,0019;
июнь 2020;195 266;0,0021;
июль 2020;174 386;0,0020;
август 2020;164 498;0,0019;
сентябрь 2020;166 754;0,0017;
октябрь 2020;176 904;0,0016;
ноябрь 2020;189 671;0,0016;
декабрь 2020;174 649;0,0015;
январь 2021;172 195;0,0016;
февраль 2021;165 871;0,0016;
март 2021;183 466;0,0016;
апрель 2021;185 139;0,0017;
май 2021;181 292;0,0017;
июнь 2021;184 046;0,0018;
июль 2021;180 092;0,0018;
август 2021;203 466;0,0020;
сентябрь 2021;194 343;0,0018;
октябрь 2021;190 119;0,0016;
ноябрь 2021;200 680;0,0017;
декабрь 2021;178 629;0,0015;
январь 2022;186 032;0,0015;
февраль 2022;186 684;0,0015;
март 2022;206 240;0,0016;
апрель 2022;197 659;0,0016;
май 2022;220 178;0,0018;
июнь 2022;197 322;0,0018;
июль 2022;192 303;0,0018;
август 2022;191 249;0,0017;
сентябрь 2022;163 460;0,0013;
октябрь 2022;164 046;0,0013;
ноябрь 2022;170 138;0,0013;
декабрь 2022;148 862;0,0011;
январь 2023;163 577;0,0013;
февраль 2023;179 216;0,0015;
март 2023;195 346;0,0015;
апрель 2023;178 880;0,0015;
май 2023;193 648;0,0017;
июнь 2023;196 268;0,0019;
июль 2023;193 187;0,0019;
август 2023;184 194;0,0018;
сентябрь 2023;182 275;0,0016;
октябрь 2023;202 520;0,0016;
ноябрь 2023;185 629;0,0015;
декабрь 2023;153 984;0,0012;
январь 2024;163 622;0,0013;
февраль 2024;185 286;0,0016;
март 2024;186 940;0,0016;
апрель 2024;185 257;0,0017;
май 2024;203 540;0,0019;
июнь 2024;174 098;0,0018;
июль 2024;176 379;0,0018;
август 2024;173 257;0,0018;
сентябрь 2024;164 031;0,0016;
октябрь 2024;179 275;0,0015;
ноябрь 2024;175 780;0,0015;
декабрь 2024;162 208;0,0013;
январь 2025;179 492;0,0015;
февраль 2025;178 381;0,0015;
март 2025;179 471;0,0014;
апрель 2025;174 753;0,0015;
май 2025;178 811;0,0016;
июнь 2025;184 606;0,0017;
