Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Наборы инструментов», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;194 646;0,0025;
февраль 2018;231 952;0,0029;
март 2018;220 186;0,0026;
апрель 2018;193 028;0,0025;
май 2018;191 995;0,0025;
июнь 2018;190 039;0,0027;
июль 2018;188 916;0,0027;
август 2018;199 628;0,0028;
сентябрь 2018;202 906;0,0025;
октябрь 2018;261 569;0,0028;
ноябрь 2018;238 697;0,0028;
декабрь 2018;262 005;0,0030;
январь 2019;228 811;0,0025;
февраль 2019;286 372;0,0034;
март 2019;231 079;0,0026;
апрель 2019;224 678;0,0027;
май 2019;202 886;0,0025;
июнь 2019;187 676;0,0025;
июль 2019;197 009;0,0026;
август 2019;197 871;0,0027;
сентябрь 2019;204 813;0,0026;
октябрь 2019;242 416;0,0027;
ноябрь 2019;259 985;0,0029;
декабрь 2019;291 169;0,0031;
январь 2020;241 328;0,0024;
февраль 2020;285 649;0,0031;
март 2020;224 082;0,0022;
апрель 2020;222 199;0,0018;
май 2020;281 225;0,0026;
июнь 2020;262 980;0,0029;
июль 2020;246 881;0,0029;
август 2020;240 947;0,0028;
сентябрь 2020;256 051;0,0026;
октябрь 2020;285 554;0,0026;
ноябрь 2020;326 494;0,0028;
декабрь 2020;358 295;0,0032;
январь 2021;287 684;0,0027;
февраль 2021;388 098;0,0038;
март 2021;318 136;0,0029;
апрель 2021;313 001;0,0029;
май 2021;288 613;0,0027;
июнь 2021;312 297;0,0031;
июль 2021;318 108;0,0032;
август 2021;358 848;0,0035;
сентябрь 2021;343 147;0,0032;
октябрь 2021;337 861;0,0029;
ноябрь 2021;374 453;0,0032;
декабрь 2021;391 290;0,0033;
январь 2022;334 551;0,0028;
февраль 2022;384 312;0,0032;
март 2022;318 873;0,0025;
апрель 2022;318 065;0,0026;
май 2022;315 637;0,0026;
июнь 2022;291 568;0,0027;
июль 2022;279 281;0,0026;
август 2022;300 628;0,0027;
сентябрь 2022;278 636;0,0023;
октябрь 2022;309 365;0,0025;
ноябрь 2022;353 427;0,0028;
декабрь 2022;357 564;0,0028;
январь 2023;318 842;0,0025;
февраль 2023;345 377;0,0030;
март 2023;319 210;0,0025;
апрель 2023;290 428;0,0025;
май 2023;293 931;0,0025;
июнь 2023;277 963;0,0027;
июль 2023;255 618;0,0025;
август 2023;257 215;0,0025;
сентябрь 2023;267 270;0,0024;
октябрь 2023;317 640;0,0026;
ноябрь 2023;335 093;0,0028;
декабрь 2023;325 022;0,0027;
январь 2024;313 056;0,0025;
февраль 2024;351 584;0,0031;
март 2024;292 237;0,0025;
апрель 2024;291 949;0,0026;
май 2024;282 632;0,0026;
июнь 2024;243 511;0,0026;
июль 2024;240 066;0,0025;
август 2024;230 982;0,0024;
сентябрь 2024;242 029;0,0024;
октябрь 2024;305 340;0,0027;
ноябрь 2024;326 740;0,0028;
декабрь 2024;327 480;0,0027;
январь 2025;270 376;0,0022;
февраль 2025;314 936;0,0027;
март 2025;280 868;0,0023;
апрель 2025;266 516;0,0023;
май 2025;248 272;0,0023;
июнь 2025;260 187;0,0024;
