Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Люки доступа», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;603;0,0000077;
февраль 2018;634;0,0000081;
март 2018;738;0,0000087;
апрель 2018;1 009;0,0000133;
май 2018;1 024;0,0000136;
июнь 2018;965;0,0000139;
июль 2018;775;0,0000110;
август 2018;865;0,0000122;
сентябрь 2018;851;0,0000107;
октябрь 2018;1 320;0,0000143;
ноябрь 2018;1 447;0,0000170;
декабрь 2018;816;0,0000095;
январь 2019;984;0,0000111;
февраль 2019;1 094;0,0000130;
март 2019;1 175;0,0000133;
апрель 2019;1 263;0,0000152;
май 2019;1 909;0,0000241;
июнь 2019;1 150;0,0000158;
июль 2019;1 684;0,0000229;
август 2019;1 066;0,0000146;
сентябрь 2019;1 394;0,0000177;
октябрь 2019;1 261;0,0000142;
ноябрь 2019;1 188;0,0000133;
декабрь 2019;1 605;0,0000173;
январь 2020;1 413;0,0000145;
февраль 2020;2 030;0,0000220;
март 2020;1 260;0,0000128;
апрель 2020;1 823;0,0000152;
май 2020;3 144;0,0000293;
июнь 2020;2 004;0,0000224;
июль 2020;2 940;0,0000349;
август 2020;1 619;0,0000193;
сентябрь 2020;2 765;0,0000291;
октябрь 2020;2 539;0,0000235;
ноябрь 2020;2 177;0,0000189;
декабрь 2020;2 693;0,0000243;
январь 2021;1 312;0,0000125;
февраль 2021;2 849;0,0000285;
март 2021;1 705;0,0000156;
апрель 2021;2 149;0,0000199;
май 2021;1 795;0,0000173;
июнь 2021;1 704;0,0000171;
июль 2021;1 388;0,0000143;
август 2021;1 414;0,0000141;
сентябрь 2021;1 722;0,0000160;
октябрь 2021;1 562;0,0000137;
ноябрь 2021;1 606;0,0000138;
декабрь 2021;1 689;0,0000142;
январь 2022;1 292;0,0000108;
февраль 2022;1 640;0,0000138;
март 2022;1 899;0,0000148;
апрель 2022;1 770;0,0000148;
май 2022;1 627;0,0000136;
июнь 2022;1 516;0,0000141;
июль 2022;1 435;0,0000137;
август 2022;1 543;0,0000143;
сентябрь 2022;1 340;0,0000114;
октябрь 2022;1 764;0,0000142;
ноябрь 2022;2 243;0,0000177;
декабрь 2022;2 126;0,0000168;
январь 2023;1 704;0,0000138;
февраль 2023;1 794;0,0000157;
март 2023;2 135;0,0000171;
апрель 2023;1 989;0,0000172;
май 2023;2 219;0,0000196;
июнь 2023;2 047;0,0000199;
июль 2023;1 928;0,0000191;
август 2023;1 978;0,0000196;
сентябрь 2023;1 766;0,0000164;
октябрь 2023;2 148;0,0000180;
ноябрь 2023;1 926;0,0000164;
декабрь 2023;1 912;0,0000160;
январь 2024;1 850;0,0000153;
февраль 2024;2 319;0,0000206;
март 2024;2 442;0,0000211;
апрель 2024;2 535;0,0000233;
май 2024;2 599;0,0000244;
июнь 2024;1 988;0,0000212;
июль 2024;2 094;0,0000224;
август 2024;1 970;0,0000210;
сентябрь 2024;1 969;0,0000198;
октябрь 2024;2 471;0,0000220;
ноябрь 2024;2 453;0,0000210;
декабрь 2024;2 317;0,0000193;
январь 2025;2 814;0,0000237;
февраль 2025;2 776;0,0000243;
март 2025;2 635;0,0000219;
апрель 2025;2 775;0,0000243;
май 2025;2 995;0,0000280;
июнь 2025;2 515;0,0000238;
