Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Натяжной потолок», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;1 237 470;0,0159;
февраль 2018;1 184 520;0,0152;
март 2018;1 336 288;0,0158;
апрель 2018;1 131 505;0,0149;
май 2018;1 032 294;0,0137;
июнь 2018;1 127 871;0,0162;
июль 2018;1 212 834;0,0173;
август 2018;1 315 479;0,0186;
сентябрь 2018;1 259 449;0,0158;
октябрь 2018;1 841 107;0,0199;
ноябрь 2018;1 484 682;0,0174;
декабрь 2018;1 235 143;0,0144;
январь 2019;1 315 440;0,0149;
февраль 2019;1 250 349;0,0149;
март 2019;1 365 081;0,0155;
апрель 2019;1 145 278;0,0138;
май 2019;1 018 985;0,0128;
июнь 2019;1 005 737;0,0138;
июль 2019;1 181 481;0,0160;
август 2019;1 171 007;0,0161;
сентябрь 2019;1 129 337;0,0143;
октябрь 2019;1 300 431;0,0146;
ноябрь 2019;1 354 846;0,0152;
декабрь 2019;1 390 537;0,0149;
январь 2020;1 464 502;0,0150;
февраль 2020;1 370 928;0,0149;
март 2020;1 374 875;0,0139;
апрель 2020;1 063 874;0,0089;
май 2020;1 276 173;0,0118;
июнь 2020;1 410 933;0,0158;
июль 2020;1 456 858;0,0172;
август 2020;1 533 592;0,0182;
сентябрь 2020;1 399 647;0,0147;
октябрь 2020;1 542 925;0,0143;
ноябрь 2020;1 738 660;0,0151;
декабрь 2020;1 597 365;0,0144;
январь 2021;1 598 177;0,0153;
февраль 2021;1 636 276;0,0163;
март 2021;1 587 580;0,0145;
апрель 2021;1 418 377;0,0131;
май 2021;1 285 077;0,0124;
июнь 2021;1 339 511;0,0135;
июль 2021;1 439 891;0,0148;
август 2021;1 575 571;0,0157;
сентябрь 2021;1 480 749;0,0138;
октябрь 2021;1 541 372;0,0135;
ноябрь 2021;1 701 655;0,0146;
декабрь 2021;1 593 484;0,0134;
январь 2022;1 540 565;0,0129;
февраль 2022;1 466 848;0,0124;
март 2022;1 634 802;0,0128;
апрель 2022;1 424 781;0,0119;
май 2022;1 202 944;0,0100;
июнь 2022;1 144 703;0,0106;
июль 2022;1 255 356;0,0120;
август 2022;1 503 502;0,0139;
сентябрь 2022;1 099 762;0,0094;
октябрь 2022;1 576 703;0,0127;
ноябрь 2022;1 472 834;0,0116;
декабрь 2022;1 308 681;0,0104;
январь 2023;1 283 790;0,0104;
февраль 2023;1 252 286;0,0109;
март 2023;1 342 356;0,0107;
апрель 2023;1 069 490;0,0092;
май 2023;986 825;0,0087;
июнь 2023;1 002 368;0,0097;
июль 2023;1 141 313;0,0113;
август 2023;1 132 467;0,0112;
сентябрь 2023;1 070 795;0,0099;
октябрь 2023;1 300 007;0,0108;
ноябрь 2023;1 357 876;0,0115;
декабрь 2023;1 198 242;0,0100;
январь 2024;1 253 202;0,0103;
февраль 2024;1 396 177;0,0124;
март 2024;1 207 931;0,0104;
апрель 2024;1 053 392;0,0097;
май 2024;974 340;0,0091;
июнь 2024;920 262;0,0098;
июль 2024;1 028 141;0,0110;
август 2024;1 056 907;0,0113;
сентябрь 2024;990 817;0,0099;
октябрь 2024;1 219 705;0,0108;
ноябрь 2024;1 351 165;0,0116;
декабрь 2024;1 281 580;0,0106;
январь 2025;1 279 104;0,0107;
февраль 2025;1 215 995;0,0106;
март 2025;1 200 976;0,0100;
апрель 2025;1 033 347;0,0090;
май 2025;946 041;0,0088;
июнь 2025;1 082 468;0,0102;
