Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Потолочные плинтусы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;104 711;0,0013;
февраль 2018;98 406;0,0012;
март 2018;112 117;0,0013;
апрель 2018;87 743;0,0011;
май 2018;88 631;0,0011;
июнь 2018;97 362;0,0014;
июль 2018;117 157;0,0016;
август 2018;123 584;0,0017;
сентябрь 2018;111 458;0,0014;
октябрь 2018;132 223;0,0014;
ноябрь 2018;130 039;0,0015;
декабрь 2018;128 947;0,0015;
январь 2019;118 136;0,0013;
февраль 2019;112 731;0,0013;
март 2019;130 757;0,0014;
апрель 2019;109 378;0,0013;
май 2019;104 502;0,0013;
июнь 2019;107 899;0,0014;
июль 2019;135 600;0,0018;
август 2019;136 482;0,0018;
сентябрь 2019;115 325;0,0014;
октябрь 2019;128 094;0,0014;
ноябрь 2019;141 601;0,0015;
декабрь 2019;155 234;0,0016;
январь 2020;142 835;0,0014;
февраль 2020;135 750;0,0014;
март 2020;133 313;0,0013;
апрель 2020;142 759;0,0011;
май 2020;149 826;0,0013;
июнь 2020;152 049;0,0017;
июль 2020;170 039;0,0020;
август 2020;174 427;0,0020;
сентябрь 2020;145 482;0,0015;
октябрь 2020;163 909;0,0015;
ноябрь 2020;182 941;0,0015;
декабрь 2020;177 384;0,0016;
январь 2021;152 553;0,0014;
февраль 2021;138 688;0,0013;
март 2021;146 880;0,0013;
апрель 2021;141 721;0,0013;
май 2021;127 613;0,0012;
июнь 2021;137 583;0,0013;
июль 2021;157 527;0,0016;
август 2021;179 428;0,0017;
сентябрь 2021;154 795;0,0014;
октябрь 2021;162 222;0,0014;
ноябрь 2021;186 081;0,0016;
декабрь 2021;180 303;0,0015;
январь 2022;159 203;0,0013;
февраль 2022;148 756;0,0012;
март 2022;164 050;0,0012;
апрель 2022;151 148;0,0012;
май 2022;138 183;0,0011;
июнь 2022;133 437;0,0012;
июль 2022;159 450;0,0015;
август 2022;161 148;0,0014;
сентябрь 2022;129 646;0,0011;
октябрь 2022;145 396;0,0011;
ноябрь 2022;162 361;0,0012;
декабрь 2022;160 126;0,0012;
январь 2023;135 778;0,0011;
февраль 2023;136 439;0,0011;
март 2023;149 714;0,0012;
апрель 2023;122 796;0,0010;
май 2023;115 927;0,0010;
июнь 2023;127 486;0,0012;
июль 2023;157 263;0,0015;
август 2023;150 946;0,0015;
сентябрь 2023;131 788;0,0012;
октябрь 2023;154 101;0,0012;
ноябрь 2023;169 254;0,0014;
декабрь 2023;163 399;0,0013;
январь 2024;135 456;0,0011;
февраль 2024;136 180;0,0012;
март 2024;141 643;0,0012;
апрель 2024;125 705;0,0011;
май 2024;114 594;0,0010;
июнь 2024;113 292;0,0012;
июль 2024;134 819;0,0014;
август 2024;142 967;0,0015;
сентябрь 2024;118 793;0,0011;
октябрь 2024;145 211;0,0012;
ноябрь 2024;164 155;0,0014;
декабрь 2024;171 620;0,0014;
январь 2025;149 613;0,0012;
февраль 2025;141 102;0,0012;
март 2025;140 095;0,0011;
апрель 2025;119 563;0,0010;
май 2025;116 362;0,0010;
июнь 2025;130 095;0,0012;
