Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Мотобуры», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;39 264;0,00050;
февраль 2018;45 087;0,00058;
март 2018;53 643;0,00063;
апрель 2018;58 838;0,00077;
май 2018;59 059;0,00078;
июнь 2018;53 479;0,00077;
июль 2018;46 495;0,00066;
август 2018;48 401;0,00068;
сентябрь 2018;43 251;0,00054;
октябрь 2018;47 836;0,00051;
ноябрь 2018;38 647;0,00045;
декабрь 2018;32 826;0,00038;
январь 2019;39 971;0,00045;
февраль 2019;43 051;0,00051;
март 2019;51 691;0,00058;
апрель 2019;57 933;0,00070;
май 2019;60 502;0,00076;
июнь 2019;50 622;0,00069;
июль 2019;46 166;0,00062;
август 2019;38 822;0,00053;
сентябрь 2019;37 334;0,00047;
октябрь 2019;37 522;0,00042;
ноябрь 2019;37 254;0,00041;
декабрь 2019;40 139;0,00043;
январь 2020;44 676;0,00045;
февраль 2020;46 196;0,00050;
март 2020;55 915;0,00056;
апрель 2020;61 797;0,00051;
май 2020;85 896;0,00080;
июнь 2020;72 453;0,00081;
июль 2020;63 373;0,00075;
август 2020;57 351;0,00068;
сентябрь 2020;53 548;0,00056;
октябрь 2020;54 623;0,00050;
ноябрь 2020;50 341;0,00043;
декабрь 2020;43 638;0,00039;
январь 2021;50 222;0,00048;
февраль 2021;52 457;0,00052;
март 2021;67 728;0,00062;
апрель 2021;76 306;0,00070;
май 2021;81 514;0,00079;
июнь 2021;70 238;0,00070;
июль 2021;63 530;0,00065;
август 2021;61 558;0,00061;
сентябрь 2021;54 722;0,00051;
октябрь 2021;52 415;0,00046;
ноябрь 2021;47 268;0,00040;
декабрь 2021;42 257;0,00035;
январь 2022;47 646;0,00039;
февраль 2022;51 260;0,00043;
март 2022;63 907;0,00050;
апрель 2022;72 253;0,00060;
май 2022;93 723;0,00078;
июнь 2022;79 163;0,00073;
июль 2022;69 235;0,00066;
август 2022;68 028;0,00063;
сентябрь 2022;56 040;0,00047;
октябрь 2022;49 706;0,00040;
ноябрь 2022;45 802;0,00036;
декабрь 2022;42 419;0,00033;
январь 2023;50 054;0,00040;
февраль 2023;57 124;0,00050;
март 2023;70 419;0,00056;
апрель 2023;87 859;0,00076;
май 2023;97 681;0,00086;
июнь 2023;87 097;0,00084;
июль 2023;70 566;0,00069;
август 2023;66 723;0,00066;
сентябрь 2023;66 241;0,00061;
октябрь 2023;69 634;0,00058;
ноябрь 2023;54 862;0,00046;
декабрь 2023;42 994;0,00036;
январь 2024;49 739;0,00041;
февраль 2024;53 887;0,00047;
март 2024;61 565;0,00053;
апрель 2024;85 740;0,00079;
май 2024;99 748;0,00093;
июнь 2024;75 191;0,00080;
июль 2024;68 887;0,00074;
август 2024;58 837;0,00062;
сентябрь 2024;57 818;0,00058;
октябрь 2024;53 279;0,00047;
ноябрь 2024;41 518;0,00035;
декабрь 2024;34 810;0,00029;
январь 2025;42 361;0,00035;
февраль 2025;46 441;0,00040;
март 2025;67 820;0,00056;
апрель 2025;86 563;0,00075;
май 2025;90 600;0,00084;
июнь 2025;83 508;0,00079;
