Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Бензорезы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;16 845;0,00021;
февраль 2018;16 347;0,00021;
март 2018;18 555;0,00022;
апрель 2018;18 749;0,00024;
май 2018;28 933;0,00038;
июнь 2018;27 996;0,00040;
июль 2018;26 626;0,00038;
август 2018;25 026;0,00035;
сентябрь 2018;24 931;0,00031;
октябрь 2018;33 803;0,00036;
ноябрь 2018;22 291;0,00026;
декабрь 2018;17 795;0,00020;
январь 2019;17 663;0,00020;
февраль 2019;19 029;0,00022;
март 2019;21 140;0,00024;
апрель 2019;21 861;0,00026;
май 2019;22 398;0,00028;
июнь 2019;21 478;0,00029;
июль 2019;22 532;0,00030;
август 2019;20 910;0,00028;
сентябрь 2019;20 595;0,00026;
октябрь 2019;20 905;0,00023;
ноябрь 2019;18 333;0,00020;
декабрь 2019;16 997;0,00018;
январь 2020;18 016;0,00018;
февраль 2020;18 792;0,00020;
март 2020;19 876;0,00020;
апрель 2020;19 174;0,00016;
май 2020;23 125;0,00021;
июнь 2020;24 895;0,00027;
июль 2020;23 397;0,00027;
август 2020;22 682;0,00027;
сентябрь 2020;24 478;0,00025;
октябрь 2020;26 286;0,00024;
ноябрь 2020;25 250;0,00022;
декабрь 2020;22 150;0,00020;
январь 2021;19 153;0,00018;
февраль 2021;21 297;0,00021;
март 2021;25 582;0,00023;
апрель 2021;31 716;0,00029;
май 2021;32 537;0,00031;
июнь 2021;35 492;0,00035;
июль 2021;31 536;0,00032;
август 2021;34 342;0,00034;
сентябрь 2021;33 833;0,00031;
октябрь 2021;33 654;0,00029;
ноябрь 2021;34 611;0,00029;
декабрь 2021;27 585;0,00023;
январь 2022;23 411;0,00019;
февраль 2022;24 421;0,00020;
март 2022;29 640;0,00023;
апрель 2022;32 165;0,00026;
май 2022;37 332;0,00031;
июнь 2022;35 818;0,00033;
июль 2022;34 235;0,00032;
август 2022;36 518;0,00033;
сентябрь 2022;31 828;0,00027;
октябрь 2022;31 565;0,00025;
ноябрь 2022;30 562;0,00024;
декабрь 2022;24 580;0,00019;
январь 2023;22 655;0,00018;
февраль 2023;23 915;0,00020;
март 2023;30 307;0,00024;
апрель 2023;31 678;0,00027;
май 2023;34 625;0,00030;
июнь 2023;35 819;0,00034;
июль 2023;33 100;0,00032;
август 2023;33 464;0,00033;
сентябрь 2023;32 433;0,00030;
октябрь 2023;33 813;0,00028;
ноябрь 2023;29 498;0,00025;
декабрь 2023;22 226;0,00018;
январь 2024;22 013;0,00018;
февраль 2024;25 093;0,00022;
март 2024;28 356;0,00024;
апрель 2024;32 848;0,00030;
май 2024;33 812;0,00031;
июнь 2024;32 136;0,00034;
июль 2024;33 980;0,00036;
август 2024;32 665;0,00034;
сентябрь 2024;30 234;0,00030;
октябрь 2024;32 106;0,00028;
ноябрь 2024;30 897;0,00026;
декабрь 2024;25 907;0,00021;
январь 2025;22 793;0,00019;
февраль 2025;26 848;0,00023;
март 2025;29 447;0,00024;
апрель 2025;30 565;0,00026;
май 2025;29 111;0,00027;
июнь 2025;31 773;0,00030;
