Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Шины», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;2 740 261;0,035;
февраль 2018;3 103 334;0,040;
март 2018;4 341 374;0,051;
апрель 2018;6 541 672;0,086;
май 2018;3 970 971;0,052;
июнь 2018;2 943 900;0,042;
июль 2018;3 151 583;0,045;
август 2018;3 578 712;0,050;
сентябрь 2018;4 534 444;0,057;
октябрь 2018;8 260 199;0,089;
ноябрь 2018;6 018 942;0,070;
декабрь 2018;3 116 039;0,036;
январь 2019;2 975 025;0,033;
февраль 2019;3 266 282;0,038;
март 2019;5 073 921;0,057;
апрель 2019;6 576 265;0,079;
май 2019;3 648 848;0,046;
июнь 2019;3 030 958;0,041;
июль 2019;3 109 148;0,042;
август 2019;3 270 482;0,044;
сентябрь 2019;4 621 586;0,058;
октябрь 2019;7 533 944;0,085;
ноябрь 2019;4 937 769;0,055;
декабрь 2019;3 387 315;0,036;
январь 2020;3 292 820;0,033;
февраль 2020;3 658 750;0,039;
март 2020;5 828 665;0,059;
апрель 2020;5 332 070;0,044;
май 2020;4 672 320;0,043;
июнь 2020;3 835 177;0,043;
июль 2020;3 620 704;0,042;
август 2020;3 940 950;0,046;
сентябрь 2020;5 065 685;0,053;
октябрь 2020;8 169 286;0,075;
ноябрь 2020;7 452 792;0,065;
декабрь 2020;4 388 456;0,039;
январь 2021;3 980 831;0,038;
февраль 2021;4 227 727;0,042;
март 2021;6 478 708;0,059;
апрель 2021;9 124 548;0,084;
май 2021;5 677 984;0,055;
июнь 2021;4 402 694;0,044;
июль 2021;4 236 129;0,043;
август 2021;4 958 628;0,049;
сентябрь 2021;6 907 894;0,064;
октябрь 2021;9 155 681;0,080;
ноябрь 2021;7 953 610;0,068;
декабрь 2021;4 890 717;0,041;
январь 2022;4 414 775;0,037;
февраль 2022;5 018 239;0,042;
март 2022;8 688 492;0,068;
апрель 2022;8 995 345;0,075;
май 2022;5 944 515;0,049;
июнь 2022;4 589 085;0,042;
июль 2022;4 459 232;0,042;
август 2022;4 928 192;0,045;
сентябрь 2022;5 487 680;0,046;
октябрь 2022;7 443 170;0,060;
ноябрь 2022;7 168 282;0,056;
декабрь 2022;4 058 522;0,032;
январь 2023;3 842 154;0,031;
февраль 2023;4 084 091;0,035;
март 2023;7 322 481;0,058;
апрель 2023;7 747 417;0,067;
май 2023;4 956 616;0,043;
июнь 2023;4 317 209;0,042;
июль 2023;4 171 334;0,041;
август 2023;4 947 420;0,049;
сентябрь 2023;5 831 040;0,054;
октябрь 2023;10 641 988;0,089;
ноябрь 2023;6 826 845;0,058;
декабрь 2023;4 478 756;0,037;
январь 2024;4 461 483;0,037;
февраль 2024;4 994 743;0,044;
март 2024;7 278 219;0,063;
апрель 2024;8 210 316;0,075;
май 2024;5 932 789;0,055;
июнь 2024;4 131 388;0,044;
июль 2024;4 137 934;0,044;
август 2024;4 626 081;0,049;
сентябрь 2024;5 621 479;0,056;
октябрь 2024;9 262 498;0,082;
ноябрь 2024;7 251 614;0,062;
декабрь 2024;4 559 283;0,037;
январь 2025;4 160 680;0,035;
февраль 2025;4 369 711;0,038;
март 2025;7 509 038;0,062;
апрель 2025;6 993 723;0,061;
май 2025;5 078 044;0,047;
июнь 2025;4 251 014;0,040;
