Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Мел, известь», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;471 307;0,0060;
февраль 2018;493 709;0,0063;
март 2018;475 140;0,0056;
апрель 2018;425 613;0,0056;
май 2018;410 195;0,0054;
июнь 2018;388 985;0,0056;
июль 2018;400 789;0,0057;
август 2018;432 622;0,0061;
сентябрь 2018;617 249;0,0077;
октябрь 2018;731 905;0,0079;
ноябрь 2018;640 603;0,0075;
декабрь 2018;635 331;0,0074;
январь 2019;663 675;0,0075;
февраль 2019;580 461;0,0069;
март 2019;2 028 163;0,0230;
апрель 2019;1 293 030;0,0156;
май 2019;648 301;0,0081;
июнь 2019;537 543;0,0074;
июль 2019;520 607;0,0070;
август 2019;685 114;0,0094;
сентябрь 2019;565 791;0,0071;
октябрь 2019;1 029 999;0,0116;
ноябрь 2019;771 791;0,0086;
декабрь 2019;680 945;0,0073;
январь 2020;710 087;0,0073;
февраль 2020;649 488;0,0070;
март 2020;636 346;0,0064;
апрель 2020;916 519;0,0076;
май 2020;987 448;0,0092;
июнь 2020;668 671;0,0074;
июль 2020;522 575;0,0062;
август 2020;669 431;0,0079;
сентябрь 2020;651 262;0,0068;
октябрь 2020;1 149 052;0,0106;
ноябрь 2020;888 657;0,0077;
декабрь 2020;794 116;0,0071;
январь 2021;777 082;0,0074;
февраль 2021;1 184 638;0,0118;
март 2021;1 054 149;0,0096;
апрель 2021;803 893;0,0074;
май 2021;750 945;0,0072;
июнь 2021;688 929;0,0069;
июль 2021;693 672;0,0071;
август 2021;695 585;0,0069;
сентябрь 2021;798 106;0,0074;
октябрь 2021;1 266 285;0,0111;
ноябрь 2021;1 027 868;0,0088;
декабрь 2021;1 108 974;0,0093;
январь 2022;1 610 984;0,0135;
февраль 2022;1 115 136;0,0094;
март 2022;1 209 677;0,0094;
апрель 2022;1 155 600;0,0096;
май 2022;1 011 308;0,0084;
июнь 2022;845 285;0,0078;
июль 2022;854 186;0,0081;
август 2022;879 972;0,0081;
сентябрь 2022;1 201 330;0,0102;
октябрь 2022;2 178 848;0,0176;
ноябрь 2022;1 040 348;0,0082;
декабрь 2022;1 137 978;0,0090;
январь 2023;935 534;0,0075;
февраль 2023;894 617;0,0078;
март 2023;1 278 322;0,0102;
апрель 2023;1 149 468;0,0099;
май 2023;1 158 925;0,0102;
июнь 2023;843 955;0,0082;
июль 2023;857 163;0,0084;
август 2023;795 420;0,0079;
сентябрь 2023;811 795;0,0075;
октябрь 2023;948 514;0,0079;
ноябрь 2023;999 974;0,0085;
декабрь 2023;940 420;0,0078;
январь 2024;1 047 207;0,0086;
февраль 2024;890 829;0,0079;
март 2024;962 318;0,0083;
апрель 2024;934 883;0,0086;
май 2024;990 516;0,0092;
июнь 2024;793 992;0,0085;
июль 2024;881 789;0,0094;
август 2024;1 049 204;0,0112;
сентябрь 2024;1 003 388;0,0101;
октябрь 2024;1 104 771;0,0098;
ноябрь 2024;1 151 548;0,0099;
декабрь 2024;1 097 113;0,0091;
январь 2025;1 140 678;0,0096;
февраль 2025;1 089 089;0,0095;
март 2025;1 049 650;0,0087;
апрель 2025;942 162;0,0082;
май 2025;954 743;0,0089;
июнь 2025;962 237;0,0091;
