Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Комплектующие для насосов», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;564;0,0000072;
февраль 2018;553;0,0000071;
март 2018;677;0,0000080;
апрель 2018;688;0,0000090;
май 2018;863;0,0000114;
июнь 2018;809;0,0000116;
июль 2018;656;0,0000093;
август 2018;705;0,0000099;
сентябрь 2018;628;0,0000079;
октябрь 2018;779;0,0000084;
ноябрь 2018;567;0,0000066;
декабрь 2018;496;0,0000058;
январь 2019;441;0,0000050;
февраль 2019;525;0,0000062;
март 2019;615;0,0000070;
апрель 2019;689;0,0000083;
май 2019;735;0,0000092;
июнь 2019;874;0,0000120;
июль 2019;675;0,0000091;
август 2019;560;0,0000077;
сентябрь 2019;474;0,0000060;
октябрь 2019;715;0,0000080;
ноябрь 2019;592;0,0000066;
декабрь 2019;526;0,0000056;
январь 2020;565;0,0000058;
февраль 2020;582;0,0000063;
март 2020;657;0,0000066;
апрель 2020;679;0,0000056;
май 2020;1 019;0,0000095;
июнь 2020;1 060;0,0000118;
июль 2020;1 005;0,0000119;
август 2020;687;0,0000081;
сентябрь 2020;653;0,0000068;
октябрь 2020;635;0,0000059;
ноябрь 2020;594;0,0000051;
декабрь 2020;574;0,0000051;
январь 2021;571;0,0000054;
февраль 2021;585;0,0000058;
март 2021;815;0,0000074;
апрель 2021;939;0,0000087;
май 2021;965;0,0000093;
июнь 2021;1 191;0,0000120;
июль 2021;1 139;0,0000117;
август 2021;713;0,0000071;
сентябрь 2021;782;0,0000073;
октябрь 2021;732;0,0000064;
ноябрь 2021;733;0,0000063;
декабрь 2021;641;0,0000054;
январь 2022;632;0,0000053;
февраль 2022;634;0,0000053;
март 2022;830;0,0000065;
апрель 2022;963;0,0000080;
май 2022;1 094;0,0000091;
июнь 2022;1 248;0,0000116;
июль 2022;1 108;0,0000106;
август 2022;866;0,0000080;
сентябрь 2022;855;0,0000073;
октябрь 2022;730;0,0000059;
ноябрь 2022;707;0,0000056;
декабрь 2022;631;0,0000050;
январь 2023;746;0,0000060;
февраль 2023;723;0,0000063;
март 2023;781;0,0000062;
апрель 2023;924;0,0000080;
май 2023;1 123;0,0000099;
июнь 2023;1 083;0,0000105;
июль 2023;1 146;0,0000113;
август 2023;926;0,0000092;
сентябрь 2023;694;0,0000064;
октябрь 2023;828;0,0000069;
ноябрь 2023;690;0,0000058;
декабрь 2023;665;0,0000055;
январь 2024;671;0,0000055;
февраль 2024;676;0,0000060;
март 2024;801;0,0000069;
апрель 2024;1 170;0,0000107;
май 2024;1 229;0,0000115;
июнь 2024;1 472;0,0000157;
июль 2024;1 306;0,0000140;
август 2024;894;0,0000095;
сентябрь 2024;791;0,0000079;
октябрь 2024;930;0,0000082;
ноябрь 2024;848;0,0000072;
декабрь 2024;649;0,0000054;
январь 2025;783;0,0000065;
февраль 2025;767;0,0000067;
март 2025;908;0,0000075;
апрель 2025;870;0,0000076;
май 2025;1 118;0,0000104;
июнь 2025;1 180;0,0000111;
