Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Кромка для столешниц», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;2 325;0,000029;
февраль 2018;2 270;0,000029;
март 2018;2 794;0,000033;
апрель 2018;2 056;0,000027;
май 2018;2 077;0,000027;
июнь 2018;2 046;0,000029;
июль 2018;2 340;0,000033;
август 2018;2 694;0,000038;
сентябрь 2018;2 615;0,000033;
октябрь 2018;3 202;0,000034;
ноябрь 2018;3 148;0,000037;
декабрь 2018;2 751;0,000032;
январь 2019;2 937;0,000033;
февраль 2019;2 872;0,000034;
март 2019;3 018;0,000034;
апрель 2019;2 934;0,000035;
май 2019;2 592;0,000032;
июнь 2019;2 570;0,000035;
июль 2019;3 100;0,000042;
август 2019;3 146;0,000043;
сентябрь 2019;2 831;0,000035;
октябрь 2019;3 262;0,000036;
ноябрь 2019;3 405;0,000038;
декабрь 2019;3 589;0,000038;
январь 2020;3 416;0,000035;
февраль 2020;3 583;0,000038;
март 2020;3 303;0,000033;
апрель 2020;3 044;0,000025;
май 2020;3 382;0,000031;
июнь 2020;3 416;0,000038;
июль 2020;3 697;0,000043;
август 2020;3 666;0,000043;
сентябрь 2020;3 717;0,000039;
октябрь 2020;4 403;0,000040;
ноябрь 2020;4 942;0,000043;
декабрь 2020;4 641;0,000041;
январь 2021;4 062;0,000038;
февраль 2021;4 343;0,000043;
март 2021;4 880;0,000044;
апрель 2021;4 611;0,000042;
май 2021;4 037;0,000039;
июнь 2021;3 853;0,000038;
июль 2021;3 915;0,000040;
август 2021;5 099;0,000050;
сентябрь 2021;5 071;0,000047;
октябрь 2021;5 084;0,000044;
ноябрь 2021;5 762;0,000049;
декабрь 2021;5 812;0,000049;
январь 2022;5 645;0,000047;
февраль 2022;5 533;0,000046;
март 2022;6 338;0,000049;
апрель 2022;6 465;0,000054;
май 2022;5 196;0,000043;
июнь 2022;5 049;0,000047;
июль 2022;5 107;0,000048;
август 2022;5 590;0,000051;
сентябрь 2022;4 948;0,000042;
октябрь 2022;5 254;0,000042;
ноябрь 2022;6 425;0,000050;
декабрь 2022;5 790;0,000046;
январь 2023;5 574;0,000045;
февраль 2023;5 702;0,000049;
март 2023;6 170;0,000049;
апрель 2023;5 285;0,000045;
май 2023;4 988;0,000044;
июнь 2023;4 632;0,000045;
июль 2023;5 465;0,000054;
август 2023;5 522;0,000054;
сентябрь 2023;5 175;0,000048;
октябрь 2023;5 746;0,000048;
ноябрь 2023;6 140;0,000052;
декабрь 2023;5 606;0,000046;
январь 2024;5 586;0,000046;
февраль 2024;5 874;0,000052;
март 2024;6 174;0,000053;
апрель 2024;5 244;0,000048;
май 2024;4 860;0,000045;
июнь 2024;4 722;0,000050;
июль 2024;4 727;0,000050;
август 2024;4 793;0,000051;
сентябрь 2024;4 259;0,000042;
октябрь 2024;4 756;0,000042;
ноябрь 2024;5 562;0,000047;
декабрь 2024;5 659;0,000047;
январь 2025;5 314;0,000044;
февраль 2025;5 539;0,000048;
март 2025;5 497;0,000045;
апрель 2025;4 604;0,000040;
май 2025;4 343;0,000040;
июнь 2025;4 461;0,000042;
