Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Садовые пылесосы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;4 848;0,000062;
февраль 2018;4 814;0,000062;
март 2018;5 112;0,000060;
апрель 2018;8 867;0,000117;
май 2018;8 647;0,000115;
июнь 2018;6 592;0,000095;
июль 2018;9 057;0,000129;
август 2018;12 297;0,000174;
сентябрь 2018;16 792;0,000211;
октябрь 2018;32 334;0,000350;
ноябрь 2018;11 181;0,000131;
декабрь 2018;5 207;0,000060;
январь 2019;5 169;0,000058;
февраль 2019;5 155;0,000061;
март 2019;5 833;0,000066;
апрель 2019;9 573;0,000115;
май 2019;7 989;0,000101;
июнь 2019;7 076;0,000097;
июль 2019;6 577;0,000089;
август 2019;10 197;0,000140;
сентябрь 2019;16 454;0,000209;
октябрь 2019;25 350;0,000286;
ноябрь 2019;9 457;0,000106;
декабрь 2019;5 310;0,000057;
январь 2020;5 139;0,000052;
февраль 2020;5 040;0,000054;
март 2020;8 775;0,000089;
апрель 2020;10 123;0,000084;
май 2020;9 389;0,000087;
июнь 2020;9 688;0,000108;
июль 2020;10 425;0,000123;
август 2020;13 362;0,000159;
сентябрь 2020;20 213;0,000212;
октябрь 2020;35 067;0,000325;
ноябрь 2020;14 117;0,000123;
декабрь 2020;6 642;0,000060;
январь 2021;5 459;0,000052;
февраль 2021;5 670;0,000056;
март 2021;7 312;0,000067;
апрель 2021;14 848;0,000137;
май 2021;11 581;0,000112;
июнь 2021;10 156;0,000102;
июль 2021;10 924;0,000112;
август 2021;16 872;0,000168;
сентябрь 2021;17 883;0,000166;
октябрь 2021;41 180;0,000362;
ноябрь 2021;14 166;0,000122;
декабрь 2021;7 656;0,000064;
январь 2022;6 337;0,000053;
февраль 2022;6 714;0,000056;
март 2022;7 208;0,000056;
апрель 2022;11 467;0,000095;
май 2022;11 604;0,000097;
июнь 2022;10 432;0,000097;
июль 2022;10 805;0,000103;
август 2022;17 272;0,000160;
сентябрь 2022;15 619;0,000133;
октябрь 2022;29 706;0,000240;
ноябрь 2022;15 274;0,000121;
декабрь 2022;6 614;0,000052;
январь 2023;5 155;0,000041;
февраль 2023;4 841;0,000042;
март 2023;8 274;0,000066;
апрель 2023;13 668;0,000118;
май 2023;12 150;0,000107;
июнь 2023;12 845;0,000125;
июль 2023;10 041;0,000099;
август 2023;14 927;0,000148;
сентябрь 2023;22 864;0,000212;
октябрь 2023;28 777;0,000241;
ноябрь 2023;17 105;0,000145;
декабрь 2023;7 874;0,000065;
январь 2024;7 215;0,000059;
февраль 2024;8 102;0,000072;
март 2024;8 092;0,000070;
апрель 2024;14 071;0,000129;
май 2024;12 148;0,000114;
июнь 2024;9 655;0,000103;
июль 2024;10 005;0,000107;
август 2024;11 293;0,000120;
сентябрь 2024;18 617;0,000187;
октябрь 2024;20 485;0,000182;
ноябрь 2024;11 507;0,000098;
декабрь 2024;5 379;0,000044;
январь 2025;5 100;0,000042;
февраль 2025;5 827;0,000051;
март 2025;9 005;0,000075;
апрель 2025;9 215;0,000080;
май 2025;8 237;0,000077;
июнь 2025;8 086;0,000076;
