Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Линейки, метры складные», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;480 129;0,0061;
февраль 2018;496 990;0,0064;
март 2018;516 565;0,0061;
апрель 2018;524 523;0,0069;
май 2018;576 639;0,0076;
июнь 2018;376 001;0,0054;
июль 2018;374 469;0,0053;
август 2018;883 286;0,0125;
сентябрь 2018;814 060;0,0102;
октябрь 2018;685 269;0,0074;
ноябрь 2018;630 839;0,0074;
декабрь 2018;595 847;0,0069;
январь 2019;589 799;0,0066;
февраль 2019;596 766;0,0071;
март 2019;588 600;0,0067;
апрель 2019;621 982;0,0075;
май 2019;625 953;0,0079;
июнь 2019;431 987;0,0059;
июль 2019;444 541;0,0060;
август 2019;914 148;0,0125;
сентябрь 2019;929 935;0,0118;
октябрь 2019;688 164;0,0077;
ноябрь 2019;696 351;0,0078;
декабрь 2019;710 643;0,0076;
январь 2020;716 875;0,0073;
февраль 2020;694 218;0,0075;
март 2020;651 059;0,0066;
апрель 2020;1 013 129;0,0084;
май 2020;918 582;0,0085;
июнь 2020;551 358;0,0061;
июль 2020;550 710;0,0065;
август 2020;983 192;0,0117;
сентябрь 2020;1 067 026;0,0112;
октябрь 2020;929 994;0,0086;
ноябрь 2020;972 071;0,0084;
декабрь 2020;920 951;0,0083;
январь 2021;759 493;0,0072;
февраль 2021;761 909;0,0076;
март 2021;816 118;0,0074;
апрель 2021;891 887;0,0082;
май 2021;868 729;0,0084;
июнь 2021;619 405;0,0062;
июль 2021;568 382;0,0058;
август 2021;1 084 027;0,0108;
сентябрь 2021;1 191 330;0,0111;
октябрь 2021;911 727;0,0080;
ноябрь 2021;947 600;0,0081;
декабрь 2021;955 169;0,0080;
январь 2022;880 862;0,0073;
февраль 2022;873 848;0,0073;
март 2022;887 731;0,0069;
апрель 2022;937 642;0,0078;
май 2022;1 032 191;0,0086;
июнь 2022;690 975;0,0064;
июль 2022;660 336;0,0063;
август 2022;1 254 525;0,0116;
сентябрь 2022;1 364 589;0,0116;
октябрь 2022;1 102 402;0,0089;
ноябрь 2022;1 092 775;0,0086;
декабрь 2022;1 043 021;0,0082;
январь 2023;985 561;0,0079;
февраль 2023;956 895;0,0083;
март 2023;1 034 325;0,0083;
апрель 2023;1 038 016;0,0089;
май 2023;1 143 347;0,0101;
июнь 2023;757 428;0,0073;
июль 2023;706 864;0,0070;
август 2023;1 168 987;0,0116;
сентябрь 2023;1 331 144;0,0123;
октябрь 2023;1 151 141;0,0096;
ноябрь 2023;1 119 723;0,0095;
декабрь 2023;1 059 296;0,0088;
январь 2024;1 032 319;0,0085;
февраль 2024;1 016 394;0,0090;
март 2024;1 004 732;0,0087;
апрель 2024;1 042 764;0,0096;
май 2024;1 078 502;0,0101;
июнь 2024;679 343;0,0072;
июль 2024;685 853;0,0073;
август 2024;1 278 813;0,0136;
сентябрь 2024;1 371 651;0,0138;
октябрь 2024;1 110 157;0,0098;
ноябрь 2024;1 130 210;0,0097;
декабрь 2024;1 157 071;0,0096;
январь 2025;1 075 700;0,0090;
февраль 2025;1 085 157;0,0095;
март 2025;1 099 028;0,0091;
апрель 2025;1 178 601;0,0103;
май 2025;1 149 507;0,0107;
июнь 2025;824 991;0,0078;
