Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Ручки дверные», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;113 279;0,0014;
февраль 2018;115 497;0,0014;
март 2018;123 240;0,0014;
апрель 2018;107 616;0,0014;
май 2018;106 299;0,0014;
июнь 2018;99 597;0,0014;
июль 2018;111 884;0,0016;
август 2018;119 125;0,0016;
сентябрь 2018;120 013;0,0015;
октябрь 2018;144 760;0,0015;
ноябрь 2018;142 265;0,0016;
декабрь 2018;131 108;0,0015;
январь 2019;135 570;0,0015;
февраль 2019;129 345;0,0015;
март 2019;140 225;0,0015;
апрель 2019;125 601;0,0015;
май 2019;116 081;0,0014;
июнь 2019;113 904;0,0015;
июль 2019;127 416;0,0017;
август 2019;127 955;0,0017;
сентябрь 2019;126 374;0,0016;
октябрь 2019;138 618;0,0015;
ноябрь 2019;145 038;0,0016;
декабрь 2019;147 576;0,0015;
январь 2020;171 959;0,0017;
февраль 2020;154 766;0,0016;
март 2020;164 625;0,0016;
апрель 2020;164 334;0,0013;
май 2020;167 836;0,0015;
июнь 2020;154 484;0,0017;
июль 2020;157 158;0,0018;
август 2020;158 631;0,0018;
сентябрь 2020;165 136;0,0017;
октябрь 2020;176 928;0,0016;
ноябрь 2020;187 132;0,0016;
декабрь 2020;182 144;0,0016;
январь 2021;186 949;0,0017;
февраль 2021;179 843;0,0017;
март 2021;194 689;0,0017;
апрель 2021;191 719;0,0017;
май 2021;181 072;0,0017;
июнь 2021;173 234;0,0017;
июль 2021;178 430;0,0018;
август 2021;199 189;0,0019;
сентябрь 2021;196 907;0,0018;
октябрь 2021;199 702;0,0017;
ноябрь 2021;216 473;0,0018;
декабрь 2021;214 833;0,0018;
январь 2022;215 865;0,0018;
февраль 2022;203 869;0,0017;
март 2022;238 758;0,0018;
апрель 2022;217 507;0,0018;
май 2022;208 697;0,0017;
июнь 2022;190 745;0,0017;
июль 2022;191 264;0,0018;
август 2022;206 710;0,0019;
сентябрь 2022;190 266;0,0016;
октябрь 2022;201 488;0,0016;
ноябрь 2022;218 735;0,0017;
декабрь 2022;201 503;0,0016;
январь 2023;213 249;0,0017;
февраль 2023;197 352;0,0017;
март 2023;218 005;0,0017;
апрель 2023;195 962;0,0016;
май 2023;195 918;0,0017;
июнь 2023;175 940;0,0017;
июль 2023;191 127;0,0018;
август 2023;193 106;0,0019;
сентябрь 2023;185 222;0,0017;
октябрь 2023;213 072;0,0017;
ноябрь 2023;220 943;0,0018;
декабрь 2023;205 322;0,0017;
январь 2024;221 882;0,0018;
февраль 2024;207 225;0,0018;
март 2024;212 302;0,0018;
апрель 2024;203 669;0,0018;
май 2024;196 628;0,0018;
июнь 2024;171 277;0,0018;
июль 2024;184 436;0,0019;
август 2024;193 156;0,0020;
сентябрь 2024;186 816;0,0018;
октябрь 2024;213 327;0,0019;
ноябрь 2024;228 552;0,0019;
декабрь 2024;222 560;0,0018;
январь 2025;229 206;0,0019;
февраль 2025;223 528;0,0019;
март 2025;225 633;0,0018;
апрель 2025;210 266;0,0018;
май 2025;202 296;0,0018;
июнь 2025;208 613;0,0019;
