Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Гибкая черепица», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;18 859;0,00024;
февраль 2018;23 683;0,00030;
март 2018;28 988;0,00034;
апрель 2018;36 608;0,00048;
май 2018;49 475;0,00065;
июнь 2018;53 169;0,00076;
июль 2018;60 689;0,00086;
август 2018;72 788;0,00103;
сентябрь 2018;59 080;0,00074;
октябрь 2018;49 244;0,00053;
ноябрь 2018;28 959;0,00034;
декабрь 2018;30 898;0,00036;
январь 2019;19 977;0,00022;
февраль 2019;23 039;0,00027;
март 2019;31 047;0,00035;
апрель 2019;39 901;0,00048;
май 2019;49 265;0,00062;
июнь 2019;51 987;0,00071;
июль 2019;61 395;0,00083;
август 2019;56 844;0,00078;
сентябрь 2019;51 170;0,00065;
октябрь 2019;40 974;0,00046;
ноябрь 2019;29 085;0,00032;
декабрь 2019;27 099;0,00029;
январь 2020;34 301;0,00035;
февраль 2020;28 301;0,00030;
март 2020;35 864;0,00036;
апрель 2020;45 163;0,00037;
май 2020;72 722;0,00067;
июнь 2020;78 212;0,00087;
июль 2020;75 617;0,00089;
август 2020;74 197;0,00088;
сентябрь 2020;63 448;0,00066;
октябрь 2020;53 135;0,00049;
ноябрь 2020;37 671;0,00032;
декабрь 2020;26 665;0,00024;
январь 2021;27 902;0,00026;
февраль 2021;32 953;0,00032;
март 2021;48 271;0,00044;
апрель 2021;68 181;0,00063;
май 2021;80 425;0,00077;
июнь 2021;90 472;0,00091;
июль 2021;91 137;0,00093;
август 2021;94 208;0,00093;
сентябрь 2021;75 676;0,00070;
октябрь 2021;63 717;0,00056;
ноябрь 2021;50 546;0,00043;
декабрь 2021;35 091;0,00029;
январь 2022;34 967;0,00029;
февраль 2022;42 384;0,00035;
март 2022;58 372;0,00045;
апрель 2022;59 109;0,00049;
май 2022;77 579;0,00065;
июнь 2022;84 243;0,00078;
июль 2022;89 820;0,00086;
август 2022;91 499;0,00084;
сентябрь 2022;71 032;0,00060;
октябрь 2022;54 106;0,00043;
ноябрь 2022;36 137;0,00028;
декабрь 2022;24 298;0,00019;
январь 2023;28 757;0,00023;
февраль 2023;42 542;0,00037;
март 2023;52 534;0,00042;
апрель 2023;60 974;0,00052;
май 2023;76 639;0,00067;
июнь 2023;82 059;0,00080;
июль 2023;90 530;0,00089;
август 2023;94 895;0,00094;
сентябрь 2023;81 547;0,00075;
октябрь 2023;65 066;0,00054;
ноябрь 2023;42 696;0,00036;
декабрь 2023;25 683;0,00021;
январь 2024;29 229;0,00024;
февраль 2024;37 137;0,00033;
март 2024;49 387;0,00042;
апрель 2024;65 389;0,00060;
май 2024;81 650;0,00076;
июнь 2024;83 176;0,00089;
июль 2024;92 067;0,00098;
август 2024;90 230;0,00096;
сентябрь 2024;80 244;0,00080;
октябрь 2024;60 323;0,00053;
ноябрь 2024;41 025;0,00035;
декабрь 2024;29 717;0,00024;
январь 2025;33 915;0,00028;
февраль 2025;38 074;0,00033;
март 2025;50 476;0,00042;
апрель 2025;62 326;0,00054;
май 2025;73 956;0,00069;
июнь 2025;94 658;0,00089;
