Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Стальные трубы и фитинги», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;193;0,0000024;
февраль 2018;229;0,0000029;
март 2018;258;0,0000030;
апрель 2018;189;0,0000024;
май 2018;226;0,0000030;
июнь 2018;222;0,0000031;
июль 2018;388;0,0000055;
август 2018;190;0,0000026;
сентябрь 2018;255;0,0000032;
октябрь 2018;322;0,0000034;
ноябрь 2018;289;0,0000034;
декабрь 2018;239;0,0000027;
январь 2019;251;0,0000028;
февраль 2019;273;0,0000032;
март 2019;262;0,0000029;
апрель 2019;260;0,0000031;
май 2019;306;0,0000038;
июнь 2019;172;0,0000023;
июль 2019;224;0,0000030;
август 2019;195;0,0000026;
сентябрь 2019;251;0,0000031;
октябрь 2019;264;0,0000029;
ноябрь 2019;256;0,0000028;
декабрь 2019;224;0,0000024;
январь 2020;253;0,0000026;
февраль 2020;243;0,0000026;
март 2020;212;0,0000021;
апрель 2020;248;0,0000020;
май 2020;299;0,0000027;
июнь 2020;288;0,0000032;
июль 2020;236;0,0000028;
август 2020;221;0,0000026;
сентябрь 2020;331;0,0000034;
октябрь 2020;286;0,0000026;
ноябрь 2020;276;0,0000024;
декабрь 2020;317;0,0000028;
январь 2021;193;0,0000018;
февраль 2021;279;0,0000027;
март 2021;249;0,0000022;
апрель 2021;298;0,0000027;
май 2021;253;0,0000024;
июнь 2021;232;0,0000023;
июль 2021;279;0,0000028;
август 2021;268;0,0000026;
сентябрь 2021;307;0,0000028;
октябрь 2021;265;0,0000023;
ноябрь 2021;334;0,0000028;
декабрь 2021;274;0,0000023;
январь 2022;291;0,0000024;
февраль 2022;289;0,0000024;
март 2022;339;0,0000026;
апрель 2022;338;0,0000028;
май 2022;285;0,0000023;
июнь 2022;338;0,0000031;
июль 2022;251;0,0000024;
август 2022;255;0,0000023;
сентябрь 2022;250;0,0000021;
октябрь 2022;247;0,0000019;
ноябрь 2022;258;0,0000020;
декабрь 2022;289;0,0000022;
январь 2023;214;0,0000017;
февраль 2023;216;0,0000018;
март 2023;304;0,0000024;
апрель 2023;224;0,0000019;
май 2023;245;0,0000021;
июнь 2023;288;0,0000028;
июль 2023;281;0,0000027;
август 2023;263;0,0000026;
сентябрь 2023;217;0,0000020;
октябрь 2023;258;0,0000021;
ноябрь 2023;291;0,0000024;
декабрь 2023;202;0,0000016;
январь 2024;173;0,0000014;
февраль 2024;219;0,0000019;
март 2024;245;0,0000021;
апрель 2024;223;0,0000020;
май 2024;239;0,0000022;
июнь 2024;267;0,0000028;
июль 2024;247;0,0000026;
август 2024;199;0,0000021;
сентябрь 2024;233;0,0000023;
октябрь 2024;319;0,0000028;
ноябрь 2024;279;0,0000023;
декабрь 2024;233;0,0000019;
январь 2025;206;0,0000017;
февраль 2025;303;0,0000026;
март 2025;239;0,0000019;
апрель 2025;323;0,0000028;
май 2025;206;0,0000019;
июнь 2025;244;0,0000023;
