Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Тиски», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;114 392;0,0014;
февраль 2018;119 539;0,0015;
март 2018;129 451;0,0015;
апрель 2018;111 640;0,0014;
май 2018;110 092;0,0014;
июнь 2018;95 325;0,0013;
июль 2018;89 520;0,0012;
август 2018;94 211;0,0013;
сентябрь 2018;106 980;0,0013;
октябрь 2018;141 302;0,0015;
ноябрь 2018;138 549;0,0016;
декабрь 2018;124 854;0,0014;
январь 2019;129 720;0,0014;
февраль 2019;136 235;0,0016;
март 2019;141 344;0,0016;
апрель 2019;144 069;0,0017;
май 2019;125 144;0,0015;
июнь 2019;106 188;0,0014;
июль 2019;110 872;0,0015;
август 2019;106 426;0,0014;
сентябрь 2019;112 625;0,0014;
октябрь 2019;147 150;0,0016;
ноябрь 2019;151 962;0,0017;
декабрь 2019;161 131;0,0017;
январь 2020;172 107;0,0017;
февраль 2020;173 239;0,0018;
март 2020;167 896;0,0017;
апрель 2020;198 555;0,0016;
май 2020;184 839;0,0017;
июнь 2020;153 048;0,0017;
июль 2020;125 903;0,0014;
август 2020;121 725;0,0014;
сентябрь 2020;146 745;0,0015;
октябрь 2020;173 170;0,0016;
ноябрь 2020;183 722;0,0016;
декабрь 2020;175 845;0,0015;
январь 2021;167 201;0,0016;
февраль 2021;171 709;0,0017;
март 2021;189 918;0,0017;
апрель 2021;173 326;0,0016;
май 2021;150 093;0,0014;
июнь 2021;144 578;0,0014;
июль 2021;140 957;0,0014;
август 2021;145 537;0,0014;
сентябрь 2021;168 659;0,0015;
октябрь 2021;169 963;0,0014;
ноябрь 2021;186 798;0,0016;
декабрь 2021;188 452;0,0015;
январь 2022;179 589;0,0015;
февраль 2022;188 870;0,0015;
март 2022;187 956;0,0014;
апрель 2022;188 847;0,0015;
май 2022;179 558;0,0015;
июнь 2022;153 389;0,0014;
июль 2022;140 935;0,0013;
август 2022;149 677;0,0013;
сентябрь 2022;155 414;0,0013;
октябрь 2022;176 762;0,0014;
ноябрь 2022;192 278;0,0015;
декабрь 2022;173 142;0,0013;
январь 2023;173 334;0,0014;
февраль 2023;184 234;0,0016;
март 2023;199 694;0,0016;
апрель 2023;170 428;0,0014;
май 2023;164 234;0,0014;
июнь 2023;142 537;0,0013;
июль 2023;132 438;0,0013;
август 2023;131 081;0,0013;
сентябрь 2023;141 622;0,0013;
октябрь 2023;171 029;0,0014;
ноябрь 2023;175 283;0,0014;
декабрь 2023;154 902;0,0012;
январь 2024;161 248;0,0013;
февраль 2024;181 591;0,0016;
март 2024;178 148;0,0015;
апрель 2024;167 469;0,0015;
май 2024;159 605;0,0014;
июнь 2024;129 823;0,0013;
июль 2024;123 083;0,0013;
август 2024;123 011;0,0013;
сентябрь 2024;132 644;0,0013;
октябрь 2024;163 329;0,0014;
ноябрь 2024;174 212;0,0014;
декабрь 2024;171 024;0,0014;
январь 2025;171 758;0,0014;
февраль 2025;187 872;0,0016;
март 2025;172 057;0,0014;
апрель 2025;159 383;0,0013;
май 2025;146 803;0,0013;
июнь 2025;140 518;0,0013;
