Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Держатели для душа», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;5 555;0,000071;
февраль 2018;5 484;0,000070;
март 2018;5 905;0,000070;
апрель 2018;5 134;0,000067;
май 2018;5 270;0,000070;
июнь 2018;5 954;0,000085;
июль 2018;6 125;0,000087;
август 2018;6 117;0,000086;
сентябрь 2018;5 778;0,000072;
октябрь 2018;6 925;0,000075;
ноябрь 2018;6 450;0,000075;
декабрь 2018;5 770;0,000067;
январь 2019;6 883;0,000078;
февраль 2019;6 186;0,000073;
март 2019;6 177;0,000070;
апрель 2019;5 477;0,000066;
май 2019;5 650;0,000071;
июнь 2019;5 770;0,000079;
июль 2019;6 532;0,000088;
август 2019;6 519;0,000089;
сентябрь 2019;6 080;0,000077;
октябрь 2019;6 998;0,000079;
ноябрь 2019;7 075;0,000079;
декабрь 2019;7 422;0,000080;
январь 2020;8 279;0,000085;
февраль 2020;7 626;0,000082;
март 2020;6 996;0,000071;
апрель 2020;6 380;0,000053;
май 2020;8 094;0,000075;
июнь 2020;8 540;0,000095;
июль 2020;8 690;0,000103;
август 2020;8 880;0,000105;
сентябрь 2020;8 303;0,000087;
октябрь 2020;9 718;0,000090;
ноябрь 2020;10 270;0,000089;
декабрь 2020;10 161;0,000091;
январь 2021;10 581;0,000101;
февраль 2021;9 924;0,000099;
март 2021;12 376;0,000113;
апрель 2021;10 659;0,000098;
май 2021;10 576;0,000102;
июнь 2021;10 325;0,000104;
июль 2021;11 899;0,000122;
август 2021;13 120;0,000130;
сентябрь 2021;11 283;0,000105;
октябрь 2021;11 201;0,000098;
ноябрь 2021;12 093;0,000104;
декабрь 2021;10 890;0,000091;
январь 2022;12 320;0,000103;
февраль 2022;10 899;0,000092;
март 2022;11 940;0,000093;
апрель 2022;11 374;0,000095;
май 2022;10 657;0,000089;
июнь 2022;10 512;0,000098;
июль 2022;11 649;0,000111;
август 2022;11 454;0,000106;
сентябрь 2022;10 514;0,000089;
октябрь 2022;10 698;0,000086;
ноябрь 2022;11 394;0,000090;
декабрь 2022;10 027;0,000079;
январь 2023;11 511;0,000093;
февраль 2023;9 977;0,000087;
март 2023;11 111;0,000089;
апрель 2023;9 426;0,000081;
май 2023;9 863;0,000087;
июнь 2023;10 211;0,000099;
июль 2023;11 721;0,000116;
август 2023;11 161;0,000111;
сентябрь 2023;10 066;0,000093;
октябрь 2023;11 611;0,000097;
ноябрь 2023;11 866;0,000101;
декабрь 2023;10 394;0,000087;
январь 2024;11 746;0,000097;
февраль 2024;11 478;0,000102;
март 2024;11 185;0,000096;
апрель 2024;9 892;0,000091;
май 2024;10 194;0,000095;
июнь 2024;9 728;0,000104;
июль 2024;10 626;0,000114;
август 2024;10 108;0,000108;
сентябрь 2024;9 844;0,000099;
октябрь 2024;10 333;0,000092;
ноябрь 2024;10 824;0,000093;
декабрь 2024;10 803;0,000090;
январь 2025;11 646;0,000098;
февраль 2025;11 215;0,000098;
март 2025;11 147;0,000093;
апрель 2025;10 103;0,000088;
май 2025;10 208;0,000095;
июнь 2025;11 128;0,000105;
