Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Фланцы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;194 135;0,0024;
февраль 2018;226 563;0,0029;
март 2018;255 521;0,0030;
апрель 2018;251 697;0,0033;
май 2018;395 997;0,0052;
июнь 2018;259 899;0,0037;
июль 2018;264 655;0,0037;
август 2018;286 930;0,0040;
сентябрь 2018;274 236;0,0034;
октябрь 2018;358 501;0,0038;
ноябрь 2018;281 264;0,0033;
декабрь 2018;256 613;0,0030;
январь 2019;234 855;0,0026;
февраль 2019;271 085;0,0032;
март 2019;305 717;0,0034;
апрель 2019;309 011;0,0037;
май 2019;271 784;0,0034;
июнь 2019;278 985;0,0038;
июль 2019;296 298;0,0040;
август 2019;276 321;0,0038;
сентябрь 2019;268 201;0,0034;
октябрь 2019;308 367;0,0034;
ноябрь 2019;280 326;0,0031;
декабрь 2019;275 824;0,0029;
январь 2020;264 080;0,0027;
февраль 2020;284 101;0,0030;
март 2020;287 457;0,0029;
апрель 2020;270 659;0,0022;
май 2020;295 826;0,0027;
июнь 2020;316 423;0,0035;
июль 2020;306 113;0,0036;
август 2020;287 600;0,0034;
сентябрь 2020;307 835;0,0032;
октябрь 2020;320 276;0,0029;
ноябрь 2020;312 108;0,0027;
декабрь 2020;302 923;0,0027;
январь 2021;256 654;0,0024;
февраль 2021;298 937;0,0029;
март 2021;355 641;0,0032;
апрель 2021;372 186;0,0034;
май 2021;329 435;0,0031;
июнь 2021;368 460;0,0037;
июль 2021;349 760;0,0036;
август 2021;369 384;0,0036;
сентябрь 2021;373 809;0,0034;
октябрь 2021;367 327;0,0032;
ноябрь 2021;369 549;0,0031;
декабрь 2021;363 247;0,0030;
январь 2022;317 566;0,0026;
февраль 2022;352 719;0,0029;
март 2022;400 785;0,0031;
апрель 2022;411 793;0,0034;
май 2022;389 805;0,0032;
июнь 2022;411 374;0,0038;
июль 2022;386 972;0,0037;
август 2022;407 640;0,0037;
сентябрь 2022;376 991;0,0032;
октябрь 2022;388 112;0,0031;
ноябрь 2022;407 715;0,0032;
декабрь 2022;364 551;0,0028;
январь 2023;336 501;0,0027;
февраль 2023;364 103;0,0031;
март 2023;444 263;0,0035;
апрель 2023;427 087;0,0036;
май 2023;432 258;0,0038;
июнь 2023;434 599;0,0042;
июль 2023;418 454;0,0041;
август 2023;432 383;0,0043;
сентябрь 2023;416 113;0,0038;
октябрь 2023;456 755;0,0038;
ноябрь 2023;440 184;0,0037;
декабрь 2023;385 479;0,0032;
январь 2024;378 176;0,0031;
февраль 2024;436 055;0,0038;
март 2024;460 082;0,0039;
апрель 2024;478 864;0,0044;
май 2024;470 623;0,0044;
июнь 2024;435 605;0,0046;
июль 2024;474 911;0,0051;
август 2024;447 059;0,0047;
сентябрь 2024;453 558;0,0045;
октябрь 2024;518 946;0,0046;
ноябрь 2024;507 339;0,0043;
декабрь 2024;485 136;0,0040;
январь 2025;440 685;0,0037;
февраль 2025;519 955;0,0045;
март 2025;538 582;0,0044;
апрель 2025;537 113;0,0047;
май 2025;484 593;0,0045;
июнь 2025;533 269;0,0050;
