Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Полки для ванной», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;24 556;0,00031;
февраль 2018;20 593;0,00026;
март 2018;21 891;0,00026;
апрель 2018;16 833;0,00022;
май 2018;14 729;0,00019;
июнь 2018;16 142;0,00023;
июль 2018;18 589;0,00026;
август 2018;20 616;0,00029;
сентябрь 2018;20 979;0,00026;
октябрь 2018;23 869;0,00025;
ноябрь 2018;22 475;0,00026;
декабрь 2018;19 290;0,00022;
январь 2019;22 581;0,00025;
февраль 2019;22 046;0,00026;
март 2019;21 549;0,00024;
апрель 2019;17 094;0,00020;
май 2019;16 273;0,00020;
июнь 2019;17 107;0,00023;
июль 2019;21 091;0,00028;
август 2019;22 456;0,00030;
сентябрь 2019;21 513;0,00027;
октябрь 2019;27 956;0,00031;
ноябрь 2019;25 558;0,00028;
декабрь 2019;24 774;0,00026;
январь 2020;29 042;0,00029;
февраль 2020;26 231;0,00028;
март 2020;23 867;0,00024;
апрель 2020;22 220;0,00018;
май 2020;26 683;0,00024;
июнь 2020;26 505;0,00029;
июль 2020;28 326;0,00033;
август 2020;30 886;0,00036;
сентябрь 2020;31 202;0,00032;
октябрь 2020;37 476;0,00034;
ноябрь 2020;40 038;0,00034;
декабрь 2020;37 530;0,00033;
январь 2021;39 191;0,00037;
февраль 2021;38 015;0,00038;
март 2021;37 506;0,00034;
апрель 2021;32 238;0,00029;
май 2021;30 231;0,00029;
июнь 2021;31 415;0,00031;
июль 2021;37 620;0,00038;
август 2021;44 342;0,00044;
сентябрь 2021;44 204;0,00041;
октябрь 2021;43 641;0,00038;
ноябрь 2021;46 591;0,00040;
декабрь 2021;42 488;0,00035;
январь 2022;49 287;0,00041;
февраль 2022;42 351;0,00035;
март 2022;41 994;0,00032;
апрель 2022;38 670;0,00032;
май 2022;34 245;0,00028;
июнь 2022;31 070;0,00028;
июль 2022;36 381;0,00034;
август 2022;42 168;0,00039;
сентябрь 2022;36 602;0,00031;
октябрь 2022;39 431;0,00031;
ноябрь 2022;40 760;0,00032;
декабрь 2022;34 857;0,00027;
январь 2023;39 084;0,00031;
февраль 2023;34 720;0,00030;
март 2023;37 176;0,00029;
апрель 2023;29 016;0,00025;
май 2023;28 268;0,00024;
июнь 2023;30 055;0,00029;
июль 2023;34 734;0,00034;
август 2023;36 234;0,00036;
сентябрь 2023;37 204;0,00034;
октябрь 2023;44 625;0,00037;
ноябрь 2023;44 861;0,00038;
декабрь 2023;36 147;0,00030;
январь 2024;40 394;0,00033;
февраль 2024;37 939;0,00033;
март 2024;36 250;0,00031;
апрель 2024;30 697;0,00028;
май 2024;28 174;0,00026;
июнь 2024;26 102;0,00027;
июль 2024;29 717;0,00031;
август 2024;29 666;0,00031;
сентябрь 2024;28 674;0,00028;
октябрь 2024;32 245;0,00028;
ноябрь 2024;33 832;0,00029;
декабрь 2024;31 739;0,00026;
январь 2025;34 056;0,00028;
февраль 2025;30 365;0,00026;
март 2025;28 969;0,00024;
апрель 2025;24 538;0,00021;
май 2025;23 112;0,00021;
июнь 2025;27 275;0,00025;
