Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Соковыжималки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;185 322;0,0023;
февраль 2018;186 397;0,0024;
март 2018;207 844;0,0024;
апрель 2018;163 410;0,0021;
май 2018;161 755;0,0021;
июнь 2018;164 026;0,0023;
июль 2018;296 541;0,0042;
август 2018;631 183;0,0089;
сентябрь 2018;619 132;0,0078;
октябрь 2018;372 460;0,0040;
ноябрь 2018;226 503;0,0026;
декабрь 2018;207 727;0,0024;
январь 2019;216 389;0,0024;
февраль 2019;216 948;0,0025;
март 2019;234 636;0,0026;
апрель 2019;179 003;0,0021;
май 2019;177 824;0,0022;
июнь 2019;171 470;0,0023;
июль 2019;305 765;0,0041;
август 2019;726 793;0,0099;
сентябрь 2019;629 818;0,0080;
октябрь 2019;394 799;0,0044;
ноябрь 2019;242 273;0,0027;
декабрь 2019;260 887;0,0028;
январь 2020;271 197;0,0027;
февраль 2020;245 007;0,0026;
март 2020;237 832;0,0024;
апрель 2020;182 706;0,0015;
май 2020;230 176;0,0021;
июнь 2020;212 492;0,0023;
июль 2020;320 738;0,0038;
август 2020;698 319;0,0083;
сентябрь 2020;650 623;0,0068;
октябрь 2020;397 972;0,0036;
ноябрь 2020;277 800;0,0024;
декабрь 2020;239 478;0,0021;
январь 2021;231 857;0,0022;
февраль 2021;222 570;0,0022;
март 2021;243 163;0,0022;
апрель 2021;218 946;0,0020;
май 2021;193 206;0,0018;
июнь 2021;208 914;0,0021;
июль 2021;376 286;0,0038;
август 2021;1 026 638;0,0102;
сентябрь 2021;771 597;0,0072;
октябрь 2021;442 692;0,0038;
ноябрь 2021;292 315;0,0025;
декабрь 2021;246 700;0,0020;
январь 2022;244 506;0,0020;
февраль 2022;233 031;0,0019;
март 2022;246 222;0,0019;
апрель 2022;222 641;0,0018;
май 2022;227 034;0,0019;
июнь 2022;205 126;0,0019;
июль 2022;312 741;0,0029;
август 2022;782 909;0,0072;
сентябрь 2022;716 530;0,0061;
октябрь 2022;473 843;0,0038;
ноябрь 2022;293 742;0,0023;
декабрь 2022;236 953;0,0018;
январь 2023;224 623;0,0018;
февраль 2023;218 108;0,0019;
март 2023;240 979;0,0019;
апрель 2023;190 645;0,0016;
май 2023;200 769;0,0017;
июнь 2023;191 930;0,0018;
июль 2023;278 441;0,0027;
август 2023;583 785;0,0058;
сентябрь 2023;553 037;0,0051;
октябрь 2023;419 715;0,0035;
ноябрь 2023;279 626;0,0023;
декабрь 2023;223 202;0,0018;
январь 2024;226 571;0,0018;
февраль 2024;233 222;0,0020;
март 2024;227 648;0,0019;
апрель 2024;196 070;0,0018;
май 2024;194 797;0,0018;
июнь 2024;164 591;0,0017;
июль 2024;250 628;0,0026;
август 2024;456 714;0,0048;
сентябрь 2024;445 825;0,0044;
октябрь 2024;309 481;0,0027;
ноябрь 2024;230 217;0,0019;
декабрь 2024;196 351;0,0016;
январь 2025;198 082;0,0016;
февраль 2025;187 262;0,0016;
март 2025;197 654;0,0016;
апрель 2025;163 538;0,0014;
май 2025;154 309;0,0014;
июнь 2025;164 347;0,0015;
