Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Керамические профили», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;598;0,0000076;
февраль 2018;574;0,0000074;
март 2018;700;0,0000083;
апрель 2018;523;0,0000069;
май 2018;687;0,0000091;
июнь 2018;648;0,0000093;
июль 2018;799;0,0000114;
август 2018;940;0,0000133;
сентябрь 2018;869;0,0000109;
октябрь 2018;940;0,0000102;
ноябрь 2018;576;0,0000067;
декабрь 2018;583;0,0000068;
январь 2019;611;0,0000069;
февраль 2019;651;0,0000077;
март 2019;868;0,0000098;
апрель 2019;760;0,0000091;
май 2019;835;0,0000105;
июнь 2019;762;0,0000105;
июль 2019;902;0,0000122;
август 2019;766;0,0000105;
сентябрь 2019;665;0,0000084;
октябрь 2019;666;0,0000075;
ноябрь 2019;690;0,0000077;
декабрь 2019;705;0,0000076;
январь 2020;805;0,0000082;
февраль 2020;803;0,0000087;
март 2020;734;0,0000074;
апрель 2020;903;0,0000075;
май 2020;864;0,0000080;
июнь 2020;871;0,0000097;
июль 2020;1 032;0,0000122;
август 2020;1 030;0,0000122;
сентябрь 2020;879;0,0000092;
октябрь 2020;984;0,0000091;
ноябрь 2020;971;0,0000084;
декабрь 2020;841;0,0000076;
январь 2021;889;0,0000085;
февраль 2021;902;0,0000090;
март 2021;1 083;0,0000099;
апрель 2021;988;0,0000091;
май 2021;1 012;0,0000098;
июнь 2021;1 019;0,0000102;
июль 2021;1 134;0,0000116;
август 2021;1 370;0,0000136;
сентябрь 2021;1 196;0,0000111;
октябрь 2021;1 231;0,0000108;
ноябрь 2021;1 110;0,0000095;
декабрь 2021;976;0,0000082;
январь 2022;877;0,0000073;
февраль 2022;1 026;0,0000086;
март 2022;872;0,0000068;
апрель 2022;838;0,0000070;
май 2022;806;0,0000067;
июнь 2022;976;0,0000091;
июль 2022;848;0,0000081;
август 2022;906;0,0000084;
сентябрь 2022;621;0,0000053;
октябрь 2022;815;0,0000065;
ноябрь 2022;882;0,0000069;
декабрь 2022;775;0,0000061;
январь 2023;692;0,0000056;
февраль 2023;798;0,0000069;
март 2023;879;0,0000070;
апрель 2023;774;0,0000067;
май 2023;810;0,0000071;
июнь 2023;702;0,0000068;
июль 2023;797;0,0000079;
август 2023;831;0,0000082;
сентябрь 2023;733;0,0000068;
октябрь 2023;868;0,0000072;
ноябрь 2023;797;0,0000067;
декабрь 2023;768;0,0000064;
январь 2024;765;0,0000063;
февраль 2024;782;0,0000069;
март 2024;864;0,0000074;
апрель 2024;736;0,0000067;
май 2024;768;0,0000072;
июнь 2024;663;0,0000070;
июль 2024;762;0,0000081;
август 2024;681;0,0000072;
сентябрь 2024;714;0,0000071;
октябрь 2024;671;0,0000059;
ноябрь 2024;761;0,0000065;
декабрь 2024;933;0,0000077;
январь 2025;920;0,0000077;
февраль 2025;1 085;0,0000095;
март 2025;1 166;0,0000097;
апрель 2025;955;0,0000083;
май 2025;893;0,0000083;
июнь 2025;993;0,0000094;
