Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Рубанки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;89 045;0,00114;
февраль 2018;91 509;0,00118;
март 2018;99 050;0,00117;
апрель 2018;91 791;0,00121;
май 2018;95 294;0,00126;
июнь 2018;96 105;0,00138;
июль 2018;102 839;0,00147;
август 2018;103 497;0,00146;
сентябрь 2018;104 844;0,00132;
октябрь 2018;119 098;0,00129;
ноябрь 2018;99 821;0,00117;
декабрь 2018;90 420;0,00105;
январь 2019;90 772;0,00103;
февраль 2019;97 534;0,00116;
март 2019;104 351;0,00118;
апрель 2019;98 809;0,00119;
май 2019;100 962;0,00127;
июнь 2019;97 764;0,00134;
июль 2019;109 333;0,00148;
август 2019;100 200;0,00137;
сентябрь 2019;99 428;0,00126;
октябрь 2019;109 772;0,00124;
ноябрь 2019;101 108;0,00113;
декабрь 2019;106 855;0,00115;
январь 2020;110 136;0,00113;
февраль 2020;116 488;0,00126;
март 2020;112 870;0,00114;
апрель 2020;159 369;0,00133;
май 2020;182 013;0,00169;
июнь 2020;147 854;0,00165;
июль 2020;138 335;0,00164;
август 2020;123 285;0,00147;
сентябрь 2020;132 285;0,00139;
октябрь 2020;144 065;0,00133;
ноябрь 2020;148 281;0,00129;
декабрь 2020;133 929;0,00121;
январь 2021;114 951;0,00110;
февраль 2021;116 974;0,00117;
март 2021;126 359;0,00116;
апрель 2021;130 874;0,00121;
май 2021;131 689;0,00127;
июнь 2021;129 374;0,00130;
июль 2021;129 506;0,00133;
август 2021;139 909;0,00139;
сентябрь 2021;141 752;0,00132;
октябрь 2021;140 121;0,00123;
ноябрь 2021;139 617;0,00120;
декабрь 2021;124 505;0,00105;
январь 2022;125 187;0,00105;
февраль 2022;130 356;0,00110;
март 2022;153 598;0,00120;
апрель 2022;146 891;0,00122;
май 2022;160 809;0,00134;
июнь 2022;155 182;0,00144;
июль 2022;147 955;0,00141;
август 2022;144 673;0,00134;
сентябрь 2022;128 511;0,00109;
октябрь 2022;134 915;0,00109;
ноябрь 2022;131 128;0,00103;
декабрь 2022;117 818;0,00093;
январь 2023;118 345;0,00096;
февраль 2023;124 558;0,00109;
март 2023;137 017;0,00110;
апрель 2023;126 295;0,00109;
май 2023;138 910;0,00122;
июнь 2023;131 952;0,00128;
июль 2023;132 534;0,00131;
август 2023;126 827;0,00126;
сентябрь 2023;129 089;0,00120;
октябрь 2023;138 677;0,00116;
ноябрь 2023;126 958;0,00108;
декабрь 2023;112 432;0,00094;
январь 2024;108 271;0,00089;
февраль 2024;117 578;0,00104;
март 2024;122 444;0,00106;
апрель 2024;117 686;0,00108;
май 2024;127 539;0,00119;
июнь 2024;111 427;0,00119;
июль 2024;113 789;0,00122;
август 2024;111 048;0,00118;
сентябрь 2024;109 755;0,00110;
октябрь 2024;121 510;0,00108;
ноябрь 2024;123 725;0,00106;
декабрь 2024;114 803;0,00095;
январь 2025;113 876;0,00095;
февраль 2025;120 549;0,00105;
март 2025;122 895;0,00102;
апрель 2025;114 657;0,00100;
май 2025;115 205;0,00107;
июнь 2025;117 934;0,00111;
