Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Знаки информационные», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;6 892;0,000088;
февраль 2018;9 796;0,000126;
март 2018;8 574;0,000101;
апрель 2018;8 626;0,000113;
май 2018;7 996;0,000106;
июнь 2018;6 769;0,000097;
июль 2018;5 154;0,000073;
август 2018;5 431;0,000076;
сентябрь 2018;9 660;0,000121;
октябрь 2018;18 534;0,000201;
ноябрь 2018;11 141;0,000131;
декабрь 2018;9 616;0,000112;
январь 2019;8 117;0,000092;
февраль 2019;9 127;0,000108;
март 2019;9 434;0,000107;
апрель 2019;11 573;0,000140;
май 2019;10 885;0,000137;
июнь 2019;7 940;0,000109;
июль 2019;6 232;0,000084;
август 2019;5 969;0,000082;
сентябрь 2019;10 004;0,000127;
октябрь 2019;19 392;0,000219;
ноябрь 2019;17 225;0,000194;
декабрь 2019;17 295;0,000186;
январь 2020;10 549;0,000108;
февраль 2020;11 232;0,000122;
март 2020;10 998;0,000111;
апрель 2020;15 885;0,000132;
май 2020;15 887;0,000148;
июнь 2020;12 181;0,000136;
июль 2020;7 245;0,000086;
август 2020;6 781;0,000080;
сентябрь 2020;14 095;0,000148;
октябрь 2020;23 223;0,000215;
ноябрь 2020;19 798;0,000172;
декабрь 2020;18 756;0,000169;
январь 2021;11 771;0,000112;
февраль 2021;12 555;0,000125;
март 2021;14 602;0,000134;
апрель 2021;15 141;0,000140;
май 2021;13 203;0,000127;
июнь 2021;11 684;0,000117;
июль 2021;7 626;0,000078;
август 2021;8 085;0,000080;
сентябрь 2021;14 963;0,000139;
октябрь 2021;20 159;0,000177;
ноябрь 2021;19 368;0,000167;
декабрь 2021;18 306;0,000154;
январь 2022;13 594;0,000114;
февраль 2022;15 387;0,000130;
март 2022;14 785;0,000115;
апрель 2022;15 273;0,000127;
май 2022;12 755;0,000106;
июнь 2022;11 355;0,000105;
июль 2022;8 019;0,000076;
август 2022;8 569;0,000079;
сентябрь 2022;15 100;0,000129;
октябрь 2022;21 559;0,000174;
ноябрь 2022;19 587;0,000155;
декабрь 2022;18 799;0,000149;
январь 2023;14 377;0,000116;
февраль 2023;14 841;0,000130;
март 2023;16 479;0,000132;
апрель 2023;14 862;0,000128;
май 2023;15 331;0,000135;
июнь 2023;12 505;0,000121;
июль 2023;8 220;0,000081;
август 2023;8 399;0,000083;
сентябрь 2023;14 991;0,000139;
октябрь 2023;21 476;0,000180;
ноябрь 2023;23 578;0,000200;
декабрь 2023;18 555;0,000155;
январь 2024;14 591;0,000121;
февраль 2024;17 150;0,000152;
март 2024;14 261;0,000123;
апрель 2024;14 638;0,000134;
май 2024;13 572;0,000127;
июнь 2024;10 637;0,000113;
июль 2024;8 430;0,000090;
август 2024;7 850;0,000083;
сентябрь 2024;13 053;0,000131;
октябрь 2024;21 448;0,000191;
ноябрь 2024;19 567;0,000168;
декабрь 2024;20 837;0,000173;
январь 2025;16 076;0,000135;
февраль 2025;20 383;0,000178;
март 2025;19 820;0,000165;
апрель 2025;21 057;0,000184;
май 2025;15 934;0,000149;
июнь 2025;13 657;0,000129;
