Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Чугунные радиаторы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;44 495;0,00057;
февраль 2018;43 163;0,00055;
март 2018;46 454;0,00055;
апрель 2018;39 370;0,00051;
май 2018;45 823;0,00060;
июнь 2018;50 050;0,00072;
июль 2018;58 690;0,00083;
август 2018;68 824;0,00097;
сентябрь 2018;74 503;0,00094;
октябрь 2018;68 772;0,00074;
ноябрь 2018;56 231;0,00066;
декабрь 2018;49 715;0,00058;
январь 2019;45 809;0,00052;
февраль 2019;43 749;0,00052;
март 2019;41 334;0,00047;
апрель 2019;41 272;0,00049;
май 2019;43 162;0,00054;
июнь 2019;50 435;0,00069;
июль 2019;58 978;0,00080;
август 2019;64 903;0,00089;
сентябрь 2019;73 659;0,00093;
октябрь 2019;56 461;0,00063;
ноябрь 2019;55 241;0,00062;
декабрь 2019;46 178;0,00049;
январь 2020;44 100;0,00045;
февраль 2020;42 688;0,00046;
март 2020;37 341;0,00037;
апрель 2020;33 821;0,00028;
май 2020;45 755;0,00042;
июнь 2020;52 064;0,00058;
июль 2020;57 042;0,00067;
август 2020;61 613;0,00073;
сентябрь 2020;66 822;0,00070;
октябрь 2020;56 669;0,00052;
ноябрь 2020;56 364;0,00049;
декабрь 2020;55 465;0,00050;
январь 2021;55 847;0,00053;
февраль 2021;50 746;0,00050;
март 2021;49 654;0,00045;
апрель 2021;48 788;0,00045;
май 2021;48 792;0,00047;
июнь 2021;58 363;0,00058;
июль 2021;61 521;0,00063;
август 2021;79 021;0,00078;
сентябрь 2021;97 590;0,00091;
октябрь 2021;63 975;0,00056;
ноябрь 2021;61 781;0,00053;
декабрь 2021;60 898;0,00051;
январь 2022;55 049;0,00046;
февраль 2022;47 059;0,00039;
март 2022;52 285;0,00041;
апрель 2022;48 826;0,00040;
май 2022;51 938;0,00043;
июнь 2022;55 864;0,00052;
июль 2022;58 911;0,00056;
август 2022;68 028;0,00063;
сентябрь 2022;74 258;0,00063;
октябрь 2022;54 144;0,00043;
ноябрь 2022;57 668;0,00045;
декабрь 2022;52 596;0,00041;
январь 2023;53 943;0,00043;
февраль 2023;43 645;0,00038;
март 2023;42 251;0,00033;
апрель 2023;38 874;0,00033;
май 2023;44 516;0,00039;
июнь 2023;49 536;0,00048;
июль 2023;55 012;0,00054;
август 2023;60 991;0,00060;
сентябрь 2023;65 873;0,00061;
октябрь 2023;67 350;0,00056;
ноябрь 2023;52 022;0,00044;
декабрь 2023;53 284;0,00044;
январь 2024;59 615;0,00049;
февраль 2024;45 194;0,00040;
март 2024;38 968;0,00033;
апрель 2024;37 880;0,00034;
май 2024;43 072;0,00040;
июнь 2024;42 464;0,00045;
июль 2024;50 457;0,00054;
август 2024;55 971;0,00059;
сентябрь 2024;57 863;0,00058;
октябрь 2024;57 930;0,00051;
ноябрь 2024;47 349;0,00040;
декабрь 2024;43 712;0,00036;
январь 2025;36 201;0,00030;
февраль 2025;37 198;0,00032;
март 2025;32 904;0,00027;
апрель 2025;31 919;0,00028;
май 2025;33 394;0,00031;
июнь 2025;39 808;0,00037;
