Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Пилы цепные», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;35 147;0,00045;
февраль 2018;35 194;0,00045;
март 2018;40 943;0,00048;
апрель 2018;54 437;0,00071;
май 2018;65 504;0,00087;
июнь 2018;58 739;0,00084;
июль 2018;53 401;0,00076;
август 2018;63 802;0,00090;
сентябрь 2018;62 741;0,00079;
октябрь 2018;70 127;0,00076;
ноябрь 2018;56 203;0,00066;
декабрь 2018;42 684;0,00049;
январь 2019;43 339;0,00049;
февраль 2019;42 195;0,00050;
март 2019;48 548;0,00055;
апрель 2019;59 686;0,00072;
май 2019;59 054;0,00074;
июнь 2019;51 093;0,00070;
июль 2019;53 632;0,00072;
август 2019;53 316;0,00073;
сентябрь 2019;59 015;0,00075;
октябрь 2019;66 463;0,00075;
ноябрь 2019;56 378;0,00063;
декабрь 2019;45 913;0,00049;
январь 2020;46 330;0,00047;
февраль 2020;49 315;0,00053;
март 2020;62 651;0,00063;
апрель 2020;78 184;0,00065;
май 2020;103 963;0,00096;
июнь 2020;90 375;0,00101;
июль 2020;80 586;0,00095;
август 2020;77 768;0,00092;
сентябрь 2020;87 092;0,00091;
октябрь 2020;93 940;0,00087;
ноябрь 2020;87 539;0,00076;
декабрь 2020;72 135;0,00065;
январь 2021;67 606;0,00064;
февраль 2021;65 700;0,00065;
март 2021;80 453;0,00073;
апрель 2021;102 291;0,00094;
май 2021;100 282;0,00097;
июнь 2021;97 649;0,00098;
июль 2021;90 138;0,00092;
август 2021;104 342;0,00104;
сентябрь 2021;109 817;0,00102;
октябрь 2021;119 945;0,00105;
ноябрь 2021;107 659;0,00092;
декабрь 2021;82 742;0,00069;
январь 2022;84 248;0,00070;
февраль 2022;89 317;0,00075;
март 2022;104 191;0,00081;
апрель 2022;115 963;0,00097;
май 2022;142 632;0,00119;
июнь 2022;112 215;0,00104;
июль 2022;112 440;0,00107;
август 2022;112 670;0,00104;
сентябрь 2022;124 752;0,00106;
октябрь 2022;140 962;0,00113;
ноябрь 2022;142 115;0,00112;
декабрь 2022;99 951;0,00079;
январь 2023;101 969;0,00082;
февраль 2023;119 830;0,00105;
март 2023;168 349;0,00135;
апрель 2023;180 898;0,00156;
май 2023;178 159;0,00157;
июнь 2023;186 575;0,00181;
июль 2023;174 324;0,00172;
август 2023;196 890;0,00196;
сентябрь 2023;243 920;0,00226;
октябрь 2023;284 037;0,00238;
ноябрь 2023;226 192;0,00192;
декабрь 2023;157 914;0,00132;
январь 2024;187 597;0,00155;
февраль 2024;224 563;0,00199;
март 2024;259 133;0,00224;
апрель 2024;283 555;0,00261;
май 2024;249 898;0,00234;
июнь 2024;191 865;0,00205;
июль 2024;204 056;0,00219;
август 2024;188 409;0,00201;
сентябрь 2024;209 395;0,00210;
октябрь 2024;256 765;0,00228;
ноябрь 2024;232 684;0,00200;
декабрь 2024;178 735;0,00148;
январь 2025;185 323;0,00156;
февраль 2025;235 313;0,00206;
март 2025;303 856;0,00253;
апрель 2025;277 569;0,00243;
май 2025;240 925;0,00225;
июнь 2025;207 719;0,00196;
