Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Сетки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;1 461 524;0,018;
февраль 2018;1 600 462;0,020;
март 2018;1 913 053;0,022;
апрель 2018;2 279 155;0,030;
май 2018;2 817 813;0,037;
июнь 2018;2 766 525;0,039;
июль 2018;2 648 636;0,037;
август 2018;2 153 214;0,030;
сентябрь 2018;1 979 961;0,024;
октябрь 2018;2 110 684;0,022;
ноябрь 2018;1 748 393;0,020;
декабрь 2018;1 549 603;0,018;
январь 2019;1 671 358;0,018;
февраль 2019;1 798 199;0,021;
март 2019;2 291 745;0,026;
апрель 2019;2 771 939;0,033;
май 2019;3 110 109;0,039;
июнь 2019;2 822 743;0,038;
июль 2019;2 328 878;0,031;
август 2019;2 178 025;0,029;
сентябрь 2019;2 012 780;0,025;
октябрь 2019;2 049 765;0,023;
ноябрь 2019;1 843 888;0,020;
декабрь 2019;1 832 114;0,019;
январь 2020;2 104 146;0,021;
февраль 2020;2 089 754;0,022;
март 2020;2 413 683;0,024;
апрель 2020;3 115 983;0,026;
май 2020;3 999 779;0,037;
июнь 2020;3 976 278;0,044;
июль 2020;3 139 122;0,037;
август 2020;2 983 987;0,035;
сентябрь 2020;2 916 664;0,030;
октябрь 2020;2 401 443;0,022;
ноябрь 2020;2 326 971;0,020;
декабрь 2020;2 097 598;0,018;
январь 2021;1 945 105;0,018;
февраль 2021;2 171 726;0,021;
март 2021;2 751 465;0,025;
апрель 2021;3 594 239;0,033;
май 2021;4 137 448;0,040;
июнь 2021;4 340 182;0,043;
июль 2021;3 537 326;0,036;
август 2021;2 994 339;0,029;
сентябрь 2021;2 647 980;0,024;
октябрь 2021;2 716 374;0,023;
ноябрь 2021;2 457 676;0,021;
декабрь 2021;2 222 546;0,018;
январь 2022;2 321 797;0,019;
февраль 2022;2 506 215;0,021;
март 2022;2 958 067;0,023;
апрель 2022;3 649 715;0,030;
май 2022;4 228 301;0,035;
июнь 2022;4 187 355;0,039;
июль 2022;3 348 849;0,032;
август 2022;3 144 600;0,029;
сентябрь 2022;2 577 648;0,022;
октябрь 2022;2 689 499;0,021;
ноябрь 2022;2 522 091;0,019;
декабрь 2022;2 460 521;0,019;
январь 2023;2 235 457;0,018;
февраль 2023;2 271 837;0,019;
март 2023;3 233 714;0,025;
апрель 2023;3 890 847;0,033;
май 2023;4 332 452;0,038;
июнь 2023;3 783 800;0,036;
июль 2023;3 334 907;0,033;
август 2023;2 894 620;0,028;
сентябрь 2023;2 622 405;0,024;
октябрь 2023;2 923 417;0,024;
ноябрь 2023;2 389 616;0,020;
декабрь 2023;2 069 192;0,017;
январь 2024;2 407 825;0,019;
февраль 2024;2 473 176;0,022;
март 2024;3 082 507;0,026;
апрель 2024;3 992 220;0,036;
май 2024;4 080 917;0,038;
июнь 2024;5 950 693;0,063;
июль 2024;5 275 839;0,056;
август 2024;2 691 783;0,028;
сентябрь 2024;2 635 489;0,026;
октябрь 2024;2 641 038;0,023;
ноябрь 2024;2 416 780;0,020;
декабрь 2024;2 273 397;0,018;
январь 2025;2 461 278;0,020;
февраль 2025;2 614 683;0,022;
март 2025;3 428 361;0,028;
апрель 2025;4 249 218;0,037;
май 2025;4 168 847;0,039;
июнь 2025;4 297 858;0,040;
