Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Шифер», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;90 863;0,00116;
февраль 2018;99 565;0,00128;
март 2018;132 857;0,00158;
апрель 2018;208 050;0,00274;
май 2018;278 368;0,00370;
июнь 2018;226 660;0,00326;
июль 2018;242 746;0,00347;
август 2018;242 592;0,00343;
сентябрь 2018;222 175;0,00280;
октябрь 2018;200 429;0,00217;
ноябрь 2018;121 656;0,00143;
декабрь 2018;80 608;0,00094;
январь 2019;99 066;0,00112;
февраль 2019;120 741;0,00143;
март 2019;183 431;0,00208;
апрель 2019;254 164;0,00307;
май 2019;286 955;0,00362;
июнь 2019;236 090;0,00325;
июль 2019;257 472;0,00350;
август 2019;248 062;0,00341;
сентябрь 2019;219 985;0,00279;
октябрь 2019;195 324;0,00220;
ноябрь 2019;130 135;0,00146;
декабрь 2019;105 633;0,00113;
январь 2020;133 092;0,00136;
февраль 2020;147 513;0,00160;
март 2020;211 710;0,00215;
апрель 2020;343 095;0,00287;
май 2020;446 043;0,00415;
июнь 2020;351 534;0,00394;
июль 2020;328 529;0,00390;
август 2020;308 808;0,00368;
сентябрь 2020;279 148;0,00294;
октябрь 2020;252 015;0,00234;
ноябрь 2020;177 147;0,00154;
декабрь 2020;110 601;0,00100;
январь 2021;122 438;0,00117;
февраль 2021;138 509;0,00138;
март 2021;217 892;0,00200;
апрель 2021;417 436;0,00387;
май 2021;495 804;0,00480;
июнь 2021;522 103;0,00526;
июль 2021;500 873;0,00516;
август 2021;508 585;0,00507;
сентябрь 2021;426 403;0,00398;
октябрь 2021;329 180;0,00289;
ноябрь 2021;235 572;0,00203;
декабрь 2021;165 555;0,00139;
январь 2022;176 881;0,00148;
февраль 2022;210 841;0,00178;
март 2022;314 512;0,00246;
апрель 2022;483 224;0,00404;
май 2022;618 590;0,00518;
июнь 2022;460 704;0,00429;
июль 2022;448 852;0,00430;
август 2022;431 740;0,00400;
сентябрь 2022;347 753;0,00297;
октябрь 2022;301 782;0,00244;
ноябрь 2022;204 592;0,00162;
декабрь 2022;126 291;0,00100;
январь 2023;152 323;0,00123;
февраль 2023;178 862;0,00156;
март 2023;304 611;0,00244;
апрель 2023;460 777;0,00399;
май 2023;515 823;0,00456;
июнь 2023;385 494;0,00376;
июль 2023;410 039;0,00406;
август 2023;401 999;0,00400;
сентябрь 2023;371 575;0,00345;
октябрь 2023;311 215;0,00260;
ноябрь 2023;227 718;0,00194;
декабрь 2023;142 186;0,00119;
январь 2024;158 699;0,00131;
февраль 2024;190 780;0,00169;
март 2024;292 725;0,00253;
апрель 2024;477 883;0,00440;
май 2024;488 504;0,00458;
июнь 2024;415 923;0,00445;
июль 2024;425 448;0,00457;
август 2024;402 943;0,00430;
сентябрь 2024;357 748;0,00360;
октябрь 2024;300 783;0,00267;
ноябрь 2024;200 055;0,00172;
декабрь 2024;135 480;0,00112;
январь 2025;167 549;0,00141;
февраль 2025;172 084;0,00150;
март 2025;296 002;0,00246;
апрель 2025;406 817;0,00357;
май 2025;458 490;0,00429;
июнь 2025;404 602;0,00383;
