Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Стамески», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;33 920;0,00043;
февраль 2018;33 156;0,00042;
март 2018;35 186;0,00041;
апрель 2018;27 267;0,00035;
май 2018;25 266;0,00033;
июнь 2018;23 292;0,00033;
июль 2018;23 430;0,00033;
август 2018;25 894;0,00036;
сентябрь 2018;31 660;0,00039;
октябрь 2018;41 828;0,00045;
ноябрь 2018;42 537;0,00050;
декабрь 2018;38 120;0,00044;
январь 2019;39 816;0,00045;
февраль 2019;38 818;0,00046;
март 2019;37 931;0,00043;
апрель 2019;31 639;0,00038;
май 2019;33 232;0,00042;
июнь 2019;27 088;0,00037;
июль 2019;31 000;0,00042;
август 2019;30 587;0,00042;
сентябрь 2019;34 471;0,00043;
октябрь 2019;47 057;0,00053;
ноябрь 2019;47 671;0,00053;
декабрь 2019;46 404;0,00050;
январь 2020;47 630;0,00048;
февраль 2020;47 782;0,00051;
март 2020;43 720;0,00044;
апрель 2020;57 513;0,00048;
май 2020;56 060;0,00052;
июнь 2020;38 733;0,00043;
июль 2020;36 433;0,00043;
август 2020;35 998;0,00042;
сентябрь 2020;44 276;0,00046;
октябрь 2020;61 453;0,00057;
ноябрь 2020;79 910;0,00069;
декабрь 2020;73 266;0,00066;
январь 2021;50 118;0,00048;
февраль 2021;47 670;0,00047;
март 2021;50 032;0,00045;
апрель 2021;44 575;0,00041;
май 2021;41 107;0,00039;
июнь 2021;37 359;0,00037;
июль 2021;38 306;0,00039;
август 2021;42 141;0,00042;
сентябрь 2021;50 968;0,00047;
октябрь 2021;61 552;0,00054;
ноябрь 2021;64 156;0,00055;
декабрь 2021;61 160;0,00051;
январь 2022;56 379;0,00047;
февраль 2022;54 705;0,00046;
март 2022;50 307;0,00039;
апрель 2022;50 307;0,00042;
май 2022;48 072;0,00040;
июнь 2022;42 119;0,00039;
июль 2022;41 040;0,00039;
август 2022;42 823;0,00039;
сентябрь 2022;49 350;0,00042;
октябрь 2022;62 131;0,00050;
ноябрь 2022;60 150;0,00047;
декабрь 2022;60 655;0,00048;
январь 2023;57 721;0,00046;
февраль 2023;54 179;0,00047;
март 2023;55 826;0,00044;
апрель 2023;46 816;0,00040;
май 2023;46 944;0,00041;
июнь 2023;39 002;0,00038;
июль 2023;38 757;0,00038;
август 2023;38 784;0,00038;
сентябрь 2023;42 948;0,00039;
октябрь 2023;60 104;0,00050;
ноябрь 2023;61 130;0,00052;
декабрь 2023;55 872;0,00046;
январь 2024;50 867;0,00042;
февраль 2024;53 385;0,00047;
март 2024;50 346;0,00043;
апрель 2024;44 773;0,00041;
май 2024;43 834;0,00041;
июнь 2024;37 071;0,00039;
июль 2024;36 024;0,00038;
август 2024;36 561;0,00039;
сентябрь 2024;41 460;0,00041;
октябрь 2024;55 929;0,00049;
ноябрь 2024;64 640;0,00055;
декабрь 2024;56 943;0,00047;
январь 2025;54 451;0,00045;
февраль 2025;58 921;0,00051;
март 2025;54 001;0,00045;
апрель 2025;47 943;0,00042;
май 2025;44 518;0,00041;
июнь 2025;41 749;0,00039;
