Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Штангенциркули», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;57 408;0,00073;
февраль 2018;68 140;0,00087;
март 2018;70 182;0,00083;
апрель 2018;65 538;0,00086;
май 2018;59 390;0,00079;
июнь 2018;57 655;0,00083;
июль 2018;50 957;0,00072;
август 2018;54 077;0,00076;
сентябрь 2018;71 294;0,00089;
октябрь 2018;88 669;0,00096;
ноябрь 2018;76 729;0,00090;
декабрь 2018;71 517;0,00083;
январь 2019;70 483;0,00080;
февраль 2019;83 154;0,00099;
март 2019;81 482;0,00092;
апрель 2019;76 656;0,00092;
май 2019;66 240;0,00083;
июнь 2019;66 076;0,00091;
июль 2019;62 677;0,00085;
август 2019;65 177;0,00089;
сентябрь 2019;76 946;0,00097;
октябрь 2019;86 772;0,00098;
ноябрь 2019;85 067;0,00095;
декабрь 2019;89 815;0,00096;
январь 2020;83 886;0,00086;
февраль 2020;97 303;0,00105;
март 2020;86 450;0,00087;
апрель 2020;96 109;0,00080;
май 2020;100 021;0,00093;
июнь 2020;88 776;0,00099;
июль 2020;70 560;0,00083;
август 2020;68 470;0,00081;
сентябрь 2020;101 199;0,00106;
октябрь 2020;106 222;0,00098;
ноябрь 2020;113 605;0,00099;
декабрь 2020;120 529;0,00109;
январь 2021;94 664;0,00090;
февраль 2021;114 021;0,00114;
март 2021;119 637;0,00109;
апрель 2021;115 571;0,00107;
май 2021;100 462;0,00097;
июнь 2021;111 985;0,00112;
июль 2021;86 635;0,00089;
август 2021;89 787;0,00089;
сентябрь 2021;121 628;0,00113;
октябрь 2021;119 091;0,00104;
ноябрь 2021;124 016;0,00107;
декабрь 2021;130 661;0,00110;
январь 2022;111 124;0,00093;
февраль 2022;133 363;0,00112;
март 2022;125 199;0,00098;
апрель 2022;124 767;0,00104;
май 2022;113 021;0,00094;
июнь 2022;111 432;0,00103;
июль 2022;88 125;0,00084;
август 2022;93 348;0,00086;
сентябрь 2022;119 424;0,00102;
октябрь 2022;129 061;0,00104;
ноябрь 2022;138 666;0,00109;
декабрь 2022;132 005;0,00104;
январь 2023;126 016;0,00102;
февраль 2023;130 002;0,00113;
март 2023;145 760;0,00117;
апрель 2023;123 791;0,00107;
май 2023;121 359;0,00107;
июнь 2023;111 921;0,00109;
июль 2023;90 892;0,00090;
август 2023;91 511;0,00091;
сентябрь 2023;123 097;0,00114;
октябрь 2023;141 372;0,00118;
ноябрь 2023;138 760;0,00118;
декабрь 2023;127 287;0,00106;
январь 2024;114 758;0,00095;
февраль 2024;139 721;0,00124;
март 2024;138 049;0,00119;
апрель 2024;137 092;0,00126;
май 2024;126 701;0,00118;
июнь 2024;106 723;0,00114;
июль 2024;96 303;0,00103;
август 2024;98 063;0,00104;
сентябрь 2024;130 550;0,00131;
октябрь 2024;159 287;0,00141;
ноябрь 2024;172 445;0,00148;
декабрь 2024;160 063;0,00133;
январь 2025;133 055;0,00112;
февраль 2025;165 170;0,00144;
март 2025;157 225;0,00131;
апрель 2025;152 443;0,00133;
май 2025;127 733;0,00119;
июнь 2025;124 522;0,00117;
