Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Ленты клейкие», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;27 391;0,00035;
февраль 2018;29 694;0,00038;
март 2018;32 460;0,00038;
апрель 2018;32 373;0,00042;
май 2018;31 564;0,00042;
июнь 2018;31 170;0,00044;
июль 2018;31 064;0,00044;
август 2018;39 787;0,00056;
сентябрь 2018;41 164;0,00051;
октябрь 2018;43 911;0,00047;
ноябрь 2018;40 768;0,00047;
декабрь 2018;30 660;0,00035;
январь 2019;30 941;0,00035;
февраль 2019;39 436;0,00047;
март 2019;40 721;0,00046;
апрель 2019;41 733;0,00050;
май 2019;37 075;0,00046;
июнь 2019;37 253;0,00051;
июль 2019;40 748;0,00055;
август 2019;44 913;0,00061;
сентябрь 2019;49 363;0,00062;
октябрь 2019;47 950;0,00054;
ноябрь 2019;45 827;0,00051;
декабрь 2019;45 907;0,00049;
январь 2020;46 898;0,00048;
февраль 2020;43 356;0,00047;
март 2020;43 734;0,00044;
апрель 2020;42 426;0,00035;
май 2020;52 041;0,00048;
июнь 2020;53 918;0,00060;
июль 2020;47 711;0,00056;
август 2020;47 042;0,00056;
сентябрь 2020;47 512;0,00050;
октябрь 2020;50 575;0,00047;
ноябрь 2020;51 904;0,00045;
декабрь 2020;48 874;0,00044;
январь 2021;43 803;0,00041;
февраль 2021;49 358;0,00049;
март 2021;56 849;0,00052;
апрель 2021;63 912;0,00059;
май 2021;56 165;0,00054;
июнь 2021;61 982;0,00062;
июль 2021;59 717;0,00061;
август 2021;65 882;0,00065;
сентябрь 2021;63 104;0,00058;
октябрь 2021;61 070;0,00053;
ноябрь 2021;64 024;0,00055;
декабрь 2021;64 092;0,00054;
январь 2022;59 189;0,00049;
февраль 2022;62 181;0,00052;
март 2022;71 237;0,00055;
апрель 2022;72 638;0,00060;
май 2022;65 340;0,00054;
июнь 2022;66 263;0,00061;
июль 2022;66 464;0,00063;
август 2022;70 274;0,00065;
сентябрь 2022;62 229;0,00053;
октябрь 2022;64 073;0,00051;
ноябрь 2022;70 977;0,00056;
декабрь 2022;63 174;0,00050;
январь 2023;60 834;0,00049;
февраль 2023;66 620;0,00058;
март 2023;77 451;0,00062;
апрель 2023;69 950;0,00060;
май 2023;70 597;0,00062;
июнь 2023;68 879;0,00067;
июль 2023;67 253;0,00066;
август 2023;70 392;0,00070;
сентябрь 2023;68 753;0,00063;
октябрь 2023;75 429;0,00063;
ноябрь 2023;70 991;0,00060;
декабрь 2023;65 072;0,00054;
январь 2024;63 601;0,00052;
февраль 2024;69 750;0,00062;
март 2024;70 561;0,00061;
апрель 2024;74 177;0,00068;
май 2024;72 081;0,00067;
июнь 2024;64 985;0,00069;
июль 2024;68 582;0,00073;
август 2024;69 643;0,00074;
сентябрь 2024;68 155;0,00068;
октябрь 2024;72 433;0,00064;
ноябрь 2024;74 183;0,00063;
декабрь 2024;70 567;0,00058;
январь 2025;63 409;0,00053;
февраль 2025;69 552;0,00060;
март 2025;72 607;0,00060;
апрель 2025;69 932;0,00061;
май 2025;64 123;0,00060;
июнь 2025;70 226;0,00066;
