Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Фильтры механической очистки воды», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;2 304;0,000029;
февраль 2018;2 313;0,000029;
март 2018;2 692;0,000032;
апрель 2018;2 683;0,000035;
май 2018;2 859;0,000038;
июнь 2018;2 517;0,000036;
июль 2018;2 381;0,000034;
август 2018;2 564;0,000036;
сентябрь 2018;2 208;0,000027;
октябрь 2018;2 487;0,000026;
ноябрь 2018;2 126;0,000025;
декабрь 2018;2 079;0,000024;
январь 2019;2 044;0,000023;
февраль 2019;2 282;0,000027;
март 2019;2 699;0,000030;
апрель 2019;2 678;0,000032;
май 2019;2 833;0,000035;
июнь 2019;2 635;0,000036;
июль 2019;2 273;0,000030;
август 2019;1 946;0,000026;
сентябрь 2019;2 156;0,000027;
октябрь 2019;2 924;0,000033;
ноябрь 2019;2 350;0,000026;
декабрь 2019;2 403;0,000025;
январь 2020;2 356;0,000024;
февраль 2020;2 391;0,000026;
март 2020;2 641;0,000026;
апрель 2020;3 474;0,000029;
май 2020;3 840;0,000035;
июнь 2020;3 521;0,000039;
июль 2020;3 163;0,000037;
август 2020;2 765;0,000032;
сентябрь 2020;2 654;0,000027;
октябрь 2020;3 050;0,000028;
ноябрь 2020;3 181;0,000027;
декабрь 2020;3 321;0,000030;
январь 2021;2 984;0,000028;
февраль 2021;2 829;0,000028;
март 2021;3 906;0,000035;
апрель 2021;3 844;0,000035;
май 2021;3 721;0,000036;
июнь 2021;3 944;0,000039;
июль 2021;3 830;0,000039;
август 2021;3 472;0,000034;
сентябрь 2021;3 241;0,000030;
октябрь 2021;3 706;0,000032;
ноябрь 2021;3 732;0,000032;
декабрь 2021;3 015;0,000025;
январь 2022;2 868;0,000024;
февраль 2022;3 041;0,000025;
март 2022;3 748;0,000029;
апрель 2022;4 018;0,000033;
май 2022;3 537;0,000029;
июнь 2022;3 607;0,000033;
июль 2022;3 497;0,000033;
август 2022;3 483;0,000032;
сентябрь 2022;3 112;0,000026;
октябрь 2022;3 398;0,000027;
ноябрь 2022;3 577;0,000028;
декабрь 2022;3 056;0,000024;
январь 2023;2 744;0,000022;
февраль 2023;2 774;0,000024;
март 2023;3 306;0,000026;
апрель 2023;3 232;0,000027;
май 2023;3 465;0,000030;
июнь 2023;3 577;0,000034;
июль 2023;2 886;0,000028;
август 2023;2 794;0,000027;
сентябрь 2023;2 380;0,000022;
октябрь 2023;3 065;0,000025;
ноябрь 2023;2 874;0,000024;
декабрь 2023;2 615;0,000021;
январь 2024;2 785;0,000023;
февраль 2024;2 904;0,000025;
март 2024;2 971;0,000025;
апрель 2024;3 184;0,000029;
май 2024;3 146;0,000029;
июнь 2024;2 991;0,000032;
июль 2024;2 736;0,000029;
август 2024;2 577;0,000027;
сентябрь 2024;2 419;0,000024;
октябрь 2024;2 806;0,000024;
ноябрь 2024;3 327;0,000028;
декабрь 2024;3 251;0,000027;
январь 2025;3 085;0,000025;
февраль 2025;3 322;0,000029;
март 2025;3 537;0,000029;
апрель 2025;3 611;0,000031;
май 2025;3 352;0,000031;
июнь 2025;3 332;0,000031;
