Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Акриловые ванны», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;246 000;0,0031;
февраль 2018;226 753;0,0029;
март 2018;253 721;0,0030;
апрель 2018;222 268;0,0029;
май 2018;229 195;0,0030;
июнь 2018;243 280;0,0035;
июль 2018;274 790;0,0039;
август 2018;249 603;0,0035;
сентябрь 2018;222 135;0,0028;
октябрь 2018;260 226;0,0028;
ноябрь 2018;247 197;0,0029;
декабрь 2018;225 223;0,0026;
январь 2019;249 752;0,0028;
февраль 2019;263 058;0,0031;
март 2019;295 619;0,0033;
апрель 2019;262 056;0,0031;
май 2019;226 505;0,0028;
июнь 2019;235 034;0,0032;
июль 2019;262 342;0,0035;
август 2019;255 236;0,0035;
сентябрь 2019;229 752;0,0029;
октябрь 2019;283 918;0,0032;
ноябрь 2019;287 012;0,0032;
декабрь 2019;351 856;0,0037;
январь 2020;359 382;0,0036;
февраль 2020;240 480;0,0026;
март 2020;231 612;0,0023;
апрель 2020;200 946;0,0016;
май 2020;233 897;0,0021;
июнь 2020;270 579;0,0030;
июль 2020;268 236;0,0031;
август 2020;277 052;0,0033;
сентябрь 2020;254 928;0,0026;
октябрь 2020;282 535;0,0026;
ноябрь 2020;309 777;0,0027;
декабрь 2020;269 484;0,0024;
январь 2021;297 665;0,0028;
февраль 2021;273 341;0,0027;
март 2021;289 348;0,0026;
апрель 2021;266 273;0,0024;
май 2021;249 852;0,0024;
июнь 2021;258 990;0,0026;
июль 2021;288 073;0,0029;
август 2021;316 863;0,0031;
сентябрь 2021;287 008;0,0026;
октябрь 2021;287 099;0,0025;
ноябрь 2021;306 755;0,0026;
декабрь 2021;280 886;0,0023;
январь 2022;304 461;0,0025;
февраль 2022;283 002;0,0023;
март 2022;333 911;0,0026;
апрель 2022;262 802;0,0021;
май 2022;239 793;0,0020;
июнь 2022;234 619;0,0021;
июль 2022;256 738;0,0024;
август 2022;262 569;0,0024;
сентябрь 2022;226 700;0,0019;
октябрь 2022;236 878;0,0019;
ноябрь 2022;255 617;0,0020;
декабрь 2022;220 287;0,0017;
январь 2023;243 459;0,0019;
февраль 2023;226 235;0,0019;
март 2023;241 180;0,0019;
апрель 2023;206 334;0,0017;
май 2023;208 671;0,0018;
июнь 2023;235 568;0,0022;
июль 2023;246 006;0,0024;
август 2023;260 801;0,0025;
сентябрь 2023;241 645;0,0022;
октябрь 2023;299 938;0,0025;
ноябрь 2023;284 255;0,0024;
декабрь 2023;225 011;0,0018;
январь 2024;252 456;0,0020;
февраль 2024;248 156;0,0022;
март 2024;244 028;0,0021;
апрель 2024;210 157;0,0019;
май 2024;209 167;0,0019;
июнь 2024;203 616;0,0021;
июль 2024;223 634;0,0024;
август 2024;213 153;0,0022;
сентябрь 2024;194 924;0,0019;
октябрь 2024;225 644;0,0020;
ноябрь 2024;241 937;0,0020;
декабрь 2024;225 998;0,0018;
январь 2025;245 687;0,0020;
февраль 2025;232 487;0,0020;
март 2025;224 215;0,0018;
апрель 2025;196 652;0,0017;
май 2025;193 876;0,0018;
июнь 2025;221 213;0,0020;
