Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Писсуары», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;34 101;0,00043;
февраль 2018;37 408;0,00048;
март 2018;39 590;0,00047;
апрель 2018;35 602;0,00046;
май 2018;34 977;0,00046;
июнь 2018;37 643;0,00054;
июль 2018;39 364;0,00056;
август 2018;43 857;0,00062;
сентябрь 2018;40 486;0,00051;
октябрь 2018;50 454;0,00054;
ноябрь 2018;44 460;0,00052;
декабрь 2018;43 987;0,00051;
январь 2019;44 630;0,00050;
февраль 2019;50 322;0,00060;
март 2019;47 427;0,00054;
апрель 2019;41 021;0,00049;
май 2019;37 152;0,00046;
июнь 2019;36 639;0,00050;
июль 2019;40 814;0,00055;
август 2019;40 907;0,00056;
сентябрь 2019;41 258;0,00052;
октябрь 2019;43 445;0,00049;
ноябрь 2019;44 606;0,00050;
декабрь 2019;44 037;0,00047;
январь 2020;48 439;0,00049;
февраль 2020;48 413;0,00052;
март 2020;43 369;0,00044;
апрель 2020;36 059;0,00030;
май 2020;40 356;0,00037;
июнь 2020;40 037;0,00044;
июль 2020;39 696;0,00047;
август 2020;40 885;0,00048;
сентябрь 2020;40 845;0,00043;
октябрь 2020;43 083;0,00040;
ноябрь 2020;44 440;0,00038;
декабрь 2020;43 097;0,00038;
январь 2021;41 382;0,00039;
февраль 2021;44 467;0,00044;
март 2021;48 418;0,00044;
апрель 2021;45 591;0,00042;
май 2021;41 635;0,00040;
июнь 2021;43 966;0,00044;
июль 2021;47 505;0,00048;
август 2021;49 373;0,00049;
сентябрь 2021;48 790;0,00045;
октябрь 2021;46 687;0,00041;
ноябрь 2021;51 423;0,00044;
декабрь 2021;50 299;0,00042;
январь 2022;49 861;0,00041;
февраль 2022;49 082;0,00041;
март 2022;52 791;0,00041;
апрель 2022;50 075;0,00041;
май 2022;47 559;0,00039;
июнь 2022;49 589;0,00046;
июль 2022;47 211;0,00045;
август 2022;48 911;0,00045;
сентябрь 2022;45 754;0,00039;
октябрь 2022;46 758;0,00037;
ноябрь 2022;51 714;0,00040;
декабрь 2022;47 808;0,00038;
январь 2023;50 138;0,00040;
февраль 2023;49 276;0,00043;
март 2023;55 900;0,00044;
апрель 2023;48 032;0,00041;
май 2023;48 161;0,00042;
июнь 2023;49 015;0,00047;
июль 2023;49 135;0,00048;
август 2023;54 151;0,00053;
сентябрь 2023;49 870;0,00046;
октябрь 2023;56 081;0,00047;
ноябрь 2023;53 822;0,00045;
декабрь 2023;48 039;0,00040;
январь 2024;51 931;0,00043;
февраль 2024;55 707;0,00049;
март 2024;56 798;0,00049;
апрель 2024;52 815;0,00048;
май 2024;51 766;0,00048;
июнь 2024;47 089;0,00050;
июль 2024;50 900;0,00054;
август 2024;49 114;0,00052;
сентябрь 2024;45 945;0,00046;
октябрь 2024;54 743;0,00048;
ноябрь 2024;58 357;0,00050;
декабрь 2024;54 521;0,00045;
январь 2025;54 173;0,00045;
февраль 2025;58 905;0,00051;
март 2025;59 642;0,00049;
апрель 2025;54 569;0,00047;
май 2025;51 147;0,00047;
июнь 2025;51 438;0,00048;
