Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Мастики», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;408 935;0,0052;
февраль 2018;465 977;0,0060;
март 2018;489 549;0,0058;
апрель 2018;474 587;0,0062;
май 2018;463 483;0,0061;
июнь 2018;437 608;0,0063;
июль 2018;461 469;0,0066;
август 2018;486 575;0,0068;
сентябрь 2018;493 659;0,0062;
октябрь 2018;541 690;0,0058;
ноябрь 2018;446 713;0,0052;
декабрь 2018;381 613;0,0044;
январь 2019;392 979;0,0044;
февраль 2019;430 264;0,0051;
март 2019;434 693;0,0049;
апрель 2019;465 466;0,0056;
май 2019;430 313;0,0054;
июнь 2019;422 030;0,0058;
июль 2019;475 442;0,0064;
август 2019;480 948;0,0066;
сентябрь 2019;468 812;0,0059;
октябрь 2019;484 350;0,0054;
ноябрь 2019;423 337;0,0047;
декабрь 2019;387 065;0,0041;
январь 2020;410 155;0,0042;
февраль 2020;445 005;0,0048;
март 2020;412 923;0,0042;
апрель 2020;447 836;0,0037;
май 2020;529 306;0,0049;
июнь 2020;530 976;0,0059;
июль 2020;521 641;0,0061;
август 2020;532 372;0,0063;
сентябрь 2020;505 662;0,0053;
октябрь 2020;493 625;0,0045;
ноябрь 2020;447 201;0,0039;
декабрь 2020;377 396;0,0034;
январь 2021;367 178;0,0035;
февраль 2021;409 750;0,0040;
март 2021;437 619;0,0040;
апрель 2021;505 748;0,0046;
май 2021;465 103;0,0045;
июнь 2021;484 200;0,0048;
июль 2021;503 571;0,0051;
август 2021;535 489;0,0053;
сентябрь 2021;508 637;0,0047;
октябрь 2021;476 890;0,0041;
ноябрь 2021;437 155;0,0037;
декабрь 2021;377 340;0,0031;
январь 2022;355 899;0,0029;
февраль 2022;380 871;0,0032;
март 2022;402 284;0,0031;
апрель 2022;494 493;0,0041;
май 2022;510 686;0,0042;
июнь 2022;486 958;0,0045;
июль 2022;485 377;0,0046;
август 2022;503 397;0,0046;
сентябрь 2022;434 729;0,0037;
октябрь 2022;419 329;0,0033;
ноябрь 2022;388 632;0,0030;
декабрь 2022;308 749;0,0024;
январь 2023;299 172;0,0024;
февраль 2023;318 713;0,0027;
март 2023;388 420;0,0031;
апрель 2023;419 956;0,0036;
май 2023;415 916;0,0036;
июнь 2023;410 706;0,0040;
июль 2023;425 131;0,0042;
август 2023;432 195;0,0043;
сентябрь 2023;410 547;0,0038;
октябрь 2023;392 801;0,0032;
ноябрь 2023;331 324;0,0028;
декабрь 2023;268 787;0,0022;
январь 2024;255 429;0,0021;
февраль 2024;289 717;0,0025;
март 2024;322 675;0,0027;
апрель 2024;375 489;0,0034;
май 2024;389 289;0,0036;
июнь 2024;357 711;0,0038;
июль 2024;383 963;0,0041;
август 2024;390 915;0,0041;
сентябрь 2024;366 779;0,0036;
октябрь 2024;356 172;0,0031;
ноябрь 2024;297 318;0,0025;
декабрь 2024;255 335;0,0021;
январь 2025;240 992;0,0020;
февраль 2025;271 033;0,0023;
март 2025;305 008;0,0025;
апрель 2025;354 124;0,0031;
май 2025;335 247;0,0031;
июнь 2025;359 560;0,0034;
