Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Вилки электрические», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;7 062;0,000090;
февраль 2018;7 284;0,000093;
март 2018;8 680;0,000103;
апрель 2018;7 501;0,000098;
май 2018;7 256;0,000096;
июнь 2018;8 131;0,000117;
июль 2018;7 886;0,000112;
август 2018;7 888;0,000111;
сентябрь 2018;7 553;0,000095;
октябрь 2018;10 314;0,000111;
ноябрь 2018;8 870;0,000104;
декабрь 2018;8 626;0,000100;
январь 2019;8 561;0,000097;
февраль 2019;8 684;0,000103;
март 2019;10 437;0,000118;
апрель 2019;8 947;0,000108;
май 2019;7 573;0,000095;
июнь 2019;7 254;0,000100;
июль 2019;7 614;0,000103;
август 2019;7 527;0,000103;
сентябрь 2019;7 578;0,000096;
октябрь 2019;8 926;0,000100;
ноябрь 2019;9 609;0,000108;
декабрь 2019;10 693;0,000115;
январь 2020;9 744;0,000100;
февраль 2020;9 870;0,000107;
март 2020;12 253;0,000124;
апрель 2020;14 919;0,000124;
май 2020;12 030;0,000112;
июнь 2020;9 951;0,000111;
июль 2020;10 345;0,000122;
август 2020;10 079;0,000120;
сентябрь 2020;11 082;0,000116;
октябрь 2020;12 872;0,000119;
ноябрь 2020;14 488;0,000126;
декабрь 2020;14 616;0,000132;
январь 2021;13 023;0,000124;
февраль 2021;13 463;0,000134;
март 2021;16 821;0,000154;
апрель 2021;15 988;0,000148;
май 2021;14 423;0,000139;
июнь 2021;13 515;0,000136;
июль 2021;13 921;0,000143;
август 2021;15 329;0,000152;
сентябрь 2021;14 903;0,000139;
октябрь 2021;14 819;0,000130;
ноябрь 2021;16 717;0,000144;
декабрь 2021;17 743;0,000149;
январь 2022;17 534;0,000147;
февраль 2022;16 314;0,000138;
март 2022;20 085;0,000157;
апрель 2022;16 977;0,000142;
май 2022;16 090;0,000134;
июнь 2022;14 670;0,000136;
июль 2022;13 953;0,000133;
август 2022;15 062;0,000139;
сентябрь 2022;15 725;0,000134;
октябрь 2022;17 119;0,000138;
ноябрь 2022;19 586;0,000155;
декабрь 2022;18 849;0,000149;
январь 2023;16 796;0,000136;
февраль 2023;16 475;0,000144;
март 2023;21 916;0,000176;
апрель 2023;17 143;0,000148;
май 2023;16 800;0,000148;
июнь 2023;15 592;0,000152;
июль 2023;15 510;0,000153;
август 2023;15 913;0,000158;
сентябрь 2023;15 724;0,000146;
октябрь 2023;19 329;0,000162;
ноябрь 2023;20 059;0,000170;
декабрь 2023;21 093;0,000176;
январь 2024;18 889;0,000156;
февраль 2024;17 405;0,000155;
март 2024;19 769;0,000171;
апрель 2024;20 702;0,000190;
май 2024;17 990;0,000168;
июнь 2024;17 202;0,000184;
июль 2024;17 466;0,000187;
август 2024;15 540;0,000166;
сентябрь 2024;15 319;0,000154;
октябрь 2024;18 323;0,000163;
ноябрь 2024;19 828;0,000170;
декабрь 2024;21 032;0,000175;
январь 2025;18 287;0,000154;
февраль 2025;19 212;0,000168;
март 2025;20 610;0,000171;
апрель 2025;21 008;0,000184;
май 2025;17 906;0,000167;
июнь 2025;16 705;0,000158;
