Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Запчасти на мотоблок», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;4 734;0,000060;
февраль 2018;5 370;0,000069;
март 2018;7 763;0,000092;
апрель 2018;11 450;0,000151;
май 2018;18 370;0,000244;
июнь 2018;9 050;0,000130;
июль 2018;6 213;0,000088;
август 2018;6 675;0,000094;
сентябрь 2018;8 004;0,000101;
октябрь 2018;8 210;0,000089;
ноябрь 2018;5 212;0,000061;
декабрь 2018;4 009;0,000046;
январь 2019;5 843;0,000066;
февраль 2019;6 882;0,000082;
март 2019;9 293;0,000105;
апрель 2019;14 359;0,000173;
май 2019;17 730;0,000224;
июнь 2019;8 915;0,000123;
июль 2019;6 757;0,000091;
август 2019;6 295;0,000086;
сентябрь 2019;7 657;0,000097;
октябрь 2019;7 467;0,000084;
ноябрь 2019;4 896;0,000055;
декабрь 2019;4 362;0,000047;
январь 2020;5 992;0,000061;
февраль 2020;6 588;0,000071;
март 2020;10 379;0,000105;
апрель 2020;15 083;0,000126;
май 2020;22 785;0,000212;
июнь 2020;12 048;0,000135;
июль 2020;8 279;0,000098;
август 2020;8 397;0,000100;
сентябрь 2020;9 814;0,000103;
октябрь 2020;10 762;0,000100;
ноябрь 2020;7 428;0,000064;
декабрь 2020;5 238;0,000047;
январь 2021;6 963;0,000066;
февраль 2021;7 067;0,000070;
март 2021;10 058;0,000092;
апрель 2021;17 312;0,000160;
май 2021;25 856;0,000250;
июнь 2021;13 409;0,000135;
июль 2021;9 275;0,000095;
август 2021;10 344;0,000103;
сентябрь 2021;12 270;0,000114;
октябрь 2021;11 122;0,000097;
ноябрь 2021;8 090;0,000069;
декабрь 2021;6 662;0,000056;
январь 2022;8 068;0,000067;
февраль 2022;8 688;0,000073;
март 2022;12 024;0,000094;
апрель 2022;20 794;0,000173;
май 2022;31 107;0,000260;
июнь 2022;14 910;0,000139;
июль 2022;10 532;0,000101;
август 2022;9 368;0,000086;
сентябрь 2022;10 042;0,000085;
октябрь 2022;9 478;0,000076;
ноябрь 2022;7 519;0,000059;
декабрь 2022;5 932;0,000047;
январь 2023;6 953;0,000056;
февраль 2023;7 230;0,000063;
март 2023;10 715;0,000086;
апрель 2023;16 943;0,000146;
май 2023;22 196;0,000196;
июнь 2023;9 878;0,000096;
июль 2023;8 088;0,000080;
август 2023;7 793;0,000077;
сентябрь 2023;8 811;0,000081;
октябрь 2023;8 252;0,000069;
ноябрь 2023;5 720;0,000048;
декабрь 2023;4 692;0,000039;
январь 2024;5 229;0,000043;
февраль 2024;5 807;0,000051;
март 2024;7 901;0,000068;
апрель 2024;12 516;0,000115;
май 2024;16 240;0,000152;
июнь 2024;8 476;0,000090;
июль 2024;5 987;0,000064;
август 2024;5 998;0,000064;
сентябрь 2024;7 013;0,000070;
октябрь 2024;6 750;0,000060;
ноябрь 2024;4 492;0,000038;
декабрь 2024;3 523;0,000029;
январь 2025;4 379;0,000036;
февраль 2025;4 053;0,000035;
март 2025;6 784;0,000056;
апрель 2025;9 225;0,000080;
май 2025;13 716;0,000128;
июнь 2025;7 216;0,000068;
