Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Уровни», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;6 230 379;0,080;
февраль 2018;6 135 215;0,079;
март 2018;6 654 078;0,079;
апрель 2018;6 346 132;0,083;
май 2018;6 746 166;0,089;
июнь 2018;5 437 025;0,078;
июль 2018;4 477 314;0,064;
август 2018;4 424 997;0,062;
сентябрь 2018;6 238 628;0,078;
октябрь 2018;7 332 273;0,079;
ноябрь 2018;6 812 302;0,080;
декабрь 2018;6 819 564;0,079;
январь 2019;7 046 548;0,080;
февраль 2019;6 759 526;0,080;
март 2019;7 108 296;0,080;
апрель 2019;7 031 340;0,085;
май 2019;7 201 105;0,091;
июнь 2019;6 226 800;0,085;
июль 2019;5 319 377;0,072;
август 2019;5 360 095;0,073;
сентябрь 2019;6 797 036;0,086;
октябрь 2019;7 521 343;0,085;
ноябрь 2019;7 903 372;0,089;
декабрь 2019;9 552 484;0,102;
январь 2020;10 415 881;0,107;
февраль 2020;9 816 618;0,106;
март 2020;10 385 301;0,105;
апрель 2020;15 464 789;0,129;
май 2020;13 098 191;0,122;
июнь 2020;9 396 787;0,105;
июль 2020;6 519 790;0,077;
август 2020;6 174 679;0,073;
сентябрь 2020;8 988 968;0,094;
октябрь 2020;10 537 663;0,097;
ноябрь 2020;11 522 218;0,100;
декабрь 2020;11 664 197;0,105;
январь 2021;9 697 044;0,092;
февраль 2021;9 227 490;0,092;
март 2021;10 631 396;0,097;
апрель 2021;11 308 789;0,104;
май 2021;10 814 144;0,104;
июнь 2021;9 741 262;0,098;
июль 2021;7 184 959;0,074;
август 2021;7 400 892;0,073;
сентябрь 2021;10 097 000;0,094;
октябрь 2021;10 956 359;0,096;
ноябрь 2021;11 517 736;0,099;
декабрь 2021;11 638 642;0,098;
январь 2022;10 447 881;0,087;
февраль 2022;10 680 634;0,090;
март 2022;11 505 504;0,090;
апрель 2022;12 066 987;0,100;
май 2022;11 761 169;0,098;
июнь 2022;9 811 262;0,091;
июль 2022;7 513 598;0,072;
август 2022;7 663 740;0,071;
сентябрь 2022;10 352 874;0,088;
октябрь 2022;12 022 761;0,097;
ноябрь 2022;11 916 652;0,094;
декабрь 2022;12 091 348;0,096;
январь 2023;11 112 865;0,090;
февраль 2023;10 499 856;0,092;
март 2023;12 126 182;0,097;
апрель 2023;12 765 884;0,110;
май 2023;12 768 904;0,112;
июнь 2023;10 502 352;0,102;
июль 2023;8 406 899;0,083;
август 2023;8 099 109;0,080;
сентябрь 2023;11 336 105;0,105;
октябрь 2023;12 469 323;0,104;
ноябрь 2023;12 439 562;0,105;
декабрь 2023;12 113 199;0,101;
январь 2024;12 934 037;0,107;
февраль 2024;12 634 268;0,112;
март 2024;13 075 676;0,113;
апрель 2024;15 588 055;0,143;
май 2024;12 577 733;0,118;
июнь 2024;9 393 809;0,100;
июль 2024;7 599 320;0,081;
август 2024;7 482 464;0,080;
сентябрь 2024;10 575 641;0,106;
октябрь 2024;12 164 612;0,108;
ноябрь 2024;12 766 786;0,109;
декабрь 2024;14 542 881;0,121;
январь 2025;15 026 286;0,126;
февраль 2025;15 485 465;0,135;
март 2025;17 332 768;0,144;
апрель 2025;14 899 431;0,130;
май 2025;13 653 675;0,127;
июнь 2025;12 008 952;0,113;
