Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Сиденья для ванн», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;9 100;0,000117;
февраль 2018;8 638;0,000111;
март 2018;9 520;0,000113;
апрель 2018;7 945;0,000104;
май 2018;7 174;0,000095;
июнь 2018;7 232;0,000104;
июль 2018;7 336;0,000104;
август 2018;9 248;0,000131;
сентябрь 2018;8 211;0,000103;
октябрь 2018;9 768;0,000106;
ноябрь 2018;9 639;0,000113;
декабрь 2018;8 868;0,000103;
январь 2019;9 928;0,000112;
февраль 2019;9 925;0,000118;
март 2019;10 299;0,000117;
апрель 2019;7 870;0,000095;
май 2019;7 649;0,000096;
июнь 2019;7 087;0,000097;
июль 2019;8 164;0,000111;
август 2019;8 198;0,000112;
сентябрь 2019;8 338;0,000105;
октябрь 2019;9 953;0,000112;
ноябрь 2019;9 865;0,000111;
декабрь 2019;10 699;0,000115;
январь 2020;11 660;0,000119;
февраль 2020;10 810;0,000117;
март 2020;10 194;0,000103;
апрель 2020;7 572;0,000063;
май 2020;8 975;0,000083;
июнь 2020;13 351;0,000149;
июль 2020;15 281;0,000181;
август 2020;12 640;0,000150;
сентябрь 2020;12 933;0,000136;
октябрь 2020;17 201;0,000159;
ноябрь 2020;19 341;0,000168;
декабрь 2020;19 035;0,000172;
январь 2021;16 280;0,000155;
февраль 2021;14 660;0,000146;
март 2021;15 497;0,000142;
апрель 2021;12 653;0,000117;
май 2021;11 704;0,000113;
июнь 2021;12 098;0,000121;
июль 2021;13 067;0,000134;
август 2021;13 086;0,000130;
сентябрь 2021;11 866;0,000110;
октябрь 2021;12 595;0,000110;
ноябрь 2021;13 715;0,000118;
декабрь 2021;13 417;0,000113;
январь 2022;13 373;0,000112;
февраль 2022;12 002;0,000101;
март 2022;12 046;0,000094;
апрель 2022;10 491;0,000087;
май 2022;8 709;0,000072;
июнь 2022;9 645;0,000089;
июль 2022;10 176;0,000097;
август 2022;10 452;0,000097;
сентябрь 2022;9 196;0,000078;
октябрь 2022;10 864;0,000087;
ноябрь 2022;11 483;0,000091;
декабрь 2022;12 051;0,000095;
январь 2023;11 401;0,000092;
февраль 2023;10 971;0,000096;
март 2023;11 190;0,000089;
апрель 2023;8 244;0,000071;
май 2023;8 030;0,000070;
июнь 2023;7 956;0,000077;
июль 2023;8 763;0,000086;
август 2023;9 125;0,000090;
сентябрь 2023;8 000;0,000074;
октябрь 2023;10 407;0,000087;
ноябрь 2023;10 186;0,000086;
декабрь 2023;9 409;0,000078;
январь 2024;9 554;0,000079;
февраль 2024;9 178;0,000081;
март 2024;8 995;0,000077;
апрель 2024;7 268;0,000066;
май 2024;7 093;0,000066;
июнь 2024;6 618;0,000070;
июль 2024;7 259;0,000077;
август 2024;6 697;0,000071;
сентябрь 2024;6 043;0,000060;
октябрь 2024;8 142;0,000072;
ноябрь 2024;8 474;0,000072;
декабрь 2024;8 029;0,000066;
январь 2025;7 724;0,000065;
февраль 2025;8 086;0,000070;
март 2025;7 325;0,000061;
апрель 2025;6 371;0,000055;
май 2025;5 484;0,000051;
июнь 2025;5 828;0,000055;
