Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Полипропиленовые трубы и фитинги», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;8 061;0,000103;
февраль 2018;8 742;0,000112;
март 2018;8 564;0,000101;
апрель 2018;8 189;0,000108;
май 2018;8 349;0,000111;
июнь 2018;7 787;0,000112;
июль 2018;8 279;0,000118;
август 2018;10 265;0,000145;
сентябрь 2018;7 084;0,000089;
октябрь 2018;8 688;0,000094;
ноябрь 2018;6 478;0,000076;
декабрь 2018;6 216;0,000072;
январь 2019;6 348;0,000072;
февраль 2019;6 072;0,000072;
март 2019;6 224;0,000070;
апрель 2019;6 984;0,000084;
май 2019;7 054;0,000089;
июнь 2019;6 183;0,000085;
июль 2019;5 874;0,000079;
август 2019;4 790;0,000065;
сентябрь 2019;4 928;0,000062;
октябрь 2019;4 435;0,000050;
ноябрь 2019;4 214;0,000047;
декабрь 2019;4 183;0,000045;
январь 2020;4 555;0,000046;
февраль 2020;4 620;0,000050;
март 2020;5 331;0,000054;
апрель 2020;5 908;0,000049;
май 2020;6 757;0,000063;
июнь 2020;5 849;0,000065;
июль 2020;5 311;0,000063;
август 2020;4 771;0,000056;
сентябрь 2020;4 938;0,000052;
октябрь 2020;4 370;0,000040;
ноябрь 2020;4 202;0,000036;
декабрь 2020;4 582;0,000041;
январь 2021;4 696;0,000044;
февраль 2021;4 736;0,000047;
март 2021;4 905;0,000045;
апрель 2021;5 924;0,000054;
май 2021;5 602;0,000054;
июнь 2021;5 179;0,000052;
июль 2021;5 331;0,000054;
август 2021;5 615;0,000056;
сентябрь 2021;5 719;0,000053;
октябрь 2021;4 929;0,000043;
ноябрь 2021;4 784;0,000041;
декабрь 2021;4 151;0,000035;
январь 2022;4 264;0,000035;
февраль 2022;3 990;0,000033;
март 2022;5 086;0,000039;
апрель 2022;5 854;0,000048;
май 2022;5 682;0,000047;
июнь 2022;4 434;0,000041;
июль 2022;4 279;0,000041;
август 2022;4 005;0,000037;
сентябрь 2022;3 494;0,000029;
октябрь 2022;3 171;0,000025;
ноябрь 2022;3 285;0,000026;
декабрь 2022;2 798;0,000022;
январь 2023;2 955;0,000023;
февраль 2023;3 047;0,000026;
март 2023;3 859;0,000031;
апрель 2023;4 325;0,000037;
май 2023;5 130;0,000045;
июнь 2023;4 286;0,000041;
июль 2023;3 878;0,000038;
август 2023;3 423;0,000034;
сентябрь 2023;3 178;0,000029;
октябрь 2023;3 400;0,000028;
ноябрь 2023;3 607;0,000030;
декабрь 2023;2 681;0,000022;
январь 2024;2 688;0,000022;
февраль 2024;2 670;0,000023;
март 2024;2 866;0,000024;
апрель 2024;3 470;0,000031;
май 2024;3 723;0,000034;
июнь 2024;3 370;0,000036;
июль 2024;2 987;0,000032;
август 2024;2 551;0,000027;
сентябрь 2024;2 312;0,000023;
октябрь 2024;2 600;0,000023;
ноябрь 2024;2 486;0,000021;
декабрь 2024;2 592;0,000021;
январь 2025;2 691;0,000022;
февраль 2025;2 741;0,000024;
март 2025;2 911;0,000024;
апрель 2025;2 812;0,000024;
май 2025;3 042;0,000028;
июнь 2025;2 758;0,000026;
