Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Трансформаторы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;850 247;0,0109;
февраль 2018;903 341;0,0116;
март 2018;970 083;0,0115;
апрель 2018;839 578;0,0110;
май 2018;819 437;0,0109;
июнь 2018;789 888;0,0113;
июль 2018;637 348;0,0091;
август 2018;670 139;0,0094;
сентябрь 2018;722 529;0,0091;
октябрь 2018;967 815;0,0105;
ноябрь 2018;989 008;0,0116;
декабрь 2018;961 759;0,0112;
январь 2019;851 558;0,0096;
февраль 2019;899 271;0,0107;
март 2019;938 459;0,0106;
апрель 2019;870 806;0,0105;
май 2019;769 890;0,0097;
июнь 2019;779 866;0,0107;
июль 2019;634 479;0,0086;
август 2019;593 567;0,0081;
сентябрь 2019;675 739;0,0085;
октябрь 2019;863 147;0,0097;
ноябрь 2019;925 115;0,0104;
декабрь 2019;993 111;0,0107;
январь 2020;904 770;0,0093;
февраль 2020;970 567;0,0105;
март 2020;943 022;0,0095;
апрель 2020;1 088 854;0,0091;
май 2020;1 037 911;0,0096;
июнь 2020;1 037 458;0,0116;
июль 2020;663 514;0,0078;
август 2020;600 569;0,0071;
сентябрь 2020;735 822;0,0077;
октябрь 2020;914 359;0,0084;
ноябрь 2020;1 140 086;0,0099;
декабрь 2020;1 245 306;0,0112;
январь 2021;985 084;0,0094;
февраль 2021;1 107 316;0,0110;
март 2021;1 709 378;0,0157;
апрель 2021;1 174 952;0,0108;
май 2021;968 278;0,0093;
июнь 2021;1 033 041;0,0104;
июль 2021;668 164;0,0068;
август 2021;678 469;0,0067;
сентябрь 2021;806 879;0,0075;
октябрь 2021;935 798;0,0082;
ноябрь 2021;1 100 187;0,0094;
декабрь 2021;1 235 491;0,0104;
январь 2022;995 693;0,0083;
февраль 2022;1 109 345;0,0093;
март 2022;1 151 615;0,0090;
апрель 2022;1 075 089;0,0089;
май 2022;1 022 158;0,0085;
июнь 2022;1 033 859;0,0096;
июль 2022;682 578;0,0065;
август 2022;704 213;0,0065;
сентябрь 2022;768 979;0,0065;
октябрь 2022;942 763;0,0076;
ноябрь 2022;1 151 451;0,0091;
декабрь 2022;1 160 294;0,0092;
январь 2023;962 142;0,0078;
февраль 2023;1 052 097;0,0092;
март 2023;1 182 243;0,0095;
апрель 2023;987 212;0,0085;
май 2023;973 739;0,0086;
июнь 2023;947 667;0,0092;
июль 2023;646 928;0,0064;
август 2023;659 125;0,0065;
сентябрь 2023;730 734;0,0067;
октябрь 2023;953 264;0,0079;
ноябрь 2023;1 078 265;0,0091;
декабрь 2023;1 077 877;0,0090;
январь 2024;922 099;0,0076;
февраль 2024;1 028 425;0,0091;
март 2024;1 028 293;0,0089;
апрель 2024;986 181;0,0090;
май 2024;911 984;0,0085;
июнь 2024;845 139;0,0090;
июль 2024;647 203;0,0069;
август 2024;587 826;0,0062;
сентябрь 2024;682 433;0,0068;
октябрь 2024;909 292;0,0081;
ноябрь 2024;1 108 449;0,0095;
декабрь 2024;1 134 226;0,0094;
январь 2025;923 279;0,0077;
февраль 2025;1 061 325;0,0093;
март 2025;1 056 194;0,0088;
апрель 2025;992 862;0,0087;
май 2025;863 192;0,0080;
июнь 2025;910 208;0,0086;
