Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Держатель туалетной бумаги», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;19 060;0,00024;
февраль 2018;18 071;0,00023;
март 2018;19 229;0,00022;
апрель 2018;15 989;0,00021;
май 2018;14 809;0,00019;
июнь 2018;15 621;0,00022;
июль 2018;17 230;0,00024;
август 2018;19 736;0,00027;
сентябрь 2018;20 214;0,00025;
октябрь 2018;23 485;0,00025;
ноябрь 2018;22 176;0,00026;
декабрь 2018;19 534;0,00022;
январь 2019;22 435;0,00025;
февраль 2019;21 543;0,00025;
март 2019;20 764;0,00023;
апрель 2019;18 169;0,00021;
май 2019;16 516;0,00020;
июнь 2019;17 099;0,00023;
июль 2019;20 294;0,00027;
август 2019;21 039;0,00028;
сентябрь 2019;22 200;0,00028;
октябрь 2019;23 208;0,00026;
ноябрь 2019;22 829;0,00025;
декабрь 2019;22 401;0,00024;
январь 2020;26 442;0,00027;
февраль 2020;24 963;0,00027;
март 2020;23 184;0,00023;
апрель 2020;20 446;0,00017;
май 2020;22 714;0,00021;
июнь 2020;21 732;0,00024;
июль 2020;23 497;0,00027;
август 2020;24 588;0,00029;
сентябрь 2020;25 476;0,00026;
октябрь 2020;28 180;0,00026;
ноябрь 2020;30 029;0,00026;
декабрь 2020;27 311;0,00024;
январь 2021;31 327;0,00030;
февраль 2021;28 595;0,00028;
март 2021;30 275;0,00027;
апрель 2021;26 980;0,00025;
май 2021;25 854;0,00025;
июнь 2021;26 743;0,00026;
июль 2021;29 770;0,00030;
август 2021;33 396;0,00033;
сентябрь 2021;34 154;0,00031;
октябрь 2021;32 461;0,00028;
ноябрь 2021;33 848;0,00029;
декабрь 2021;30 444;0,00025;
январь 2022;34 095;0,00028;
февраль 2022;30 336;0,00025;
март 2022;33 225;0,00026;
апрель 2022;29 590;0,00024;
май 2022;27 472;0,00023;
июнь 2022;25 938;0,00024;
июль 2022;27 894;0,00026;
август 2022;30 204;0,00028;
сентябрь 2022;26 814;0,00022;
октябрь 2022;29 772;0,00024;
ноябрь 2022;32 006;0,00025;
декабрь 2022;27 220;0,00021;
январь 2023;27 728;0,00022;
февраль 2023;27 787;0,00024;
март 2023;31 071;0,00024;
апрель 2023;25 326;0,00021;
май 2023;24 382;0,00021;
июнь 2023;24 766;0,00024;
июль 2023;27 539;0,00027;
август 2023;27 805;0,00027;
сентябрь 2023;27 252;0,00025;
октябрь 2023;32 725;0,00027;
ноябрь 2023;31 750;0,00027;
декабрь 2023;29 429;0,00024;
январь 2024;29 563;0,00024;
февраль 2024;37 984;0,00033;
март 2024;30 755;0,00026;
апрель 2024;25 947;0,00023;
май 2024;26 274;0,00024;
июнь 2024;22 402;0,00023;
июль 2024;25 313;0,00027;
август 2024;25 875;0,00027;
сентябрь 2024;24 692;0,00024;
октябрь 2024;27 690;0,00024;
ноябрь 2024;29 864;0,00025;
декабрь 2024;27 852;0,00023;
январь 2025;28 078;0,00023;
февраль 2025;29 048;0,00025;
март 2025;26 007;0,00021;
апрель 2025;23 307;0,00020;
май 2025;22 784;0,00021;
июнь 2025;25 174;0,00023;
