Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Мыльницы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;32 004;0,00041;
февраль 2018;31 716;0,00040;
март 2018;32 791;0,00039;
апрель 2018;26 415;0,00034;
май 2018;27 994;0,00037;
июнь 2018;28 105;0,00040;
июль 2018;30 917;0,00044;
август 2018;33 280;0,00047;
сентябрь 2018;30 245;0,00038;
октябрь 2018;42 862;0,00046;
ноябрь 2018;33 624;0,00039;
декабрь 2018;32 155;0,00037;
январь 2019;35 705;0,00040;
февраль 2019;34 205;0,00040;
март 2019;35 807;0,00040;
апрель 2019;30 180;0,00036;
май 2019;30 460;0,00038;
июнь 2019;32 192;0,00044;
июль 2019;35 168;0,00047;
август 2019;33 136;0,00045;
сентябрь 2019;32 142;0,00040;
октябрь 2019;38 566;0,00043;
ноябрь 2019;36 318;0,00040;
декабрь 2019;38 326;0,00041;
январь 2020;44 268;0,00045;
февраль 2020;39 137;0,00042;
март 2020;44 740;0,00045;
апрель 2020;41 233;0,00034;
май 2020;40 470;0,00037;
июнь 2020;39 776;0,00044;
июль 2020;41 469;0,00049;
август 2020;39 372;0,00046;
сентябрь 2020;39 692;0,00041;
октябрь 2020;50 686;0,00047;
ноябрь 2020;50 110;0,00043;
декабрь 2020;47 271;0,00042;
январь 2021;51 270;0,00049;
февраль 2021;45 668;0,00045;
март 2021;47 054;0,00043;
апрель 2021;43 519;0,00040;
май 2021;42 857;0,00041;
июнь 2021;44 191;0,00044;
июль 2021;50 208;0,00051;
август 2021;52 678;0,00052;
сентябрь 2021;51 147;0,00047;
октябрь 2021;56 675;0,00049;
ноябрь 2021;54 994;0,00047;
декабрь 2021;53 216;0,00044;
январь 2022;60 569;0,00050;
февраль 2022;54 513;0,00046;
март 2022;51 728;0,00040;
апрель 2022;51 149;0,00042;
май 2022;50 566;0,00042;
июнь 2022;50 497;0,00047;
июль 2022;54 745;0,00052;
август 2022;55 942;0,00051;
сентябрь 2022;49 535;0,00042;
октябрь 2022;64 050;0,00051;
ноябрь 2022;60 808;0,00048;
декабрь 2022;55 442;0,00044;
январь 2023;59 941;0,00048;
февраль 2023;53 222;0,00046;
март 2023;58 840;0,00047;
апрель 2023;53 178;0,00046;
май 2023;51 637;0,00045;
июнь 2023;51 404;0,00050;
июль 2023;59 065;0,00058;
август 2023;55 897;0,00055;
сентябрь 2023;54 966;0,00051;
октябрь 2023;68 812;0,00057;
ноябрь 2023;71 946;0,00061;
декабрь 2023;71 274;0,00059;
январь 2024;74 908;0,00062;
февраль 2024;67 348;0,00059;
март 2024;75 464;0,00065;
апрель 2024;68 371;0,00063;
май 2024;67 290;0,00063;
июнь 2024;65 451;0,00070;
июль 2024;74 753;0,00080;
август 2024;68 451;0,00073;
сентябрь 2024;67 436;0,00067;
октябрь 2024;81 115;0,00072;
ноябрь 2024;96 571;0,00083;
декабрь 2024;91 287;0,00076;
январь 2025;110 937;0,00093;
февраль 2025;94 895;0,00083;
март 2025;106 754;0,00089;
апрель 2025;110 580;0,00097;
май 2025;122 133;0,00114;
июнь 2025;116 031;0,00109;
