Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Плинтусы алюминиевые», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;5 557;0,000071;
февраль 2018;5 841;0,000075;
март 2018;6 719;0,000079;
апрель 2018;5 876;0,000077;
май 2018;5 501;0,000073;
июнь 2018;5 335;0,000076;
июль 2018;5 798;0,000082;
август 2018;9 424;0,000133;
сентябрь 2018;6 321;0,000079;
октябрь 2018;8 003;0,000086;
ноябрь 2018;7 288;0,000085;
декабрь 2018;6 767;0,000079;
январь 2019;7 704;0,000087;
февраль 2019;8 815;0,000105;
март 2019;11 069;0,000126;
апрель 2019;8 396;0,000101;
май 2019;6 617;0,000083;
июнь 2019;6 809;0,000093;
июль 2019;8 720;0,000118;
август 2019;8 684;0,000119;
сентябрь 2019;9 221;0,000117;
октябрь 2019;10 012;0,000113;
ноябрь 2019;10 323;0,000116;
декабрь 2019;11 672;0,000125;
январь 2020;11 455;0,000117;
февраль 2020;10 875;0,000118;
март 2020;9 666;0,000098;
апрель 2020;8 251;0,000069;
май 2020;9 629;0,000089;
июнь 2020;12 533;0,000140;
июль 2020;10 808;0,000128;
август 2020;10 790;0,000128;
сентябрь 2020;11 117;0,000117;
октябрь 2020;11 970;0,000111;
ноябрь 2020;12 978;0,000113;
декабрь 2020;12 709;0,000114;
январь 2021;11 647;0,000111;
февраль 2021;13 067;0,000130;
март 2021;13 662;0,000125;
апрель 2021;13 253;0,000122;
май 2021;11 165;0,000108;
июнь 2021;11 363;0,000114;
июль 2021;11 581;0,000119;
август 2021;13 833;0,000137;
сентябрь 2021;14 340;0,000133;
октябрь 2021;14 838;0,000130;
ноябрь 2021;16 688;0,000143;
декабрь 2021;15 547;0,000131;
январь 2022;14 977;0,000125;
февраль 2022;15 411;0,000130;
март 2022;15 180;0,000119;
апрель 2022;13 988;0,000117;
май 2022;11 674;0,000097;
июнь 2022;11 583;0,000108;
июль 2022;12 215;0,000117;
август 2022;13 628;0,000126;
сентябрь 2022;13 248;0,000113;
октябрь 2022;14 013;0,000113;
ноябрь 2022;15 802;0,000125;
декабрь 2022;14 355;0,000114;
январь 2023;14 308;0,000116;
февраль 2023;14 810;0,000129;
март 2023;16 784;0,000134;
апрель 2023;14 139;0,000122;
май 2023;13 870;0,000122;
июнь 2023;13 743;0,000134;
июль 2023;14 903;0,000147;
август 2023;15 516;0,000154;
сентябрь 2023;15 426;0,000143;
октябрь 2023;18 368;0,000153;
ноябрь 2023;18 543;0,000158;
декабрь 2023;16 955;0,000142;
январь 2024;16 368;0,000135;
февраль 2024;17 014;0,000151;
март 2024;17 766;0,000154;
апрель 2024;16 210;0,000149;
май 2024;15 855;0,000148;
июнь 2024;14 033;0,000150;
июль 2024;16 155;0,000173;
август 2024;15 834;0,000169;
сентябрь 2024;17 050;0,000171;
октябрь 2024;19 966;0,000177;
ноябрь 2024;20 850;0,000179;
декабрь 2024;19 846;0,000165;
январь 2025;19 834;0,000167;
февраль 2025;21 385;0,000187;
март 2025;21 273;0,000177;
апрель 2025;18 544;0,000162;
май 2025;16 816;0,000157;
июнь 2025;18 948;0,000179;
