Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Кабель», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;2 923 714;0,037;
февраль 2018;3 244 921;0,041;
март 2018;3 265 253;0,038;
апрель 2018;3 023 745;0,039;
май 2018;3 031 257;0,040;
июнь 2018;2 746 514;0,039;
июль 2018;2 863 821;0,040;
август 2018;2 996 826;0,042;
сентябрь 2018;3 038 276;0,038;
октябрь 2018;3 770 517;0,040;
ноябрь 2018;3 327 604;0,039;
декабрь 2018;3 084 535;0,036;
январь 2019;3 023 640;0,034;
февраль 2019;3 112 502;0,037;
март 2019;3 256 655;0,037;
апрель 2019;3 210 143;0,038;
май 2019;2 864 076;0,036;
июнь 2019;2 905 052;0,040;
июль 2019;3 077 612;0,041;
август 2019;2 988 407;0,041;
сентябрь 2019;3 125 243;0,039;
октябрь 2019;3 482 693;0,039;
ноябрь 2019;3 423 104;0,038;
декабрь 2019;3 421 942;0,036;
январь 2020;3 372 792;0,034;
февраль 2020;3 333 209;0,036;
март 2020;3 322 369;0,033;
апрель 2020;3 338 893;0,027;
май 2020;3 548 043;0,033;
июнь 2020;3 491 231;0,039;
июль 2020;3 332 031;0,039;
август 2020;3 266 618;0,038;
сентябрь 2020;3 487 896;0,036;
октябрь 2020;3 798 068;0,035;
ноябрь 2020;4 018 616;0,035;
декабрь 2020;4 023 337;0,036;
январь 2021;3 587 059;0,034;
февраль 2021;3 716 289;0,037;
март 2021;4 128 049;0,037;
апрель 2021;4 093 078;0,037;
май 2021;3 724 770;0,036;
июнь 2021;4 047 077;0,040;
июль 2021;3 927 628;0,040;
август 2021;4 219 238;0,042;
сентябрь 2021;4 389 711;0,040;
октябрь 2021;4 456 867;0,039;
ноябрь 2021;4 624 173;0,039;
декабрь 2021;4 632 177;0,039;
январь 2022;4 217 562;0,035;
февраль 2022;4 260 650;0,036;
март 2022;4 655 469;0,036;
апрель 2022;4 440 672;0,037;
май 2022;4 217 653;0,035;
июнь 2022;4 195 276;0,039;
июль 2022;3 994 426;0,038;
август 2022;4 256 896;0,039;
сентябрь 2022;4 081 020;0,034;
октябрь 2022;4 302 019;0,034;
ноябрь 2022;4 667 547;0,036;
декабрь 2022;4 330 241;0,034;
январь 2023;4 097 497;0,033;
февраль 2023;3 968 498;0,034;
март 2023;4 497 466;0,036;
апрель 2023;4 117 956;0,035;
май 2023;4 224 275;0,037;
июнь 2023;4 259 653;0,041;
июль 2023;4 105 886;0,040;
август 2023;4 247 863;0,042;
сентябрь 2023;4 285 594;0,039;
октябрь 2023;4 978 645;0,041;
ноябрь 2023;4 803 049;0,040;
декабрь 2023;4 485 413;0,037;
январь 2024;4 360 863;0,036;
февраль 2024;4 398 359;0,039;
март 2024;4 454 149;0,038;
апрель 2024;4 316 305;0,039;
май 2024;4 394 718;0,041;
июнь 2024;4 002 893;0,042;
июль 2024;4 141 485;0,044;
август 2024;4 025 707;0,043;
сентябрь 2024;4 152 797;0,041;
октябрь 2024;4 843 259;0,043;
ноябрь 2024;5 016 379;0,043;
декабрь 2024;4 907 696;0,040;
январь 2025;4 513 323;0,038;
февраль 2025;4 798 011;0,042;
март 2025;4 727 224;0,039;
апрель 2025;4 548 818;0,039;
май 2025;4 199 109;0,039;
июнь 2025;4 570 695;0,043;
