Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Ножовки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;49 420;0,00063;
февраль 2018;52 364;0,00067;
март 2018;57 002;0,00067;
апрель 2018;55 179;0,00072;
май 2018;56 054;0,00074;
июнь 2018;50 714;0,00073;
июль 2018;49 488;0,00070;
август 2018;50 320;0,00071;
сентябрь 2018;60 410;0,00076;
октябрь 2018;73 521;0,00079;
ноябрь 2018;64 790;0,00076;
декабрь 2018;59 886;0,00070;
январь 2019;60 668;0,00068;
февраль 2019;68 213;0,00081;
март 2019;70 393;0,00080;
апрель 2019;66 641;0,00080;
май 2019;63 879;0,00080;
июнь 2019;56 228;0,00077;
июль 2019;57 716;0,00078;
август 2019;55 418;0,00076;
сентябрь 2019;63 757;0,00081;
октябрь 2019;75 425;0,00085;
ноябрь 2019;66 725;0,00075;
декабрь 2019;67 264;0,00072;
январь 2020;68 150;0,00070;
февраль 2020;76 861;0,00083;
март 2020;76 250;0,00077;
апрель 2020;120 842;0,00101;
май 2020;112 108;0,00104;
июнь 2020;81 514;0,00091;
июль 2020;74 560;0,00088;
август 2020;67 677;0,00080;
сентябрь 2020;77 393;0,00081;
октябрь 2020;93 562;0,00086;
ноябрь 2020;101 449;0,00088;
декабрь 2020;101 125;0,00091;
январь 2021;80 824;0,00077;
февраль 2021;87 598;0,00087;
март 2021;96 120;0,00088;
апрель 2021;99 019;0,00091;
май 2021;92 069;0,00089;
июнь 2021;85 435;0,00086;
июль 2021;82 846;0,00085;
август 2021;89 164;0,00088;
сентябрь 2021;97 624;0,00091;
октябрь 2021;106 459;0,00093;
ноябрь 2021;107 455;0,00092;
декабрь 2021;102 081;0,00086;
январь 2022;96 046;0,00080;
февраль 2022;109 579;0,00092;
март 2022;105 979;0,00083;
апрель 2022;111 604;0,00093;
май 2022;116 067;0,00097;
июнь 2022;96 128;0,00089;
июль 2022;90 289;0,00086;
август 2022;92 049;0,00085;
сентябрь 2022;94 234;0,00080;
октябрь 2022;113 477;0,00091;
ноябрь 2022;107 014;0,00084;
декабрь 2022;98 629;0,00078;
январь 2023;94 089;0,00076;
февраль 2023;101 570;0,00089;
март 2023;119 734;0,00096;
апрель 2023;106 593;0,00092;
май 2023;108 332;0,00095;
июнь 2023;91 748;0,00089;
июль 2023;88 065;0,00087;
август 2023;86 579;0,00086;
сентябрь 2023;96 086;0,00089;
октябрь 2023;114 079;0,00095;
ноябрь 2023;108 679;0,00092;
декабрь 2023;98 433;0,00082;
январь 2024;93 009;0,00077;
февраль 2024;100 742;0,00089;
март 2024;103 291;0,00089;
апрель 2024;107 730;0,00099;
май 2024;106 186;0,00099;
июнь 2024;81 379;0,00087;
июль 2024;80 757;0,00086;
август 2024;77 802;0,00083;
сентябрь 2024;85 798;0,00086;
октябрь 2024;103 619;0,00092;
ноябрь 2024;106 664;0,00091;
декабрь 2024;102 026;0,00085;
январь 2025;97 052;0,00081;
февраль 2025;112 612;0,00098;
март 2025;114 031;0,00095;
апрель 2025;104 154;0,00091;
май 2025;101 138;0,00094;
июнь 2025;87 808;0,00083;
