Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Шайбы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;380 043;0,0048;
февраль 2018;637 966;0,0082;
март 2018;459 991;0,0054;
апрель 2018;436 014;0,0057;
май 2018;491 474;0,0065;
июнь 2018;343 455;0,0049;
июль 2018;311 952;0,0044;
август 2018;330 373;0,0046;
сентябрь 2018;386 509;0,0048;
октябрь 2018;474 546;0,0051;
ноябрь 2018;443 123;0,0052;
декабрь 2018;451 946;0,0052;
январь 2019;481 039;0,0054;
февраль 2019;492 653;0,0058;
март 2019;661 918;0,0075;
апрель 2019;543 728;0,0065;
май 2019;760 036;0,0096;
июнь 2019;355 203;0,0049;
июль 2019;357 765;0,0048;
август 2019;366 373;0,0050;
сентябрь 2019;413 448;0,0052;
октябрь 2019;508 706;0,0057;
ноябрь 2019;511 363;0,0057;
декабрь 2019;543 289;0,0058;
январь 2020;602 133;0,0061;
февраль 2020;606 929;0,0066;
март 2020;569 086;0,0057;
апрель 2020;506 934;0,0042;
май 2020;501 573;0,0046;
июнь 2020;444 178;0,0049;
июль 2020;402 902;0,0047;
август 2020;403 064;0,0048;
сентябрь 2020;486 245;0,0051;
октябрь 2020;558 772;0,0051;
ноябрь 2020;587 262;0,0051;
декабрь 2020;622 587;0,0056;
январь 2021;584 811;0,0056;
февраль 2021;615 277;0,0061;
март 2021;786 877;0,0072;
апрель 2021;696 022;0,0064;
май 2021;682 793;0,0066;
июнь 2021;587 528;0,0059;
июль 2021;472 834;0,0048;
август 2021;508 203;0,0050;
сентябрь 2021;587 737;0,0054;
октябрь 2021;670 037;0,0058;
ноябрь 2021;701 157;0,0060;
декабрь 2021;739 245;0,0062;
январь 2022;681 141;0,0057;
февраль 2022;855 226;0,0072;
март 2022;735 530;0,0057;
апрель 2022;739 093;0,0061;
май 2022;752 719;0,0063;
июнь 2022;596 865;0,0055;
июль 2022;552 390;0,0052;
август 2022;604 202;0,0056;
сентябрь 2022;689 947;0,0059;
октябрь 2022;722 416;0,0058;
ноябрь 2022;810 677;0,0064;
декабрь 2022;823 642;0,0065;
январь 2023;811 355;0,0065;
февраль 2023;776 479;0,0068;
март 2023;870 590;0,0069;
апрель 2023;751 832;0,0065;
май 2023;739 311;0,0065;
июнь 2023;605 399;0,0059;
июль 2023;579 917;0,0057;
август 2023;606 296;0,0060;
сентябрь 2023;699 489;0,0065;
октябрь 2023;803 508;0,0067;
ноябрь 2023;822 113;0,0070;
декабрь 2023;750 294;0,0062;
январь 2024;798 813;0,0066;
февраль 2024;870 110;0,0077;
март 2024;903 097;0,0078;
апрель 2024;839 645;0,0077;
май 2024;869 267;0,0081;
июнь 2024;621 900;0,0066;
июль 2024;638 877;0,0068;
август 2024;629 937;0,0067;
сентябрь 2024;751 479;0,0075;
октябрь 2024;949 642;0,0084;
ноябрь 2024;1 026 862;0,0088;
декабрь 2024;946 921;0,0078;
январь 2025;1 044 769;0,0088;
февраль 2025;1 170 057;0,0102;
март 2025;1 325 127;0,0110;
апрель 2025;1 909 428;0,0167;
май 2025;945 447;0,0088;
июнь 2025;780 751;0,0073;
