Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Увлажнители, очистители воздуха», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;492 537;0,0063;
февраль 2018;464 560;0,0059;
март 2018;457 359;0,0054;
апрель 2018;239 497;0,0031;
май 2018;178 312;0,0023;
июнь 2018;157 885;0,0022;
июль 2018;155 280;0,0022;
август 2018;176 195;0,0024;
сентябрь 2018;224 786;0,0028;
октябрь 2018;502 375;0,0054;
ноябрь 2018;610 331;0,0071;
декабрь 2018;683 326;0,0079;
январь 2019;664 101;0,0075;
февраль 2019;489 540;0,0058;
март 2019;369 696;0,0042;
апрель 2019;276 679;0,0033;
май 2019;188 001;0,0023;
июнь 2019;199 983;0,0027;
июль 2019;147 786;0,0020;
август 2019;164 186;0,0022;
сентябрь 2019;289 335;0,0036;
октябрь 2019;545 924;0,0061;
ноябрь 2019;679 388;0,0076;
декабрь 2019;721 133;0,0077;
январь 2020;749 828;0,0077;
февраль 2020;567 369;0,0061;
март 2020;520 585;0,0052;
апрель 2020;560 877;0,0046;
май 2020;307 589;0,0028;
июнь 2020;241 438;0,0027;
июль 2020;242 930;0,0028;
август 2020;201 783;0,0024;
сентябрь 2020;306 168;0,0032;
октябрь 2020;826 047;0,0076;
ноябрь 2020;966 463;0,0084;
декабрь 2020;1 258 631;0,0113;
январь 2021;1 002 491;0,0096;
февраль 2021;800 374;0,0080;
март 2021;594 280;0,0054;
апрель 2021;370 889;0,0034;
май 2021;298 250;0,0028;
июнь 2021;410 914;0,0041;
июль 2021;399 255;0,0041;
август 2021;338 195;0,0033;
сентябрь 2021;489 166;0,0045;
октябрь 2021;863 230;0,0075;
ноябрь 2021;908 887;0,0078;
декабрь 2021;1 074 305;0,0090;
январь 2022;1 090 159;0,0091;
февраль 2022;805 459;0,0068;
март 2022;771 603;0,0060;
апрель 2022;465 395;0,0038;
май 2022;400 758;0,0033;
июнь 2022;341 587;0,0031;
июль 2022;325 478;0,0031;
август 2022;371 770;0,0034;
сентябрь 2022;421 339;0,0036;
октябрь 2022;710 953;0,0057;
ноябрь 2022;1 032 191;0,0081;
декабрь 2022;1 278 978;0,0101;
январь 2023;1 117 018;0,0090;
февраль 2023;889 244;0,0077;
март 2023;646 419;0,0051;
апрель 2023;420 248;0,0036;
май 2023;366 719;0,0032;
июнь 2023;342 058;0,0033;
июль 2023;297 522;0,0029;
август 2023;320 419;0,0031;
сентябрь 2023;341 729;0,0031;
октябрь 2023;701 202;0,0058;
ноябрь 2023;816 992;0,0069;
декабрь 2023;1 050 331;0,0087;
январь 2024;1 052 759;0,0087;
февраль 2024;749 592;0,0066;
март 2024;565 685;0,0049;
апрель 2024;346 843;0,0031;
май 2024;316 714;0,0029;
июнь 2024;308 476;0,0033;
июль 2024;336 621;0,0036;
август 2024;200 610;0,0021;
сентябрь 2024;285 321;0,0028;
октябрь 2024;578 908;0,0051;
ноябрь 2024;732 590;0,0063;
декабрь 2024;815 777;0,0067;
январь 2025;712 450;0,0060;
февраль 2025;647 372;0,0056;
март 2025;519 322;0,0043;
апрель 2025;356 547;0,0031;
май 2025;262 775;0,0024;
июнь 2025;245 205;0,0023;
