Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Шланги для душа», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;12 178;0,00015;
февраль 2018;12 329;0,00015;
март 2018;14 235;0,00016;
апрель 2018;11 211;0,00014;
май 2018;11 876;0,00015;
июнь 2018;12 003;0,00017;
июль 2018;13 400;0,00019;
август 2018;13 459;0,00019;
сентябрь 2018;12 978;0,00016;
октябрь 2018;15 012;0,00016;
ноябрь 2018;14 537;0,00017;
декабрь 2018;13 612;0,00015;
январь 2019;15 499;0,00017;
февраль 2019;16 677;0,00019;
март 2019;16 895;0,00019;
апрель 2019;15 617;0,00018;
май 2019;15 231;0,00019;
июнь 2019;14 723;0,00020;
июль 2019;15 202;0,00020;
август 2019;15 086;0,00020;
сентябрь 2019;14 669;0,00018;
октябрь 2019;18 124;0,00020;
ноябрь 2019;16 914;0,00019;
декабрь 2019;17 524;0,00018;
январь 2020;20 572;0,00021;
февраль 2020;19 633;0,00021;
март 2020;18 144;0,00018;
апрель 2020;22 013;0,00018;
май 2020;24 260;0,00022;
июнь 2020;21 561;0,00024;
июль 2020;20 915;0,00024;
август 2020;19 258;0,00022;
сентябрь 2020;19 095;0,00020;
октябрь 2020;21 390;0,00019;
ноябрь 2020;23 521;0,00020;
декабрь 2020;24 595;0,00022;
январь 2021;26 823;0,00025;
февраль 2021;26 543;0,00026;
март 2021;27 587;0,00025;
апрель 2021;25 799;0,00023;
май 2021;25 785;0,00024;
июнь 2021;28 579;0,00028;
июль 2021;28 702;0,00029;
август 2021;31 095;0,00031;
сентябрь 2021;27 556;0,00025;
октябрь 2021;27 468;0,00024;
ноябрь 2021;30 184;0,00026;
декабрь 2021;29 241;0,00024;
январь 2022;32 985;0,00027;
февраль 2022;29 425;0,00024;
март 2022;36 918;0,00028;
апрель 2022;34 717;0,00029;
май 2022;34 036;0,00028;
июнь 2022;32 626;0,00030;
июль 2022;33 110;0,00031;
август 2022;34 176;0,00031;
сентябрь 2022;29 899;0,00025;
октябрь 2022;31 798;0,00025;
ноябрь 2022;34 484;0,00027;
декабрь 2022;31 314;0,00024;
январь 2023;33 414;0,00027;
февраль 2023;31 377;0,00027;
март 2023;34 059;0,00027;
апрель 2023;30 556;0,00026;
май 2023;31 336;0,00027;
июнь 2023;31 393;0,00030;
июль 2023;34 871;0,00034;
август 2023;32 926;0,00032;
сентябрь 2023;31 066;0,00028;
октябрь 2023;34 687;0,00029;
ноябрь 2023;35 361;0,00030;
декабрь 2023;33 932;0,00028;
январь 2024;36 687;0,00030;
февраль 2024;35 557;0,00031;
март 2024;34 917;0,00030;
апрель 2024;33 113;0,00030;
май 2024;33 357;0,00031;
июнь 2024;33 355;0,00035;
июль 2024;34 264;0,00036;
август 2024;30 905;0,00033;
сентябрь 2024;29 344;0,00029;
октябрь 2024;32 335;0,00028;
ноябрь 2024;34 338;0,00029;
декабрь 2024;34 841;0,00029;
январь 2025;36 741;0,00030;
февраль 2025;36 257;0,00031;
март 2025;36 978;0,00030;
апрель 2025;32 355;0,00028;
май 2025;32 740;0,00030;
июнь 2025;36 709;0,00034;
