Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Штукатурка», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;728 831;0,0093;
февраль 2018;750 406;0,0096;
март 2018;864 416;0,0102;
апрель 2018;966 787;0,0127;
май 2018;938 377;0,0124;
июнь 2018;979 442;0,0141;
июль 2018;1 047 452;0,0149;
август 2018;1 073 874;0,0152;
сентябрь 2018;978 838;0,0123;
октябрь 2018;1 020 584;0,0110;
ноябрь 2018;889 176;0,0104;
декабрь 2018;746 780;0,0087;
январь 2019;824 583;0,0093;
февраль 2019;861 867;0,0102;
март 2019;1 084 830;0,0123;
апрель 2019;1 028 419;0,0124;
май 2019;1 023 146;0,0129;
июнь 2019;1 054 502;0,0145;
июль 2019;1 179 735;0,0160;
август 2019;1 089 466;0,0149;
сентябрь 2019;1 016 029;0,0129;
октябрь 2019;1 034 032;0,0116;
ноябрь 2019;971 745;0,0109;
декабрь 2019;973 228;0,0104;
январь 2020;1 107 898;0,0113;
февраль 2020;1 048 761;0,0114;
март 2020;1 104 549;0,0112;
апрель 2020;1 198 025;0,0100;
май 2020;1 399 860;0,0130;
июнь 2020;1 364 973;0,0153;
июль 2020;1 334 029;0,0158;
август 2020;1 300 776;0,0155;
сентябрь 2020;1 211 653;0,0127;
октябрь 2020;1 232 172;0,0114;
ноябрь 2020;1 199 144;0,0104;
декабрь 2020;1 065 932;0,0096;
январь 2021;1 076 995;0,0103;
февраль 2021;1 081 977;0,0108;
март 2021;1 253 390;0,0115;
апрель 2021;1 341 740;0,0124;
май 2021;1 386 969;0,0134;
июнь 2021;1 460 876;0,0147;
июль 2021;1 516 975;0,0156;
август 2021;1 644 329;0,0164;
сентябрь 2021;1 472 363;0,0137;
октябрь 2021;1 354 472;0,0119;
ноябрь 2021;1 365 275;0,0117;
декабрь 2021;1 216 044;0,0102;
январь 2022;1 254 533;0,0105;
февраль 2022;1 272 314;0,0107;
март 2022;1 471 509;0,0115;
апрель 2022;1 455 006;0,0121;
май 2022;1 507 087;0,0126;
июнь 2022;1 517 922;0,0141;
июль 2022;1 540 993;0,0147;
август 2022;1 573 055;0,0146;
сентябрь 2022;1 329 317;0,0113;
октябрь 2022;1 217 943;0,0098;
ноябрь 2022;1 235 973;0,0097;
декабрь 2022;1 032 405;0,0082;
январь 2023;1 121 356;0,0090;
февраль 2023;1 160 800;0,0101;
март 2023;1 364 842;0,0109;
апрель 2023;1 321 039;0,0114;
май 2023;1 398 795;0,0123;
июнь 2023;1 451 506;0,0141;
июль 2023;1 545 320;0,0153;
август 2023;1 481 280;0,0147;
сентябрь 2023;1 376 051;0,0127;
октябрь 2023;1 396 429;0,0117;
ноябрь 2023;1 285 576;0,0109;
декабрь 2023;1 034 786;0,0086;
январь 2024;1 107 433;0,0091;
февраль 2024;1 177 023;0,0104;
март 2024;1 273 099;0,0110;
апрель 2024;1 339 731;0,0123;
май 2024;1 363 396;0,0128;
июнь 2024;1 305 951;0,0139;
июль 2024;1 398 109;0,0150;
август 2024;1 373 997;0,0146;
сентябрь 2024;1 273 839;0,0128;
октябрь 2024;1 305 361;0,0116;
ноябрь 2024;1 256 043;0,0108;
декабрь 2024;1 132 483;0,0094;
январь 2025;1 229 507;0,0103;
февраль 2025;1 243 127;0,0108;
март 2025;1 322 938;0,0110;
апрель 2025;1 312 252;0,0115;
май 2025;1 324 581;0,0124;
июнь 2025;1 488 319;0,0140;
