Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Клей», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;1 760 726;0,022;
февраль 2018;1 800 294;0,023;
март 2018;2 033 532;0,024;
апрель 2018;1 884 151;0,024;
май 2018;1 918 090;0,025;
июнь 2018;1 881 471;0,027;
июль 2018;1 979 561;0,028;
август 2018;2 038 728;0,028;
сентябрь 2018;2 038 959;0,025;
октябрь 2018;2 466 959;0,026;
ноябрь 2018;2 386 200;0,028;
декабрь 2018;2 492 037;0,029;
январь 2019;2 344 678;0,026;
февраль 2019;2 450 362;0,029;
март 2019;2 747 671;0,031;
апрель 2019;2 534 517;0,030;
май 2019;2 452 945;0,031;
июнь 2019;2 326 972;0,032;
июль 2019;2 413 160;0,032;
август 2019;2 344 651;0,032;
сентябрь 2019;2 204 308;0,028;
октябрь 2019;2 520 748;0,028;
ноябрь 2019;2 539 494;0,028;
декабрь 2019;2 849 603;0,030;
январь 2020;2 671 330;0,027;
февраль 2020;2 604 638;0,028;
март 2020;2 620 784;0,026;
апрель 2020;3 094 020;0,025;
май 2020;3 013 675;0,028;
июнь 2020;2 766 467;0,031;
июль 2020;2 669 661;0,031;
август 2020;2 601 434;0,031;
сентябрь 2020;2 539 524;0,026;
октябрь 2020;2 810 954;0,026;
ноябрь 2020;3 000 843;0,026;
декабрь 2020;2 940 691;0,026;
январь 2021;2 490 269;0,023;
февраль 2021;2 539 572;0,025;
март 2021;2 694 671;0,024;
апрель 2021;2 806 926;0,026;
май 2021;2 679 923;0,025;
июнь 2021;2 754 411;0,027;
июль 2021;2 790 400;0,028;
август 2021;2 984 650;0,029;
сентябрь 2021;2 863 586;0,026;
октябрь 2021;2 914 634;0,025;
ноябрь 2021;3 039 468;0,026;
декабрь 2021;3 154 449;0,026;
январь 2022;2 843 929;0,023;
февраль 2022;2 730 121;0,023;
март 2022;3 224 040;0,025;
апрель 2022;3 242 043;0,027;
май 2022;3 215 955;0,026;
июнь 2022;3 119 450;0,029;
июль 2022;3 138 971;0,030;
август 2022;3 215 020;0,029;
сентябрь 2022;2 975 152;0,025;
октябрь 2022;3 080 409;0,024;
ноябрь 2022;3 303 870;0,026;
декабрь 2022;3 222 027;0,025;
январь 2023;2 856 772;0,023;
февраль 2023;2 837 210;0,024;
март 2023;3 285 215;0,026;
апрель 2023;3 116 527;0,026;
май 2023;3 102 739;0,027;
июнь 2023;3 040 644;0,029;
июль 2023;3 161 300;0,031;
август 2023;3 135 509;0,031;
сентябрь 2023;3 001 935;0,027;
октябрь 2023;3 431 309;0,028;
ноябрь 2023;3 385 097;0,028;
декабрь 2023;3 252 501;0,027;
январь 2024;2 957 876;0,024;
февраль 2024;2 973 114;0,026;
март 2024;3 141 245;0,027;
апрель 2024;3 178 066;0,029;
май 2024;3 236 184;0,030;
июнь 2024;2 897 180;0,031;
июль 2024;3 130 713;0,033;
август 2024;3 007 071;0,032;
сентябрь 2024;2 867 569;0,028;
октябрь 2024;3 239 730;0,028;
ноябрь 2024;3 397 130;0,029;
декабрь 2024;3 450 737;0,028;
январь 2025;3 130 745;0,026;
февраль 2025;3 152 319;0,027;
март 2025;3 358 411;0,028;
апрель 2025;3 309 808;0,029;
май 2025;3 190 889;0,029;
июнь 2025;3 365 089;0,031;
