Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Дренажные, фекальные насосы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;138 228;0,0017;
февраль 2018;144 407;0,0018;
март 2018;185 829;0,0022;
апрель 2018;287 998;0,0038;
май 2018;312 822;0,0041;
июнь 2018;268 600;0,0038;
июль 2018;295 943;0,0042;
август 2018;282 071;0,0039;
сентябрь 2018;227 382;0,0028;
октябрь 2018;252 641;0,0027;
ноябрь 2018;172 488;0,0020;
декабрь 2018;135 268;0,0015;
январь 2019;144 569;0,0016;
февраль 2019;167 790;0,0020;
март 2019;217 075;0,0024;
апрель 2019;260 430;0,0031;
май 2019;274 619;0,0034;
июнь 2019;274 825;0,0037;
июль 2019;261 898;0,0035;
август 2019;234 163;0,0032;
сентябрь 2019;201 248;0,0025;
октябрь 2019;218 605;0,0024;
ноябрь 2019;175 530;0,0019;
декабрь 2019;168 488;0,0018;
январь 2020;181 288;0,0018;
февраль 2020;182 632;0,0019;
март 2020;237 445;0,0024;
апрель 2020;280 683;0,0023;
май 2020;405 773;0,0037;
июнь 2020;486 522;0,0054;
июль 2020;397 133;0,0047;
август 2020;303 314;0,0036;
сентябрь 2020;273 120;0,0028;
октябрь 2020;260 934;0,0024;
ноябрь 2020;231 859;0,0020;
декабрь 2020;191 805;0,0017;
январь 2021;194 845;0,0018;
февраль 2021;200 927;0,0020;
март 2021;297 587;0,0027;
апрель 2021;473 127;0,0043;
май 2021;483 963;0,0046;
июнь 2021;484 397;0,0048;
июль 2021;458 837;0,0047;
август 2021;402 611;0,0040;
сентябрь 2021;337 442;0,0031;
октябрь 2021;303 827;0,0026;
ноябрь 2021;273 421;0,0023;
декабрь 2021;217 773;0,0018;
январь 2022;216 698;0,0018;
февраль 2022;256 774;0,0021;
март 2022;307 714;0,0024;
апрель 2022;497 785;0,0041;
май 2022;477 815;0,0040;
июнь 2022;492 390;0,0045;
июль 2022;458 543;0,0043;
август 2022;415 832;0,0038;
сентябрь 2022;314 112;0,0026;
октябрь 2022;306 462;0,0024;
ноябрь 2022;268 533;0,0021;
декабрь 2022;218 035;0,0017;
январь 2023;236 373;0,0019;
февраль 2023;223 713;0,0019;
март 2023;419 844;0,0033;
апрель 2023;449 435;0,0038;
май 2023;484 930;0,0042;
июнь 2023;460 808;0,0044;
июль 2023;449 312;0,0044;
август 2023;426 977;0,0042;
сентябрь 2023;341 693;0,0031;
октябрь 2023;352 427;0,0029;
ноябрь 2023;314 033;0,0026;
декабрь 2023;235 871;0,0019;
январь 2024;255 841;0,0021;
февраль 2024;291 588;0,0025;
март 2024;383 322;0,0033;
апрель 2024;551 561;0,0050;
май 2024;502 301;0,0047;
июнь 2024;524 040;0,0056;
июль 2024;542 652;0,0058;
август 2024;422 482;0,0045;
сентябрь 2024;353 015;0,0035;
октябрь 2024;346 339;0,0030;
ноябрь 2024;314 131;0,0027;
декабрь 2024;268 154;0,0022;
январь 2025;267 965;0,0022;
февраль 2025;285 625;0,0025;
март 2025;386 166;0,0032;
апрель 2025;451 190;0,0039;
май 2025;515 102;0,0048;
июнь 2025;572 143;0,0054;
