Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Комплектующие для водонагревателей», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;232;0,00000298;
февраль 2018;126;0,00000162;
март 2018;212;0,00000252;
апрель 2018;191;0,00000252;
май 2018;358;0,00000476;
июнь 2018;299;0,00000430;
июль 2018;260;0,00000371;
август 2018;243;0,00000344;
сентябрь 2018;157;0,00000198;
октябрь 2018;213;0,00000231;
ноябрь 2018;174;0,00000204;
декабрь 2018;150;0,00000175;
январь 2019;186;0,00000211;
февраль 2019;175;0,00000208;
март 2019;162;0,00000184;
апрель 2019;177;0,00000214;
май 2019;274;0,00000346;
июнь 2019;261;0,00000360;
июль 2019;218;0,00000296;
август 2019;196;0,00000269;
сентябрь 2019;192;0,00000244;
октябрь 2019;174;0,00000196;
ноябрь 2019;181;0,00000203;
декабрь 2019;173;0,00000186;
январь 2020;185;0,00000190;
февраль 2020;191;0,00000207;
март 2020;174;0,00000177;
апрель 2020;224;0,00000187;
май 2020;314;0,00000292;
июнь 2020;370;0,00000414;
июль 2020;298;0,00000353;
август 2020;259;0,00000308;
сентябрь 2020;230;0,00000242;
октябрь 2020;234;0,00000217;
ноябрь 2020;210;0,00000183;
декабрь 2020;210;0,00000190;
январь 2021;206;0,00000197;
февраль 2021;168;0,00000168;
март 2021;239;0,00000219;
апрель 2021;214;0,00000198;
май 2021;330;0,00000319;
июнь 2021;248;0,00000249;
июль 2021;261;0,00000269;
август 2021;229;0,00000228;
сентябрь 2021;202;0,00000188;
октябрь 2021;225;0,00000197;
ноябрь 2021;150;0,00000129;
декабрь 2021;192;0,00000162;
январь 2022;184;0,00000154;
февраль 2022;161;0,00000136;
март 2022;229;0,00000179;
апрель 2022;213;0,00000178;
май 2022;352;0,00000295;
июнь 2022;259;0,00000241;
июль 2022;292;0,00000280;
август 2022;189;0,00000175;
сентябрь 2022;143;0,00000122;
октябрь 2022;119;0,00000096;
ноябрь 2022;188;0,00000148;
декабрь 2022;195;0,00000155;
январь 2023;133;0,00000107;
февраль 2023;108;0,00000094;
март 2023;167;0,00000134;
апрель 2023;216;0,00000187;
май 2023;296;0,00000261;
июнь 2023;254;0,00000247;
июль 2023;173;0,00000171;
август 2023;231;0,00000229;
сентябрь 2023;143;0,00000132;
октябрь 2023;142;0,00000119;
ноябрь 2023;133;0,00000113;
декабрь 2023;158;0,00000132;
январь 2024;131;0,00000108;
февраль 2024;114;0,00000101;
март 2024;142;0,00000123;
апрель 2024;153;0,00000141;
май 2024;238;0,00000223;
июнь 2024;235;0,00000251;
июль 2024;149;0,00000160;
август 2024;184;0,00000196;
сентябрь 2024;119;0,00000119;
октябрь 2024;117;0,00000104;
ноябрь 2024;150;0,00000129;
декабрь 2024;134;0,00000111;
январь 2025;149;0,00000125;
февраль 2025;99;0,00000086;
март 2025;135;0,00000112;
апрель 2025;155;0,00000136;
май 2025;262;0,00000245;
июнь 2025;271;0,00000256;
