Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Лейки для душа», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;18 597;0,00023;
февраль 2018;18 450;0,00023;
март 2018;20 201;0,00024;
апрель 2018;16 919;0,00022;
май 2018;22 047;0,00029;
июнь 2018;25 540;0,00036;
июль 2018;24 258;0,00034;
август 2018;21 559;0,00030;
сентябрь 2018;19 164;0,00024;
октябрь 2018;25 964;0,00028;
ноябрь 2018;20 842;0,00024;
декабрь 2018;21 305;0,00024;
январь 2019;22 328;0,00025;
февраль 2019;23 487;0,00028;
март 2019;24 233;0,00027;
апрель 2019;22 317;0,00027;
май 2019;26 174;0,00033;
июнь 2019;29 724;0,00041;
июль 2019;25 260;0,00034;
август 2019;21 786;0,00029;
сентябрь 2019;20 678;0,00026;
октябрь 2019;22 763;0,00025;
ноябрь 2019;24 217;0,00027;
декабрь 2019;25 357;0,00027;
январь 2020;29 435;0,00030;
февраль 2020;28 528;0,00031;
март 2020;26 688;0,00027;
апрель 2020;28 774;0,00024;
май 2020;38 638;0,00036;
июнь 2020;43 018;0,00048;
июль 2020;37 687;0,00044;
август 2020;30 402;0,00036;
сентябрь 2020;27 939;0,00029;
октябрь 2020;30 537;0,00028;
ноябрь 2020;34 331;0,00029;
декабрь 2020;33 682;0,00030;
январь 2021;38 692;0,00037;
февраль 2021;37 636;0,00037;
март 2021;41 887;0,00038;
апрель 2021;38 239;0,00035;
май 2021;49 354;0,00047;
июнь 2021;54 460;0,00054;
июль 2021;53 958;0,00055;
август 2021;48 589;0,00048;
сентябрь 2021;42 964;0,00040;
октябрь 2021;42 098;0,00037;
ноябрь 2021;47 026;0,00040;
декабрь 2021;44 614;0,00037;
январь 2022;55 827;0,00046;
февраль 2022;50 241;0,00042;
март 2022;59 207;0,00046;
апрель 2022;53 360;0,00044;
май 2022;58 318;0,00048;
июнь 2022;66 757;0,00062;
июль 2022;62 717;0,00060;
август 2022;61 775;0,00057;
сентябрь 2022;47 730;0,00040;
октябрь 2022;49 029;0,00039;
ноябрь 2022;52 712;0,00041;
декабрь 2022;47 719;0,00037;
январь 2023;53 705;0,00043;
февраль 2023;51 761;0,00045;
март 2023;54 982;0,00044;
апрель 2023;48 803;0,00042;
май 2023;56 233;0,00049;
июнь 2023;59 397;0,00057;
июль 2023;60 928;0,00060;
август 2023;55 663;0,00055;
сентябрь 2023;52 503;0,00048;
октябрь 2023;61 966;0,00051;
ноябрь 2023;59 727;0,00050;
декабрь 2023;53 108;0,00044;
январь 2024;58 846;0,00048;
февраль 2024;56 501;0,00050;
март 2024;55 295;0,00047;
апрель 2024;51 268;0,00047;
май 2024;59 122;0,00055;
июнь 2024;63 188;0,00067;
июль 2024;63 555;0,00068;
август 2024;50 555;0,00054;
сентябрь 2024;44 953;0,00045;
октябрь 2024;49 762;0,00044;
ноябрь 2024;55 217;0,00047;
декабрь 2024;53 309;0,00044;
январь 2025;58 518;0,00049;
февраль 2025;56 997;0,00049;
март 2025;58 383;0,00048;
апрель 2025;54 032;0,00047;
май 2025;56 943;0,00053;
июнь 2025;65 468;0,00062;
