Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Окна ПВХ», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;174 743;0,0022;
февраль 2018;174 617;0,0022;
март 2018;205 279;0,0024;
апрель 2018;207 269;0,0027;
май 2018;219 237;0,0029;
июнь 2018;207 705;0,0029;
июль 2018;233 872;0,0033;
август 2018;258 399;0,0036;
сентябрь 2018;253 467;0,0031;
октябрь 2018;263 342;0,0028;
ноябрь 2018;201 900;0,0023;
декабрь 2018;151 274;0,0017;
январь 2019;166 108;0,0018;
февраль 2019;168 115;0,0020;
март 2019;209 868;0,0023;
апрель 2019;205 673;0,0024;
май 2019;197 047;0,0024;
июнь 2019;197 752;0,0027;
июль 2019;210 292;0,0028;
август 2019;202 168;0,0027;
сентябрь 2019;215 009;0,0027;
октябрь 2019;212 675;0,0024;
ноябрь 2019;182 645;0,0020;
декабрь 2019;160 060;0,0017;
январь 2020;181 115;0,0018;
февраль 2020;166 848;0,0018;
март 2020;172 839;0,0017;
апрель 2020;162 967;0,0013;
май 2020;216 307;0,0020;
июнь 2020;226 392;0,0025;
июль 2020;223 678;0,0026;
август 2020;210 132;0,0025;
сентябрь 2020;208 669;0,0021;
октябрь 2020;207 165;0,0019;
ноябрь 2020;200 365;0,0017;
декабрь 2020;192 490;0,0017;
январь 2021;189 759;0,0018;
февраль 2021;199 459;0,0019;
март 2021;205 683;0,0018;
апрель 2021;219 731;0,0020;
май 2021;229 070;0,0022;
июнь 2021;249 516;0,0025;
июль 2021;258 963;0,0026;
август 2021;278 230;0,0027;
сентябрь 2021;269 642;0,0025;
октябрь 2021;225 211;0,0019;
ноябрь 2021;254 640;0,0021;
декабрь 2021;260 272;0,0021;
январь 2022;162 408;0,0013;
февраль 2022;169 206;0,0014;
март 2022;211 207;0,0016;
апрель 2022;204 119;0,0017;
май 2022;211 763;0,0017;
июнь 2022;217 782;0,0020;
июль 2022;218 896;0,0020;
август 2022;234 894;0,0021;
сентябрь 2022;204 946;0,0017;
октябрь 2022;175 672;0,0014;
ноябрь 2022;181 619;0,0014;
декабрь 2022;151 206;0,0012;
январь 2023;160 346;0,0013;
февраль 2023;145 121;0,0012;
март 2023;170 392;0,0013;
апрель 2023;152 938;0,0013;
май 2023;166 402;0,0014;
июнь 2023;169 278;0,0016;
июль 2023;176 490;0,0017;
август 2023;185 028;0,0018;
сентябрь 2023;176 179;0,0016;
октябрь 2023;190 572;0,0015;
ноябрь 2023;159 550;0,0013;
декабрь 2023;131 163;0,0010;
январь 2024;132 236;0,0010;
февраль 2024;129 330;0,0011;
март 2024;133 914;0,0011;
апрель 2024;146 629;0,0013;
май 2024;148 768;0,0013;
июнь 2024;148 809;0,0015;
июль 2024;162 689;0,0017;
август 2024;162 868;0,0017;
сентябрь 2024;167 236;0,0016;
октябрь 2024;172 585;0,0015;
ноябрь 2024;166 333;0,0014;
декабрь 2024;171 922;0,0014;
январь 2025;163 660;0,0013;
февраль 2025;146 093;0,0012;
март 2025;144 431;0,0012;
апрель 2025;141 614;0,0012;
май 2025;144 137;0,0013;
июнь 2025;166 886;0,0015;
