Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Укрывной материал», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;18 233;0,00023;
февраль 2018;26 620;0,00034;
март 2018;35 233;0,00041;
апрель 2018;59 414;0,00078;
май 2018;103 204;0,00137;
июнь 2018;47 645;0,00068;
июль 2018;29 466;0,00042;
август 2018;35 064;0,00049;
сентябрь 2018;31 760;0,00040;
октябрь 2018;40 948;0,00044;
ноябрь 2018;27 553;0,00032;
декабрь 2018;12 227;0,00014;
январь 2019;18 018;0,00020;
февраль 2019;25 526;0,00030;
март 2019;39 153;0,00044;
апрель 2019;70 829;0,00085;
май 2019;104 599;0,00132;
июнь 2019;45 279;0,00062;
июль 2019;30 945;0,00042;
август 2019;32 615;0,00044;
сентябрь 2019;31 824;0,00040;
октябрь 2019;37 445;0,00042;
ноябрь 2019;27 475;0,00030;
декабрь 2019;13 550;0,00014;
январь 2020;21 682;0,00022;
февраль 2020;28 700;0,00031;
март 2020;45 217;0,00046;
апрель 2020;96 386;0,00080;
май 2020;171 908;0,00160;
июнь 2020;69 746;0,00078;
июль 2020;44 805;0,00053;
август 2020;44 989;0,00053;
сентябрь 2020;39 358;0,00041;
октябрь 2020;48 019;0,00044;
ноябрь 2020;38 907;0,00033;
декабрь 2020;17 968;0,00016;
январь 2021;24 972;0,00023;
февраль 2021;32 644;0,00032;
март 2021;58 549;0,00053;
апрель 2021;99 556;0,00092;
май 2021;152 615;0,00147;
июнь 2021;72 087;0,00072;
июль 2021;45 955;0,00047;
август 2021;50 777;0,00050;
сентябрь 2021;49 251;0,00045;
октябрь 2021;55 938;0,00049;
ноябрь 2021;46 431;0,00040;
декабрь 2021;22 475;0,00018;
январь 2022;28 252;0,00023;
февраль 2022;38 953;0,00032;
март 2022;72 597;0,00056;
апрель 2022;127 854;0,00106;
май 2022;222 227;0,00186;
июнь 2022;92 173;0,00085;
июль 2022;57 574;0,00055;
август 2022;56 587;0,00052;
сентябрь 2022;47 601;0,00040;
октябрь 2022;51 615;0,00041;
ноябрь 2022;45 385;0,00035;
декабрь 2022;18 206;0,00014;
январь 2023;27 074;0,00021;
февраль 2023;36 541;0,00032;
март 2023;62 624;0,00050;
апрель 2023;112 411;0,00097;
май 2023;177 929;0,00157;
июнь 2023;81 892;0,00079;
июль 2023;50 736;0,00050;
август 2023;57 874;0,00057;
сентябрь 2023;60 553;0,00056;
октябрь 2023;84 235;0,00070;
ноябрь 2023;51 487;0,00043;
декабрь 2023;23 779;0,00019;
январь 2024;30 357;0,00025;
февраль 2024;38 712;0,00034;
март 2024;52 009;0,00045;
апрель 2024;113 375;0,00104;
май 2024;178 942;0,00168;
июнь 2024;82 230;0,00088;
июль 2024;51 669;0,00055;
август 2024;50 442;0,00053;
сентябрь 2024;49 201;0,00049;
октябрь 2024;58 544;0,00052;
ноябрь 2024;39 281;0,00033;
декабрь 2024;18 420;0,00015;
январь 2025;25 000;0,00021;
февраль 2025;30 961;0,00027;
март 2025;51 671;0,00043;
апрель 2025;91 827;0,00080;
май 2025;153 327;0,00143;
июнь 2025;72 755;0,00068;
