Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Молочники и сливочники», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;92;0,00000118;
февраль 2018;101;0,00000130;
март 2018;120;0,00000142;
апрель 2018;130;0,00000171;
май 2018;73;0,00000097;
июнь 2018;84;0,00000121;
июль 2018;49;0,00000070;
август 2018;60;0,00000084;
сентябрь 2018;53;0,00000066;
октябрь 2018;90;0,00000097;
ноябрь 2018;98;0,00000115;
декабрь 2018;78;0,00000091;
январь 2019;78;0,00000088;
февраль 2019;78;0,00000093;
март 2019;115;0,00000130;
апрель 2019;62;0,00000075;
май 2019;83;0,00000104;
июнь 2019;75;0,00000103;
июль 2019;55;0,00000074;
август 2019;69;0,00000094;
сентябрь 2019;53;0,00000067;
октябрь 2019;56;0,00000063;
ноябрь 2019;37;0,00000041;
декабрь 2019;39;0,00000042;
январь 2020;58;0,00000059;
февраль 2020;52;0,00000056;
март 2020;77;0,00000078;
апрель 2020;50;0,00000041;
май 2020;65;0,00000060;
июнь 2020;70;0,00000078;
июль 2020;42;0,00000049;
август 2020;52;0,00000062;
сентябрь 2020;79;0,00000083;
октябрь 2020;73;0,00000067;
ноябрь 2020;94;0,00000082;
декабрь 2020;82;0,00000074;
январь 2021;63;0,00000060;
февраль 2021;76;0,00000076;
март 2021;90;0,00000082;
апрель 2021;111;0,00000102;
май 2021;87;0,00000084;
июнь 2021;87;0,00000087;
июль 2021;129;0,00000132;
август 2021;125;0,00000124;
сентябрь 2021;162;0,00000151;
октябрь 2021;160;0,00000140;
ноябрь 2021;180;0,00000155;
декабрь 2021;125;0,00000105;
январь 2022;202;0,00000169;
февраль 2022;159;0,00000134;
март 2022;133;0,00000104;
апрель 2022;87;0,00000072;
май 2022;85;0,00000071;
июнь 2022;78;0,00000072;
июль 2022;57;0,00000054;
август 2022;82;0,00000076;
сентябрь 2022;78;0,00000066;
октябрь 2022;124;0,00000100;
ноябрь 2022;80;0,00000063;
декабрь 2022;93;0,00000073;
январь 2023;106;0,00000085;
февраль 2023;83;0,00000072;
март 2023;96;0,00000077;
апрель 2023;73;0,00000063;
май 2023;92;0,00000081;
июнь 2023;55;0,00000053;
июль 2023;68;0,00000067;
август 2023;46;0,00000045;
сентябрь 2023;54;0,00000050;
октябрь 2023;99;0,00000082;
ноябрь 2023;164;0,00000139;
декабрь 2023;113;0,00000094;
январь 2024;111;0,00000092;
февраль 2024;267;0,00000237;
март 2024;170;0,00000147;
апрель 2024;213;0,00000196;
май 2024;121;0,00000113;
июнь 2024;79;0,00000084;
июль 2024;47;0,00000050;
август 2024;58;0,00000062;
сентябрь 2024;73;0,00000073;
октябрь 2024;88;0,00000078;
ноябрь 2024;128;0,00000110;
декабрь 2024;76;0,00000063;
январь 2025;76;0,00000064;
февраль 2025;77;0,00000067;
март 2025;91;0,00000075;
апрель 2025;49;0,00000043;
май 2025;62;0,00000058;
июнь 2025;73;0,00000069;
