Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Напильники», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;42 738;0,00055;
февраль 2018;45 250;0,00058;
март 2018;47 997;0,00057;
апрель 2018;41 378;0,00054;
май 2018;41 093;0,00054;
июнь 2018;38 270;0,00055;
июль 2018;33 142;0,00047;
август 2018;34 961;0,00049;
сентябрь 2018;44 922;0,00056;
октябрь 2018;58 162;0,00063;
ноябрь 2018;52 033;0,00061;
декабрь 2018;50 378;0,00058;
январь 2019;49 595;0,00056;
февраль 2019;52 556;0,00062;
март 2019;53 501;0,00060;
апрель 2019;51 386;0,00062;
май 2019;46 783;0,00059;
июнь 2019;40 652;0,00056;
июль 2019;39 694;0,00053;
август 2019;38 897;0,00053;
сентябрь 2019;47 324;0,00060;
октябрь 2019;59 094;0,00066;
ноябрь 2019;57 127;0,00064;
декабрь 2019;57 180;0,00061;
январь 2020;55 438;0,00057;
февраль 2020;59 818;0,00065;
март 2020;59 768;0,00060;
апрель 2020;116 150;0,00097;
май 2020;94 723;0,00088;
июнь 2020;65 009;0,00072;
июль 2020;46 067;0,00054;
август 2020;43 353;0,00051;
сентябрь 2020;60 454;0,00063;
октябрь 2020;77 584;0,00072;
ноябрь 2020;91 112;0,00079;
декабрь 2020;92 074;0,00083;
январь 2021;61 409;0,00058;
февраль 2021;67 970;0,00067;
март 2021;73 770;0,00067;
апрель 2021;73 859;0,00068;
май 2021;64 791;0,00062;
июнь 2021;62 661;0,00063;
июль 2021;52 639;0,00054;
август 2021;53 277;0,00053;
сентябрь 2021;74 578;0,00069;
октябрь 2021;84 790;0,00074;
ноябрь 2021;85 561;0,00073;
декабрь 2021;87 016;0,00073;
январь 2022;76 420;0,00064;
февраль 2022;88 620;0,00075;
март 2022;79 214;0,00062;
апрель 2022;80 331;0,00067;
май 2022;83 792;0,00070;
июнь 2022;71 060;0,00066;
июль 2022;61 099;0,00058;
август 2022;62 864;0,00058;
сентябрь 2022;72 202;0,00061;
октябрь 2022;95 696;0,00077;
ноябрь 2022;90 192;0,00071;
декабрь 2022;87 750;0,00069;
январь 2023;79 980;0,00064;
февраль 2023;86 170;0,00075;
март 2023;94 246;0,00075;
апрель 2023;81 661;0,00070;
май 2023;83 191;0,00073;
июнь 2023;71 163;0,00069;
июль 2023;62 319;0,00061;
август 2023;62 028;0,00061;
сентябрь 2023;78 670;0,00073;
октябрь 2023;97 878;0,00082;
ноябрь 2023;90 512;0,00077;
декабрь 2023;86 221;0,00072;
январь 2024;77 758;0,00064;
февраль 2024;85 439;0,00076;
март 2024;85 033;0,00073;
апрель 2024;83 807;0,00077;
май 2024;82 741;0,00077;
июнь 2024;64 231;0,00068;
июль 2024;60 715;0,00065;
август 2024;57 970;0,00062;
сентябрь 2024;74 763;0,00075;
октябрь 2024;95 752;0,00085;
ноябрь 2024;96 214;0,00082;
декабрь 2024;97 416;0,00081;
январь 2025;82 059;0,00069;
февраль 2025;95 119;0,00083;
март 2025;89 968;0,00075;
апрель 2025;85 427;0,00074;
май 2025;78 331;0,00073;
июнь 2025;72 295;0,00068;
