Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Строительные пылесосы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;31 709;0,00040;
февраль 2018;33 064;0,00042;
март 2018;38 912;0,00046;
апрель 2018;34 404;0,00045;
май 2018;32 506;0,00043;
июнь 2018;31 212;0,00044;
июль 2018;33 176;0,00047;
август 2018;35 683;0,00050;
сентябрь 2018;35 007;0,00044;
октябрь 2018;42 732;0,00046;
ноябрь 2018;42 819;0,00050;
декабрь 2018;37 408;0,00043;
январь 2019;40 446;0,00045;
февраль 2019;44 395;0,00052;
март 2019;48 919;0,00055;
апрель 2019;47 105;0,00056;
май 2019;41 190;0,00052;
июнь 2019;39 307;0,00054;
июль 2019;43 042;0,00058;
август 2019;44 494;0,00061;
сентябрь 2019;46 506;0,00059;
октябрь 2019;49 129;0,00055;
ноябрь 2019;49 961;0,00056;
декабрь 2019;52 370;0,00056;
январь 2020;58 590;0,00060;
февраль 2020;59 991;0,00065;
март 2020;61 538;0,00062;
апрель 2020;50 802;0,00042;
май 2020;58 619;0,00054;
июнь 2020;56 260;0,00063;
июль 2020;59 087;0,00070;
август 2020;60 483;0,00072;
сентябрь 2020;65 859;0,00069;
октябрь 2020;75 774;0,00070;
ноябрь 2020;82 483;0,00071;
декабрь 2020;82 024;0,00074;
январь 2021;83 591;0,00080;
февраль 2021;84 522;0,00084;
март 2021;90 209;0,00082;
апрель 2021;88 811;0,00082;
май 2021;79 085;0,00076;
июнь 2021;77 987;0,00078;
июль 2021;81 725;0,00084;
август 2021;94 481;0,00094;
сентябрь 2021;91 482;0,00085;
октябрь 2021;95 651;0,00084;
ноябрь 2021;104 985;0,00090;
декабрь 2021;97 692;0,00082;
январь 2022;102 795;0,00086;
февраль 2022;102 486;0,00086;
март 2022;103 697;0,00081;
апрель 2022;97 703;0,00081;
май 2022;91 567;0,00076;
июнь 2022;86 548;0,00080;
июль 2022;87 749;0,00084;
август 2022;96 135;0,00089;
сентябрь 2022;86 304;0,00073;
октябрь 2022;93 227;0,00075;
ноябрь 2022;106 875;0,00084;
декабрь 2022;94 186;0,00074;
январь 2023;101 208;0,00082;
февраль 2023;107 564;0,00094;
март 2023;114 259;0,00091;
апрель 2023;102 373;0,00088;
май 2023;96 624;0,00085;
июнь 2023;94 771;0,00092;
июль 2023;96 199;0,00095;
август 2023;98 311;0,00097;
сентябрь 2023;99 874;0,00092;
октябрь 2023;118 979;0,00099;
ноябрь 2023;118 982;0,00101;
декабрь 2023;100 112;0,00083;
январь 2024;105 685;0,00087;
февраль 2024;116 818;0,00104;
март 2024;117 379;0,00101;
апрель 2024;108 060;0,00099;
май 2024;105 144;0,00098;
июнь 2024;95 126;0,00101;
июль 2024;99 423;0,00106;
август 2024;95 911;0,00102;
сентябрь 2024;96 436;0,00097;
октябрь 2024;107 826;0,00096;
ноябрь 2024;114 416;0,00098;
декабрь 2024;109 377;0,00091;
январь 2025;115 264;0,00097;
февраль 2025;121 570;0,00106;
март 2025;126 164;0,00105;
апрель 2025;114 723;0,00100;
май 2025;105 855;0,00099;
июнь 2025;110 901;0,00105;
