Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Верстаки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;116 024;0,0014;
февраль 2018;111 307;0,0014;
март 2018;122 613;0,0014;
апрель 2018;100 937;0,0013;
май 2018;106 216;0,0014;
июнь 2018;96 288;0,0013;
июль 2018;90 571;0,0012;
август 2018;95 232;0,0013;
сентябрь 2018;103 685;0,0013;
октябрь 2018;128 402;0,0013;
ноябрь 2018;112 964;0,0013;
декабрь 2018;105 019;0,0012;
январь 2019;109 325;0,0012;
февраль 2019;110 114;0,0013;
март 2019;117 765;0,0013;
апрель 2019;100 727;0,0012;
май 2019;94 711;0,0011;
июнь 2019;92 213;0,0012;
июль 2019;104 244;0,0014;
август 2019;102 490;0,0014;
сентябрь 2019;104 411;0,0013;
октябрь 2019;127 598;0,0014;
ноябрь 2019;127 153;0,0014;
декабрь 2019;129 750;0,0013;
январь 2020;147 563;0,0015;
февраль 2020;134 394;0,0014;
март 2020;128 480;0,0013;
апрель 2020;173 639;0,0014;
май 2020;172 627;0,0016;
июнь 2020;143 548;0,0016;
июль 2020;124 244;0,0014;
август 2020;134 118;0,0015;
сентябрь 2020;135 729;0,0014;
октябрь 2020;168 990;0,0015;
ноябрь 2020;185 208;0,0016;
декабрь 2020;152 954;0,0013;
январь 2021;143 056;0,0013;
февраль 2021;154 398;0,0015;
март 2021;169 577;0,0015;
апрель 2021;162 206;0,0015;
май 2021;144 987;0,0014;
июнь 2021;142 792;0,0014;
июль 2021;132 233;0,0013;
август 2021;147 658;0,0014;
сентябрь 2021;158 540;0,0014;
октябрь 2021;161 395;0,0014;
ноябрь 2021;171 186;0,0014;
декабрь 2021;153 351;0,0012;
январь 2022;156 773;0,0013;
февраль 2022;157 031;0,0013;
март 2022;152 249;0,0011;
апрель 2022;159 257;0,0013;
май 2022;156 067;0,0013;
июнь 2022;145 858;0,0013;
июль 2022;140 216;0,0013;
август 2022;157 969;0,0014;
сентябрь 2022;147 194;0,0012;
октябрь 2022;168 379;0,0013;
ноябрь 2022;188 187;0,0014;
декабрь 2022;170 504;0,0013;
январь 2023;175 621;0,0014;
февраль 2023;168 311;0,0014;
март 2023;185 322;0,0014;
апрель 2023;159 401;0,0013;
май 2023;168 613;0,0014;
июнь 2023;158 395;0,0015;
июль 2023;156 685;0,0015;
август 2023;154 759;0,0015;
сентябрь 2023;164 817;0,0015;
октябрь 2023;192 555;0,0016;
ноябрь 2023;199 964;0,0017;
декабрь 2023;184 435;0,0015;
январь 2024;182 425;0,0015;
февраль 2024;192 707;0,0017;
март 2024;184 895;0,0016;
апрель 2024;160 728;0,0014;
май 2024;167 827;0,0015;
июнь 2024;147 493;0,0015;
июль 2024;146 137;0,0015;
август 2024;146 408;0,0015;
сентябрь 2024;150 463;0,0015;
октябрь 2024;184 835;0,0016;
ноябрь 2024;202 073;0,0017;
декабрь 2024;198 151;0,0016;
январь 2025;201 493;0,0016;
февраль 2025;203 156;0,0017;
март 2025;203 993;0,0017;
апрель 2025;186 608;0,0016;
май 2025;177 040;0,0016;
июнь 2025;182 764;0,0017;
