Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Керамогранит», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;296 480;0,0038;
февраль 2018;321 099;0,0041;
март 2018;358 801;0,0042;
апрель 2018;346 118;0,0045;
май 2018;359 288;0,0047;
июнь 2018;362 605;0,0052;
июль 2018;412 015;0,0058;
август 2018;434 348;0,0061;
сентябрь 2018;391 473;0,0049;
октябрь 2018;455 332;0,0049;
ноябрь 2018;385 083;0,0045;
декабрь 2018;348 659;0,0040;
январь 2019;375 147;0,0042;
февраль 2019;404 444;0,0048;
март 2019;460 011;0,0052;
апрель 2019;434 345;0,0052;
май 2019;400 441;0,0050;
июнь 2019;409 798;0,0056;
июль 2019;480 507;0,0065;
август 2019;442 634;0,0060;
сентябрь 2019;419 773;0,0053;
октябрь 2019;439 441;0,0049;
ноябрь 2019;422 946;0,0047;
декабрь 2019;413 537;0,0044;
январь 2020;453 351;0,0046;
февраль 2020;472 842;0,0051;
март 2020;505 571;0,0051;
апрель 2020;456 738;0,0038;
май 2020;566 745;0,0052;
июнь 2020;597 099;0,0066;
июль 2020;650 167;0,0077;
август 2020;614 664;0,0073;
сентябрь 2020;616 157;0,0064;
октябрь 2020;647 974;0,0060;
ноябрь 2020;699 106;0,0060;
декабрь 2020;634 230;0,0057;
январь 2021;616 941;0,0059;
февраль 2021;643 817;0,0064;
март 2021;767 015;0,0070;
апрель 2021;768 591;0,0071;
май 2021;730 224;0,0070;
июнь 2021;782 230;0,0078;
июль 2021;812 593;0,0083;
август 2021;886 341;0,0088;
сентябрь 2021;839 144;0,0078;
октябрь 2021;833 376;0,0073;
ноябрь 2021;888 587;0,0076;
декабрь 2021;814 071;0,0068;
январь 2022;844 731;0,0070;
февраль 2022;860 301;0,0072;
март 2022;1 089 632;0,0085;
апрель 2022;897 878;0,0075;
май 2022;838 051;0,0070;
июнь 2022;828 685;0,0077;
июль 2022;841 360;0,0080;
август 2022;878 515;0,0081;
сентябрь 2022;787 888;0,0067;
октябрь 2022;778 309;0,0062;
ноябрь 2022;777 669;0,0061;
декабрь 2022;662 599;0,0052;
январь 2023;710 932;0,0057;
февраль 2023;751 868;0,0065;
март 2023;885 917;0,0071;
апрель 2023;829 918;0,0071;
май 2023;870 842;0,0076;
июнь 2023;906 009;0,0088;
июль 2023;921 800;0,0091;
август 2023;913 288;0,0090;
сентябрь 2023;925 694;0,0086;
октябрь 2023;1 020 708;0,0085;
ноябрь 2023;924 688;0,0078;
декабрь 2023;767 966;0,0064;
январь 2024;865 153;0,0071;
февраль 2024;934 454;0,0083;
март 2024;966 737;0,0083;
апрель 2024;970 359;0,0089;
май 2024;976 819;0,0091;
июнь 2024;877 482;0,0093;
июль 2024;952 355;0,0102;
август 2024;903 251;0,0096;
сентябрь 2024;851 117;0,0085;
октябрь 2024;937 298;0,0083;
ноябрь 2024;1 051 610;0,0090;
декабрь 2024;960 014;0,0080;
январь 2025;996 855;0,0084;
февраль 2025;1 048 540;0,0091;
март 2025;1 096 487;0,0091;
апрель 2025;1 010 000;0,0088;
май 2025;1 011 445;0,0094;
июнь 2025;1 126 277;0,0106;
