Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Сверла», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;316 848;0,0040;
февраль 2018;336 703;0,0043;
март 2018;365 297;0,0043;
апрель 2018;331 582;0,0043;
май 2018;329 717;0,0043;
июнь 2018;321 207;0,0046;
июль 2018;323 399;0,0046;
август 2018;343 134;0,0048;
сентябрь 2018;360 118;0,0045;
октябрь 2018;428 460;0,0046;
ноябрь 2018;384 794;0,0045;
декабрь 2018;356 059;0,0041;
январь 2019;360 935;0,0040;
февраль 2019;392 301;0,0046;
март 2019;409 358;0,0046;
апрель 2019;388 272;0,0046;
май 2019;355 209;0,0044;
июнь 2019;347 566;0,0047;
июль 2019;368 098;0,0050;
август 2019;389 139;0,0053;
сентябрь 2019;391 880;0,0049;
октябрь 2019;461 645;0,0052;
ноябрь 2019;472 873;0,0053;
декабрь 2019;491 186;0,0052;
январь 2020;494 261;0,0050;
февраль 2020;493 868;0,0053;
март 2020;463 442;0,0047;
апрель 2020;507 096;0,0042;
май 2020;525 824;0,0049;
июнь 2020;512 452;0,0057;
июль 2020;471 121;0,0055;
август 2020;460 536;0,0054;
сентябрь 2020;500 922;0,0052;
октябрь 2020;553 201;0,0051;
ноябрь 2020;598 736;0,0052;
декабрь 2020;572 234;0,0051;
январь 2021;485 721;0,0046;
февраль 2021;518 026;0,0051;
март 2021;571 382;0,0052;
апрель 2021;572 398;0,0053;
май 2021;521 818;0,0050;
июнь 2021;550 184;0,0055;
июль 2021;515 251;0,0053;
август 2021;586 341;0,0058;
сентябрь 2021;605 443;0,0056;
октябрь 2021;611 407;0,0053;
ноябрь 2021;649 378;0,0056;
декабрь 2021;637 640;0,0053;
январь 2022;600 527;0,0050;
февраль 2022;606 730;0,0051;
март 2022;627 295;0,0049;
апрель 2022;644 385;0,0053;
май 2022;653 248;0,0054;
июнь 2022;628 435;0,0058;
июль 2022;579 386;0,0055;
август 2022;606 623;0,0056;
сентябрь 2022;583 046;0,0049;
октябрь 2022;633 865;0,0051;
ноябрь 2022;686 227;0,0054;
декабрь 2022;631 513;0,0050;
январь 2023;601 762;0,0048;
февраль 2023;635 865;0,0055;
март 2023;723 780;0,0058;
апрель 2023;655 594;0,0056;
май 2023;668 125;0,0059;
июнь 2023;649 846;0,0063;
июль 2023;635 509;0,0063;
август 2023;626 936;0,0062;
сентябрь 2023;635 990;0,0059;
октябрь 2023;734 357;0,0061;
ноябрь 2023;733 453;0,0062;
декабрь 2023;668 674;0,0056;
январь 2024;648 791;0,0053;
февраль 2024;718 089;0,0063;
март 2024;725 447;0,0062;
апрель 2024;720 363;0,0066;
май 2024;721 290;0,0067;
июнь 2024;642 091;0,0068;
июль 2024;654 293;0,0070;
август 2024;643 466;0,0068;
сентябрь 2024;651 790;0,0065;
октябрь 2024;770 942;0,0068;
ноябрь 2024;803 002;0,0069;
декабрь 2024;762 918;0,0063;
январь 2025;721 319;0,0060;
февраль 2025;778 739;0,0068;
март 2025;785 410;0,0065;
апрель 2025;748 745;0,0065;
май 2025;699 112;0,0065;
июнь 2025;731 690;0,0069;
