Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Трубы профильные», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;197 865;0,0025;
февраль 2018;229 766;0,0029;
март 2018;290 736;0,0034;
апрель 2018;339 794;0,0044;
май 2018;377 976;0,0050;
июнь 2018;327 488;0,0047;
июль 2018;311 437;0,0044;
август 2018;311 741;0,0044;
сентябрь 2018;293 119;0,0036;
октябрь 2018;309 422;0,0033;
ноябрь 2018;223 856;0,0026;
декабрь 2018;178 158;0,0020;
январь 2019;208 945;0,0023;
февраль 2019;250 695;0,0029;
март 2019;323 168;0,0036;
апрель 2019;416 548;0,0050;
май 2019;407 214;0,0051;
июнь 2019;351 502;0,0048;
июль 2019;345 899;0,0047;
август 2019;305 217;0,0041;
сентябрь 2019;291 326;0,0037;
октябрь 2019;307 144;0,0034;
ноябрь 2019;269 794;0,0030;
декабрь 2019;240 119;0,0025;
январь 2020;315 393;0,0032;
февраль 2020;368 237;0,0040;
март 2020;463 117;0,0047;
апрель 2020;568 320;0,0047;
май 2020;703 887;0,0065;
июнь 2020;614 554;0,0068;
июль 2020;531 718;0,0063;
август 2020;485 377;0,0057;
сентябрь 2020;474 520;0,0049;
октябрь 2020;472 021;0,0043;
ноябрь 2020;418 341;0,0036;
декабрь 2020;351 853;0,0031;
январь 2021;385 014;0,0036;
февраль 2021;403 558;0,0040;
март 2021;531 430;0,0048;
апрель 2021;700 398;0,0064;
май 2021;699 877;0,0067;
июнь 2021;592 733;0,0059;
июль 2021;508 110;0,0052;
август 2021;502 025;0,0050;
сентябрь 2021;453 231;0,0042;
октябрь 2021;427 467;0,0037;
ноябрь 2021;376 851;0,0032;
декабрь 2021;317 726;0,0026;
январь 2022;372 833;0,0031;
февраль 2022;417 159;0,0035;
март 2022;531 967;0,0041;
апрель 2022;655 637;0,0054;
май 2022;728 469;0,0061;
июнь 2022;643 481;0,0060;
июль 2022;580 750;0,0055;
август 2022;576 693;0,0053;
сентябрь 2022;447 491;0,0038;
октябрь 2022;392 621;0,0031;
ноябрь 2022;366 680;0,0029;
декабрь 2022;291 315;0,0023;
январь 2023;343 902;0,0027;
февраль 2023;388 584;0,0034;
март 2023;543 088;0,0043;
апрель 2023;629 371;0,0054;
май 2023;656 810;0,0058;
июнь 2023;581 947;0,0056;
июль 2023;533 532;0,0052;
август 2023;494 467;0,0049;
сентябрь 2023;473 602;0,0044;
октябрь 2023;453 192;0,0037;
ноябрь 2023;374 065;0,0031;
декабрь 2023;270 483;0,0022;
январь 2024;319 030;0,0026;
февраль 2024;394 489;0,0035;
март 2024;486 303;0,0042;
апрель 2024;621 749;0,0057;
май 2024;640 587;0,0060;
июнь 2024;530 255;0,0056;
июль 2024;504 188;0,0054;
август 2024;465 271;0,0049;
сентябрь 2024;442 333;0,0044;
октябрь 2024;436 520;0,0038;
ноябрь 2024;374 803;0,0032;
декабрь 2024;325 464;0,0027;
январь 2025;395 707;0,0033;
февраль 2025;438 034;0,0038;
март 2025;558 994;0,0046;
апрель 2025;637 344;0,0055;
май 2025;649 848;0,0060;
июнь 2025;656 374;0,0062;
